M_genalis	C_calcarata	Orthogroup	C_australensis	D_melanogaster	A_mellifera	C_calcarata_locusID	M_genalis_locusID
XP_033323871.1	XP_017888679.1	OG0003512	Caust.v2_018392	FBgn0034931	XP_006557435.1	LOC108630123	LOC117219082
XP_033323933.1	XP_017876937.1	OG0003344	Caust.v2_021534	FBgn0000038	NP_001073028.1	LOC108623139	LOC117219130
XP_033324096.1	XP_026296638.1	OG0003881	Caust.v2_004987	FBgn0010611	XP_017883083.1	NA	LOC117219231
XP_033324287.1	XP_017883587.1	OG0003691	Caust.v2_006768	FBgn0034933	XP_006567785.2	LOC108627059	LOC117219325
XP_033324352.1	XP_026669057.1	OG0003623	Caust.v2_004339	FBgn0086408	XP_006562213.1	LOC108624596	LOC117219357
XP_033324437.1	XP_026297570.1	OG0003907	Caust.v2_008554	FBgn0036668	XP_017889798.1	NA	LOC117219401
XP_033324441.1	XP_026669848.1	OG0003953	Caust.v2_000684	FBgn0030366	XP_026299397.1	LOC108625528	LOC117219406
XP_033324457.1	XP_026301518.1	OG0004007	Caust.v2_013916	FBgn0033919	XP_017888489.1	NA	LOC117219414
XP_033324488.1	XP_017879708.1	OG0003466	Caust.v2_007929	FBgn0004407	XP_003250450.1	LOC108624741	LOC117219436
XP_033324509.1	XP_026297790.1	OG0003911	Caust.v2_003024	FBgn0033376	XP_017884078.1	NA	LOC117219450
XP_033324577.1	XP_017886466.1	OG0003585	Caust.v2_002385	FBgn0004391	XP_006560739.1	LOC108628804	LOC117219507
XP_033324903.1	XP_017889868.1	OG0003584	Caust.v2_004663	FBgn0031877	XP_006560725.1	LOC108630848	LOC117219686
XP_033324931.1	XP_017889544.2	OG0003597	Caust.v2_003281	FBgn0032430	XP_006561085.2	LOC108630644	LOC117219701
XP_033324969.1	XP_026674989.1	OG0003573	Caust.v2_015815	FBgn0039158	XP_006560031.3	LOC108631865	LOC117219721
XP_033325147.1	XP_017886873.1	OG0003811	Caust.v2_017059	FBgn0038751	XP_016770938.2	LOC108629034	LOC117219809
XP_033325170.1	XP_026674601.1	OG0003378	Caust.v2_012192	FBgn0000439	XP_001120045.3	LOC108631355	LOC117219818
XP_033325395.1	XP_026299260.1	OG0003950	Caust.v2_015296	FBgn0031077	XP_017883798.1	NA	LOC117219937
XP_033325430.1	XP_017876448.1	OG0003706	Caust.v2_006490	FBgn0286204	XP_006569262.2	LOC108622854	LOC117219956
XP_033325449.1	XP_026297867.1	OG0003913	Caust.v2_008733	FBgn0033316	XP_017886479.1	NA	LOC117219977
XP_033325460.1	XP_026675178.1	OG0003945	Caust.v2_007148	FBgn0010309	XP_026299196.1	LOC108632211	LOC117219989
XP_033325563.1	XP_017876451.1	OG0003796	Caust.v2_006507	FBgn0035687	XP_016769727.2	LOC108622856	LOC117220036
XP_033325768.1	XP_017876636.1	OG0003631	Caust.v2_009934	FBgn0000370	XP_006562898.1	LOC108622952	LOC117220162
XP_033325876.1	XP_026299199.1	OG0003946	Caust.v2_006504	FBgn0000108	XP_017876628.1	NA	LOC117220221
XP_033326032.1	XP_017876652.1	OG0003423	Caust.v2_011815	FBgn0034081	XP_001122185.1	LOC108622959	LOC117220298
XP_033326164.1	XP_026301784.1	OG0004016	Caust.v2_007737	FBgn0039067	XP_017876155.1	NA	LOC117220383
XP_033326195.1	XP_026675279.1	OG0003352	Caust.v2_013744	FBgn0000565	NP_001171518.1	LOC108632185	LOC117220388
XP_033326303.1	XP_026300231.1	OG0003974	Caust.v2_009554	FBgn0047135	XP_017886649.1	NA	LOC117220449
XP_033326336.1	XP_026300085.1	OG0003971	Caust.v2_015239	FBgn0038968	XP_017877569.1	NA	LOC117220467
XP_033326715.1	XP_026668681.1	OG0003511	Caust.v2_016323	FBgn0004606	XP_006557404.1	LOC108624148	LOC117220643
XP_033326748.1	XP_026669597.1	OG0003447	Caust.v2_000244	FBgn0033935	XP_003249202.3	LOC108625293	LOC117220650
XP_033326824.1	XP_017887609.1	OG0003392	Caust.v2_008125	FBgn0031403	XP_001120666.1	LOC108629450	LOC117220706
XP_033326887.1	XP_017875234.1	OG0003492	Caust.v2_012314	FBgn0025679	XP_003251568.1	LOC108622077	LOC117220740
XP_033326961.1	XP_017878809.1	OG0003683	Caust.v2_011928	FBgn0031250	XP_006567212.1	LOC108624196	LOC117220783
XP_033326964.1	XP_017878810.1	OG0003768	Caust.v2_011927	FBgn0086768	XP_016767427.1	LOC108624197	LOC117220787
XP_033327105.1	XP_017893631.1	OG0003766	Caust.v2_013904	FBgn0053281	XP_016767291.1	LOC108633126	LOC117220835
XP_033327134.1	XP_026672374.1	OG0003708	Caust.v2_001922	FBgn0260971	XP_006569276.1	LOC108628611	LOC117220831
XP_033327284.1	XP_017880052.1	OG0003653	Caust.v2_000006	FBgn0024314	XP_006564578.2	LOC108624945	LOC117220926
XP_033327420.1	XP_026671025.1	OG0003643	Caust.v2_001706	FBgn0038851	XP_006563842.1	LOC108626931	LOC117220998
XP_033327673.1	XP_026667315.1	OG0003948	Caust.v2_011002	FBgn0023076	XP_026299229.1	LOC108622469	LOC117221110
XP_033327725.1	XP_017883297.1	OG0003464	Caust.v2_007432	FBgn0011674	XP_003250417.1	LOC108626879	LOC117221135
XP_033327761.1	XP_026674701.1	OG0003433	Caust.v2_014243	FBgn0032042	XP_001122793.3	LOC108631450	LOC117221153
XP_033327843.1	XP_017883142.1	OG0003647	Caust.v2_014916	FBgn0003460	XP_006564252.1	LOC108626783	LOC117221201
XP_033327898.1	XP_017875923.1	OG0003460	Caust.v2_004200	FBgn0039702	XP_003249898.2	LOC108622512	LOC117221228
XP_033328159.1	XP_017890042.1	OG0003771	Caust.v2_006546	FBgn0036549	XP_016767630.1	LOC108630949	LOC117221364
XP_033328476.1	XP_026666695.1	OG0003830	Caust.v2_016867	FBgn0285958	XP_016772826.1	LOC108633116	LOC117221548
XP_033328645.1	XP_026673285.1	OG0003367	Caust.v2_017360	FBgn0040697	NP_001314878.1	LOC108629694	LOC117221648
XP_033328652.1	XP_017875965.1	OG0003500	Caust.v2_015580	FBgn0051224	XP_003251754.1	LOC108622542	LOC117221655
XP_033328739.1	XP_017888015.1	OG0003762	Caust.v2_022269	FBgn0035504	XP_016766958.1	LOC108629692	LOC117221691
XP_033328769.1	XP_017875290.1	OG0003376	Caust.v2_017223	FBgn0036742	XP_001120030.2	LOC108622120	LOC117221708
XP_033328990.1	XP_017875223.1	OG0003384	Caust.v2_004131	FBgn0283508	XP_001120347.3	LOC108622070	LOC117221832
XP_033329080.1	XP_026296977.1	OG0003893	Caust.v2_011920	FBgn0027330	XP_017889177.1	NA	LOC117221893
XP_033329155.1	XP_026671362.1	OG0003901	Caust.v2_018290	FBgn0087011	XP_026297259.1	LOC108627396	LOC117221927
XP_033329259.1	XP_017891105.1	OG0003569	Caust.v2_008993	FBgn0266284	XP_006559713.1	LOC108631591	LOC117221972
XP_033329269.1	XP_017883267.1	OG0003579	Caust.v2_009468	FBgn0032053	XP_006560218.1	LOC108626852	LOC117221981
XP_033329317.1	XP_017881496.1	OG0003450	Caust.v2_009997	FBgn0261403	XP_003249419.1	LOC108625753	LOC117221998
XP_033329412.1	XP_026298362.1	OG0003925	Caust.v2_021987	FBgn0052441	XP_017893178.1	NA	LOC117222054
XP_033329484.1	XP_017879427.1	OG0003518	Caust.v2_003691	FBgn0038073	XP_006557734.1	LOC108624517	LOC117222095
XP_033329584.1	XP_017879538.1	OG0003459	Caust.v2_012451	FBgn0031973	XP_003249882.1	LOC108624627	LOC117222155
XP_033329586.1	XP_026298284.1	OG0003922	Caust.v2_020596	FBgn0037391	XP_017879559.1	NA	LOC117222156
XP_033329599.1	XP_026298285.1	OG0003923	Caust.v2_012457	FBgn0087002	XP_017879492.1	NA	LOC117222161
XP_033329600.1	XP_017884744.1	OG0003555	Caust.v2_003633	FBgn0038583	XP_006559218.1	LOC108627766	LOC117222162
XP_033329899.1	XP_017881520.1	OG0003553	Caust.v2_010006	FBgn0016978	XP_006559075.1	LOC108625768	LOC117222355
XP_033329901.1	XP_026298461.1	OG0003926	Caust.v2_009806	FBgn0004598	XP_017884895.1	NA	LOC117222360
XP_033329925.1	XP_017888745.1	OG0003717	Caust.v2_000044	FBgn0050349	XP_006569773.2	LOC108630170	LOC117222377
XP_033329952.1	XP_017882361.1	OG0003385	Caust.v2_001605	FBgn0035624	XP_001120359.2	LOC108626280	LOC117222393
XP_033329955.1	XP_017888262.1	OG0003439	Caust.v2_001685	FBgn0263852	XP_001123277.1	LOC108629858	LOC117222395
XP_033329969.1	XP_026299731.1	OG0003965	Caust.v2_008195	FBgn0002526	XP_017881365.1	NA	LOC117222405
XP_033330014.1	XP_017877129.1	OG0003682	Caust.v2_015827	FBgn0002579	XP_006567038.1	LOC108623253	LOC117222433
XP_033330198.1	XP_017884045.1	OG0003377	Caust.v2_012133	FBgn0052438	XP_001120037.2	LOC108627356	LOC117222552
XP_033330255.1	XP_017893440.1	OG0003536	Caust.v2_010779	FBgn0262730	XP_006558573.2	LOC108633028	LOC117222591
XP_033330320.1	XP_026301707.1	OG0004013	Caust.v2_015134	FBgn0000527	XP_017887731.1	NA	LOC117222629
XP_033330330.1	XP_017876048.1	OG0003566	Caust.v2_002649	FBgn0031832	XP_006559584.2	LOC108622597	LOC117222639
XP_033330380.1	XP_026671977.1	OG0003903	Caust.v2_016102	FBgn0034053	XP_026297361.1	LOC108628019	LOC117222669
XP_033330388.1	XP_026295288.1	OG0003850	Caust.v2_009038	FBgn0034240	XP_017883259.1	NA	LOC117222674
XP_033330466.1	XP_017875944.1	OG0003387	Caust.v2_009699	FBgn0028648	XP_001120390.3	LOC108622528	LOC117222717
XP_033330833.1	XP_017875005.1	OG0003817	Caust.v2_003992	FBgn0032689	XP_016771800.1	LOC108621914	LOC117222914
XP_033330926.1	XP_017876360.1	OG0003557	Caust.v2_012654	FBgn0001147	XP_006559358.1	LOC108622788	LOC117222969
XP_033331039.1	XP_026674179.1	OG0003463	Caust.v2_008867	FBgn0038611	XP_003250264.2	LOC108630521	LOC117223038
XP_033331195.1	XP_017887279.1	OG0003745	Caust.v2_002140	FBgn0035336	XP_006571844.1	LOC108629237	LOC117223155
XP_033331417.1	XP_017883807.1	OG0003395	Caust.v2_012804	FBgn0035643	XP_001120809.2	LOC108627211	LOC117223313
XP_033331481.1	XP_017891927.1	OG0003434	Caust.v2_011146	FBgn0033032	XP_001122976.1	LOC108632111	LOC117223349
XP_033331595.1	XP_026300960.1	OG0003992	Caust.v2_008727	FBgn0267252	XP_017893237.1	NA	LOC117223436
XP_033331743.1	XP_026299200.1	OG0003947	Caust.v2_003969	FBgn0029922	XP_017881287.1	NA	LOC117223528
XP_033331886.1	XP_026672323.1	OG0004020	Caust.v2_006307	FBgn0031515	XP_026301938.1	LOC108628437	LOC117223627
XP_033331919.1	XP_026297510.1	OG0003906	Caust.v2_009994	FBgn0029706	XP_017881458.1	NA	LOC117223639
XP_033331921.1	XP_026675482.1	OG0003551	Caust.v2_003565	FBgn0263456	XP_006559059.1	LOC108632367	LOC117223637
XP_033331969.1	XP_017876856.1	OG0003603	Caust.v2_006263	FBgn0267977	XP_006561175.2	LOC108623081	LOC117223673
XP_033332016.1	XP_026300381.1	OG0003975	Caust.v2_010320	FBgn0035155	XP_017890351.1	NA	LOC117223701
XP_033332096.1	XP_026295807.1	OG0003861	Caust.v2_008248	FBgn0053100	XP_017878140.1	NA	LOC117223738
XP_033332149.1	XP_026668795.1	OG0003750	Caust.v2_013176	FBgn0034792	XP_006572235.1	LOC108624319	LOC117223765
XP_033332178.1	XP_026667108.1	OG0003600	Caust.v2_019792	FBgn0036207	XP_006561135.1	LOC108622199	LOC117223786
XP_033332242.1	XP_017877544.1	OG0003575	Caust.v2_000443	FBgn0029067	XP_006560139.1	LOC108623499	LOC117223816
XP_033332245.1	XP_026668135.1	OG0003576	Caust.v2_000442	FBgn0037020	XP_006560142.1	LOC108623445	LOC117223818
XP_033332273.1	XP_026671762.1	OG0003418	Caust.v2_015873	FBgn0266572	XP_001121896.2	LOC108627776	LOC117223836
XP_033332554.1	XP_017886895.1	OG0003563	Caust.v2_011264	FBgn0285948	XP_006559465.1	LOC108629048	LOC117224004
XP_033332653.1	XP_026674673.1	OG0003451	Caust.v2_001486	FBgn0028538	XP_003249515.1	LOC108631415	LOC117224092
XP_033332736.1	XP_017876367.2	OG0003508	Caust.v2_011665	FBgn0267350	XP_006557330.1	LOC108622792	LOC117224134
XP_033332804.1	XP_026298085.1	OG0003919	Caust.v2_009019	FBgn0028579	XP_017877353.1	NA	LOC117224170
XP_033332807.1	XP_017877355.1	OG0003430	Caust.v2_009020	FBgn0023511	XP_001122669.2	LOC108623404	LOC117224171
XP_033332822.1	XP_026669059.1	OG0003615	Caust.v2_017127	FBgn0264089	XP_006561500.1	LOC108624676	LOC117224179
XP_033332892.1	XP_017891355.1	OG0003404	Caust.v2_004474	FBgn0025635	XP_001121172.2	LOC108631724	LOC117224221
XP_033333077.1	XP_026671079.1	OG0003888	Caust.v2_004320	FBgn0038221	XP_026296696.1	LOC108627033	LOC117224340
XP_033333083.1	XP_026296689.1	OG0003887	Caust.v2_004319	FBgn0015544	XP_017883545.1	NA	LOC117224341
XP_033333092.1	XP_017883111.1	OG0003748	Caust.v2_004943	FBgn0261396	XP_006572172.1	LOC108626766	LOC117224348
XP_033333137.1	XP_026674759.1	OG0003548	Caust.v2_011654	FBgn0027539	XP_006558961.3	LOC108631596	LOC117224370
XP_033333510.1	XP_017877613.1	OG0003814	Caust.v2_012071	FBgn0038738	XP_016771167.1	LOC108623549	LOC117224577
XP_033333573.1	XP_026296123.1	OG0003869	Caust.v2_001466	FBgn0026059	XP_017877239.2	NA	LOC117224621
XP_033333819.1	XP_017891495.1	OG0003530	Caust.v2_011094	FBgn0025815	XP_006558369.1	LOC108631839	LOC117224793
XP_033334142.1	XP_026668986.1	OG0003661	Caust.v2_005714	FBgn0033890	XP_006565976.1	LOC108624491	LOC117224989
XP_033334674.1	XP_026299488.1	OG0003956	Caust.v2_002833	FBgn0002716	XP_017878377.1	NA	LOC117225311
XP_033334775.1	XP_026668798.1	OG0003802	Caust.v2_002894	FBgn0032210	XP_016770251.2	LOC108624311	LOC117225365
XP_033334909.1	XP_026673458.1	OG0003968	Caust.v2_002897	FBgn0031189	XP_026299855.1	LOC108629879	LOC117225447
XP_033335299.1	XP_017890007.1	OG0003559	Caust.v2_015219	FBgn0028331	XP_006559439.1	LOC108630924	LOC117225696
XP_033335796.1	XP_026300707.1	OG0003982	Caust.v2_012754	FBgn0011762	XP_017877347.1	NA	LOC117226005
XP_033335798.1	XP_017888145.1	OG0003428	Caust.v2_006118	FBgn0260933	XP_001122512.3	LOC108629787	LOC117226006
XP_033335856.1	XP_017884775.1	OG0003431	Caust.v2_004073	FBgn0029999	XP_001122678.3	LOC108627802	LOC117226028
XP_033336316.1	XP_026673359.1	OG0003633	Caust.v2_020925	FBgn0259233	XP_006563003.1	LOC108629732	LOC117226264
XP_033336472.1	XP_026300995.1	OG0003994	Caust.v2_022546	FBgn0041582	XP_017884638.1	NA	LOC117226343
XP_033336537.1	XP_017891842.1	OG0003710	Caust.v2_002506	FBgn0033021	XP_006569305.1	LOC108632055	LOC117226363
XP_033336554.1	XP_026300965.1	OG0003993	Caust.v2_007663	FBgn0034435	XP_017884440.1	NA	LOC117226394
XP_033336597.1	XP_026300923.1	OG0003991	Caust.v2_010564	FBgn0036684	XP_017884959.1	NA	LOC117226418
XP_033336673.1	XP_026300870.1	OG0003990	Caust.v2_006804	FBgn0023521	XP_017885011.1	NA	LOC117226458
XP_033336742.1	XP_017878015.1	OG0003369	Caust.v2_007565	FBgn0028841	NP_001314896.1	LOC108623758	LOC117226489
XP_033336891.1	XP_017878054.1	OG0003685	Caust.v2_007263	FBgn0024352	XP_006567267.1	LOC108623774	LOC117226542
XP_033336912.1	XP_026675064.1	OG0003711	Caust.v2_005763	FBgn0031496	XP_006569369.2	LOC108631941	LOC117226558
XP_033336945.1	XP_017877897.1	OG0003686	Caust.v2_012732	FBgn0045862	XP_006567286.1	LOC108623712	LOC117226577
XP_033337125.1	XP_017883107.1	OG0003390	Caust.v2_004960	FBgn0051109	XP_001120653.1	LOC108626763	LOC117226656
XP_033337133.1	XP_026296438.1	OG0003878	Caust.v2_004336	FBgn0037215	XP_017879617.1	NA	LOC117226661
XP_033337152.1	XP_026669049.1	OG0003649	Caust.v2_004337	FBgn0039214	XP_006564268.2	LOC108624645	LOC117226671
XP_033337403.1	XP_017885394.2	OG0003785	Caust.v2_001676	FBgn0036147	XP_016769113.2	LOC108628151	LOC117226805
XP_033337543.1	XP_026673726.1	OG0003417	Caust.v2_001640	FBgn0033447	XP_001121847.4	LOC108630236	LOC117226883
XP_033337566.1	XP_026673687.1	OG0003788	Caust.v2_001625	FBgn0033741	XP_016769245.2	LOC108630232	LOC117226900
XP_033337697.1	XP_017892202.1	OG0003441	Caust.v2_015356	FBgn0031021	XP_001123307.2	LOC108632266	LOC117226978
XP_033337714.1	XP_017886951.1	OG0003697	Caust.v2_010742	FBgn0003334	XP_006568576.1	LOC108629082	LOC117226992
XP_033337717.1	XP_017892962.1	OG0003360	Caust.v2_013299	FBgn0004510	NP_001229471.1	LOC108632729	LOC117226993
XP_033337835.1	XP_026301836.1	OG0004018	Caust.v2_022359	FBgn0038816	XP_017885653.1	NA	LOC117227042
XP_033337859.1	XP_026298161.1	OG0003920	Caust.v2_013921	FBgn0262647	XP_017877657.1	NA	LOC117227059
XP_033338003.1	XP_026669084.1	OG0003440	Caust.v2_016280	FBgn0029914	XP_001123300.3	LOC108624689	LOC117227116
XP_033338042.1	XP_017877807.1	OG0003356	Caust.v2_011053	FBgn0031703	NP_001193902.1	LOC108623646	LOC117227142
XP_033338114.1	XP_017885433.1	OG0003532	Caust.v2_012016	FBgn0010433	XP_006558378.1	LOC108628193	LOC117227203
XP_033338176.1	XP_026675035.1	OG0003531	Caust.v2_013111	FBgn0038446	XP_006558376.1	LOC108631877	LOC117227221
XP_033338486.1	XP_026669346.1	OG0003383	Caust.v2_021101	FBgn0260771	XP_001120336.2	LOC108625057	LOC117227404
XP_033338498.1	XP_026301493.1	OG0004006	Caust.v2_020434	FBgn0002891	XP_017877316.1	NA	LOC117227409
XP_033338686.1	XP_017880406.1	OG0003562	Caust.v2_004554	FBgn0026259	XP_006559464.1	LOC108625149	LOC117227505
XP_033338869.1	XP_017886674.1	OG0003613	Caust.v2_003329	FBgn0040212	XP_006561444.3	LOC108628944	LOC117227589
XP_033338964.1	XP_026670885.1	OG0003886	Caust.v2_008926	FBgn0033247	XP_026296680.1	LOC108626725	LOC117227642
XP_033338990.1	XP_017883568.1	OG0003773	Caust.v2_008922	FBgn0000559	XP_016767773.1	LOC108627048	LOC117227660
XP_033339019.1	XP_026669739.1	OG0003858	Caust.v2_002057	FBgn0033010	XP_026295500.1	LOC108625317	LOC117227677
XP_033339093.1	XP_017878768.1	OG0003543	Caust.v2_003701	FBgn0039537	XP_006558715.1	LOC108624145	LOC117227716
XP_033339107.1	XP_017883023.1	OG0003775	Caust.v2_004973	FBgn0037897	XP_016767869.2	LOC108626715	LOC117227723
XP_033339339.1	XP_026297151.1	OG0003896	Caust.v2_006067	FBgn0000115	XP_017879760.1	NA	LOC117227906
XP_033339429.1	XP_017891598.1	OG0003529	Caust.v2_011091	FBgn0033405	XP_006558364.1	LOC108631894	LOC117227959
XP_033339621.1	XP_026675079.1	OG0003983	Caust.v2_013022	FBgn0035141	XP_026300710.1	LOC108631952	LOC117228066
XP_033339684.1	XP_017885185.1	OG0003336	Caust.v2_006968	FBgn0266450	NP_001011566.1	LOC108628039	LOC117228110
XP_033339943.1	XP_026302130.1	OG0004026	Caust.v2_005301	FBgn0263599	XP_017885073.1	NA	LOC117228351
XP_033340082.1	XP_017879789.1	OG0003499	Caust.v2_011905	FBgn0003435	XP_003251730.2	LOC108624773	LOC117228431
XP_033340193.1	XP_017881372.1	OG0003713	Caust.v2_008210	FBgn0014143	XP_006569529.1	LOC108625690	LOC117228514
XP_033340194.1	XP_026669145.1	OG0003402	Caust.v2_016326	FBgn0034022	XP_001121112.2	LOC108624722	LOC117228515
XP_033340236.1	XP_017891511.1	OG0003419	Caust.v2_010163	FBgn0037427	XP_001121915.3	LOC108631853	LOC117228544
XP_033340285.1	XP_017887662.1	OG0003719	Caust.v2_014570	FBgn0037050	XP_006570058.1	LOC108629479	LOC117228572
XP_033340512.1	XP_017887737.1	OG0003721	Caust.v2_014568	FBgn0266409	XP_006570106.1	LOC108629512	LOC117228691
XP_033340524.1	XP_017890262.1	OG0003742	Caust.v2_015350	FBgn0261279	XP_006571695.2	LOC108631074	LOC117228696
XP_033340601.1	XP_017885879.1	OG0003715	Caust.v2_008488	FBgn0035959	XP_006569683.1	LOC108628461	LOC117228742
XP_033340707.1	XP_026299230.1	OG0003949	Caust.v2_011820	FBgn0039617	XP_017876728.1	NA	LOC117228809
XP_033340742.1	XP_026672286.1	OG0003827	Caust.v2_006285	FBgn0260995	XP_016772663.1	LOC108628493	LOC117228839
XP_033340759.1	XP_026298888.1	OG0003937	Caust.v2_014780	FBgn0000617	XP_017891501.1	NA	LOC117228852
XP_033340807.1	XP_026667410.1	OG0003371	Caust.v2_013664	FBgn0037061	XP_001119891.2	LOC108622617	LOC117228879
XP_033340874.1	XP_026299064.1	OG0003942	Caust.v2_012229	FBgn0045035	XP_017880998.1	NA	LOC117228900
XP_033341092.1	XP_017886284.2	OG0003587	Caust.v2_002230	FBgn0261434	XP_006560759.1	LOC108628702	LOC117229052
XP_033341123.1	XP_017887781.1	OG0003739	Caust.v2_004138	FBgn0034943	XP_006571261.2	LOC108629545	LOC117229087
XP_033341241.1	XP_017889180.1	OG0003493	Caust.v2_007303	FBgn0040005	XP_003251592.1	LOC108630392	LOC117229135
XP_033341284.1	XP_026296653.1	OG0003882	Caust.v2_005891	FBgn0001075	XP_017875765.1	NA	LOC117229156
XP_033341370.1	XP_017888944.1	OG0003410	Caust.v2_008089	FBgn0000061	XP_001121339.1	LOC108630272	LOC117229191
XP_033341527.1	XP_017888230.1	OG0003498	Caust.v2_004163	FBgn0266580	XP_003251725.1	LOC108629837	LOC117229258
XP_033341675.1	XP_026672527.1	OG0004005	Caust.v2_002235	FBgn0036428	XP_026301426.1	LOC108628777	LOC117229345
XP_033341716.1	XP_017880758.1	OG0003534	Caust.v2_002722	FBgn0036271	XP_006558480.1	LOC108625340	LOC117229392
XP_033341830.1	XP_026674690.1	OG0003572	Caust.v2_011625	FBgn0030038	XP_006559901.1	LOC108631462	LOC117229456
XP_033341833.1	XP_017880493.1	OG0003662	Caust.v2_004280	FBgn0036038	XP_006565978.1	LOC108625205	LOC117229461
XP_033341834.1	XP_026668944.1	OG0003702	Caust.v2_008787	FBgn0033929	XP_006568860.1	LOC108624434	LOC117229462
XP_033342070.1	XP_026671389.1	OG0003700	Caust.v2_010190	FBgn0032136	XP_006568803.2	LOC108627461	LOC117229603
XP_033342097.1	XP_026667893.1	OG0003609	Caust.v2_011723	FBgn0015000	XP_006561344.1	LOC108623202	LOC117229620
XP_033342141.1	XP_017877606.1	OG0003749	Caust.v2_001375	FBgn0032717	XP_006572195.2	LOC108623546	LOC117229645
XP_033342612.1	XP_026674553.1	OG0003807	Caust.v2_003815	FBgn0033483	XP_016770620.1	LOC113463799	LOC117229860
XP_033342631.1	XP_026669274.1	OG0003675	Caust.v2_003835	FBgn0259176	XP_006566767.2	LOC108624888	LOC117229869
XP_033342707.1	XP_017878500.1	OG0003668	Caust.v2_003102	FBgn0034498	XP_006566667.2	LOC108624045	LOC117229899
XP_033342787.1	XP_026668544.1	OG0003678	Caust.v2_000817	FBgn0034501	XP_006566830.1	LOC108623968	LOC117229934
XP_033342792.1	XP_017878346.1	OG0003625	Caust.v2_016182	FBgn0037963	XP_006562633.1	LOC108623947	LOC117229942
