P_dominula	P_canadensis	Orthogroup	D_melanogaster	L_flavolineata	A_mellifera	P_canadensis_locusID	P_dominula_locusID
XP_015174226.1	XP_014611089.1	OG0003260	FBgn0005655	Lflavo2a001326	XP_001122985.1	LOC106790589	LOC107065240
XP_015174244.1	XP_014614134.1	OG0003437	FBgn0035501	Lflavo2a007422	XP_006560620.1	LOC106792310	LOC107065248
XP_015174393.1	XP_014601002.1	OG0003143	FBgn0028476	Lflavo2a008595	NP_001128140.1	LOC106785234	LOC107065318
XP_015174438.1	XP_014611081.1	OG0003258	FBgn0036286	Lflavo2a001327	XP_001122971.2	LOC106790585	LOC107065347
XP_015174653.1	XP_014603085.1	OG0003598	FBgn0036848	Lflavo2a000597	XP_006568102.1	LOC106786341	LOC107065457
XP_015174671.1	XP_014611866.1	OG0003331	FBgn0052816	Lflavo2a002654	XP_003251792.1	LOC106791037	LOC107065463
XP_015174673.1	XP_014603164.1	OG0003368	FBgn0037241	Lflavo2a002979	XP_006558383.1	LOC106786377	LOC107065467
XP_015174907.1	XP_014607244.1	OG0003263	FBgn0031021	Lflavo2a003030	XP_001123307.2	LOC106788479	LOC107065575
XP_015174920.1	XP_014611250.1	OG0003408	FBgn0039655	Lflavo2a002451	XP_006559708.2	LOC106790687	LOC107065589
XP_015175021.1	XP_014611232.1	OG0003406	FBgn0031832	Lflavo2a009772	XP_006559584.2	LOC106790676	LOC107065647
XP_015175022.1	XP_014600343.1	OG0003209	FBgn0034022	Lflavo2a007326	XP_001121112.2	LOC106784885	LOC107065645
XP_015175031.1	XP_014611249.1	OG0003409	FBgn0050291	Lflavo2a002458	XP_006559709.1	LOC106790686	LOC107065654
XP_015175067.1	XP_014611227.1	OG0003294	FBgn0014930	Lflavo2a011088	XP_003250076.3	LOC106790671	LOC107065679
XP_015175150.1	XP_014602965.1	OG0003438	FBgn0031753	Lflavo2a003160	XP_006560670.1	LOC106786281	LOC107065727
XP_015175160.1	XP_014600891.1	OG0003393	FBgn0033915	Lflavo2a012157	XP_006559285.1	LOC106785177	LOC107065732
XP_015175270.1	XP_014607513.1	OG0003586	FBgn0000289	Lflavo2a006899	XP_006567879.1	LOC106788611	LOC107065799
XP_015175277.1	XP_014603547.1	OG0003630	FBgn0034391	Lflavo2a004890	XP_006569489.2	LOC106786554	LOC107065771
XP_015175288.1	XP_014607509.1	OG0003587	FBgn0030183	Lflavo2a006973	XP_006567883.1	LOC106788609	LOC107065808
XP_015175398.1	XP_014612667.1	OG0003253	FBgn0031590	Lflavo2a006038	XP_001122740.5	LOC106791506	LOC107065857
XP_015175414.1	XP_014601738.1	OG0003661	FBgn0036916	Lflavo2a011979	XP_006572022.1	LOC106785625	LOC107065869
XP_015175710.1	XP_014614808.1	OG0003633	FBgn0030687	Lflavo2a008855	XP_006569964.1	LOC106792800	LOC107066019
XP_015175755.1	XP_014608601.1	OG0003513	FBgn0002872	Lflavo2a002028	XP_006564069.2	LOC106789150	LOC107066036
XP_015175764.1	XP_014608358.1	OG0003632	FBgn0004556	Lflavo2a011195	XP_006569795.3	LOC106789052	LOC107066041
XP_015175775.1	XP_014608607.1	OG0003651	FBgn0002638	Lflavo2a005530	XP_006571297.1	LOC106789155	LOC107066048
XP_015175797.1	XP_014608387.1	OG0003142	FBgn0001169	Lflavo2a007959	NP_001124510.1	LOC106789065	LOC107066056
XP_015175802.1	XP_014600381.1	OG0003410	FBgn0266284	Lflavo2a010255	XP_006559713.1	LOC106784899	LOC107066060
XP_015175810.1	XP_014603965.1	OG0003445	FBgn0261434	Lflavo2a004927	XP_006560759.1	LOC106786752	LOC107066070
XP_015175918.1	XP_014612245.1	OG0003322	FBgn0025679	Lflavo2a006410	XP_003251568.1	LOC106791236	LOC107066118
XP_015175941.1	XP_014604027.1	OG0003384	FBgn0037926	Lflavo2a001116	XP_006558946.1	LOC106786780	LOC107066122
XP_015175957.1	XP_014611897.1	OG0003582	FBgn0029175	Lflavo2a003452	XP_006567763.1	LOC106791047	LOC107066134
XP_015176001.1	XP_014598340.1	OG0003536	FBgn0263072	Lflavo2a007914	XP_006565802.2	LOC106783887	LOC107066164
XP_015176072.1	XP_014615654.1	OG0003471	FBgn0037917	Lflavo2a006430	XP_006561447.1	LOC106793323	LOC107066191
XP_015176131.1	XP_014606602.1	OG0003627	FBgn0026438	Lflavo2a004654	XP_006569327.1	LOC106788063	LOC107066219
XP_015176187.1	XP_014615113.1	OG0003652	FBgn0011785	Lflavo2a009765	XP_006571452.1	LOC106793035	LOC107066243
XP_015176390.1	XP_014611372.1	OG0003570	FBgn0031250	Lflavo2a012838	XP_006567212.1	LOC106790756	LOC107066361
XP_015176615.1	XP_014600984.1	OG0003429	FBgn0033948	Lflavo2a011021	XP_006560154.1	LOC106785218	LOC107066477
XP_015176804.1	XP_014601186.1	OG0003254	FBgn0032042	Lflavo2a014127	XP_001122793.3	LOC106785326	LOC107066569
XP_015176808.1	XP_014600391.1	OG0003419	FBgn0030038	Lflavo2a010673	XP_006559901.1	LOC106784904	LOC107066573
XP_015176987.1	XP_014598754.1	OG0003668	FBgn0030869	Lflavo2a012124	XP_006572407.1	LOC106784116	LOC107066665
XP_015177164.1	XP_014605053.1	OG0003452	FBgn0259483	Lflavo2a000666	XP_006560963.1	LOC106787314	LOC107066750
XP_015177334.1	XP_014600131.1	OG0003487	FBgn0029105	Lflavo2a012405	XP_006562360.1	LOC106784780	LOC107066851
XP_015177346.1	XP_014600156.1	OG0003608	FBgn0051216	Lflavo2a002044	XP_006568548.2	LOC106784789	LOC107066855
XP_015177430.1	XP_014608772.1	OG0003441	FBgn0027082	Lflavo2a012939	XP_006560719.1	LOC106789223	LOC107066904
XP_015177433.1	XP_014608821.1	OG0003360	FBgn0062442	Lflavo2a006840	XP_006557994.1	LOC106789259	LOC107066907
XP_015177631.1	XP_014610854.1	OG0003569	FBgn0035610	Lflavo2a011057	XP_006567021.2	LOC106790464	LOC107067011
XP_015177634.1	XP_014610863.1	OG0003250	FBgn0050476	Lflavo2a011077	XP_001122523.1	LOC106790466	LOC107067013
XP_015177693.1	XP_014603578.1	OG0003649	FBgn0041588	Lflavo2a009795	XP_006571251.1	LOC106786567	LOC107067021
XP_015177741.1	XP_014613924.1	OG0003611	FBgn0029958	Lflavo2a005054	XP_006568644.1	LOC106792206	LOC107067075
XP_015177763.1	XP_014611306.1	OG0003168	FBgn0052438	Lflavo2a012666	XP_001120037.2	LOC106790719	LOC107067083
XP_015177832.1	XP_014613950.1	OG0003613	FBgn0031239	Lflavo2a005252	XP_006568669.1	LOC106792218	LOC107067124
XP_015177961.1	XP_014615228.1	OG0003664	FBgn0035622	Lflavo2a013806	XP_006572161.1	LOC106793101	LOC107067194
XP_015178064.1	XP_014609813.1	OG0003244	FBgn0034579	Lflavo2a007974	XP_001122212.1	LOC106789822	LOC107067252
XP_015178068.1	XP_014609822.1	OG0003484	FBgn0037105	Lflavo2a007980	XP_006562156.1	LOC106789824	LOC107067257
XP_015178124.1	XP_014609486.1	OG0003442	FBgn0031877	Lflavo2a010981	XP_006560725.1	LOC106789622	LOC107067278
XP_015178150.1	XP_014609875.1	OG0003520	FBgn0038490	Lflavo2a005409	XP_006564278.1	LOC106789863	LOC107067291
XP_015178226.1	XP_014610498.1	OG0003219	FBgn0030170	Lflavo2a008305	XP_001121355.3	LOC106790244	LOC107067332
XP_015178231.1	XP_014608776.1	OG0003378	FBgn0003089	Lflavo2a010676	XP_006558648.1	LOC106789229	LOC107067334
XP_015178244.1	XP_014609839.1	OG0003216	FBgn0037536	Lflavo2a005401	XP_001121319.3	LOC106789836	LOC107067340
XP_015178248.1	XP_014609485.1	OG0003519	FBgn0003460	Lflavo2a011225	XP_006564252.1	LOC106789621	LOC107067343
XP_015178278.1	XP_014608792.1	OG0003379	FBgn0039537	Lflavo2a008557	XP_006558715.1	LOC106789242	LOC107067357
XP_015178348.1	XP_014609922.1	OG0003315	FBgn0036935	Lflavo2a013957	XP_003251286.1	LOC106789890	LOC107067394
XP_015178438.1	XP_014610406.1	OG0003556	FBgn0027497	Lflavo2a004947	XP_006566698.1	LOC106790176	LOC107067432
XP_015178442.1	XP_014611373.1	OG0003183	FBgn0085220	Lflavo2a000594	XP_001120363.1	LOC106790747	LOC107067435
XP_015178448.1	XP_014614593.1	OG0003268	FBgn0050418	Lflavo2a001107	XP_003249151.1	LOC106792621	LOC107067437
XP_015178579.1	XP_014603964.1	OG0003192	FBgn0052225	Lflavo2a002457	XP_001120658.2	LOC106786750	LOC107067504
XP_015178941.1	XP_014615317.1	OG0003169	FBgn0000439	Lflavo2a013602	XP_001120045.3	LOC106793146	LOC107067701
XP_015178958.1	XP_014615558.1	OG0003657	FBgn0034277	Lflavo2a003480	XP_006571875.2	LOC106793270	LOC107067710
XP_015178986.1	XP_014615549.1	OG0003328	FBgn0001986	Lflavo2a011578	XP_003251718.1	LOC106793263	LOC107067727
XP_015179046.1	XP_014612711.1	OG0003565	FBgn0029977	Lflavo2a012576	XP_006566798.2	LOC106791541	LOC107067759
XP_015179138.1	XP_014603378.1	OG0003491	FBgn0036772	Lflavo2a011091	XP_006562412.3	LOC106786475	LOC107067813
XP_015179295.1	XP_014612607.1	OG0003206	FBgn0030558	Lflavo2a001035	XP_001121079.2	LOC106791476	LOC107067891
XP_015179469.1	XP_014604392.1	OG0003454	FBgn0032430	Lflavo2a003072	XP_006561085.2	LOC106786970	LOC107067999
XP_015179780.1	XP_014603898.1	OG0003277	FBgn0028538	Lflavo2a006977	XP_003249515.1	LOC106786712	LOC107068158
XP_015179785.1	XP_014613988.1	OG0003372	FBgn0017558	Lflavo2a014241	XP_006558542.1	LOC106792239	LOC107068162
XP_015179802.1	XP_014603920.1	OG0003199	FBgn0032247	Lflavo2a005821	XP_001120779.3	LOC106786727	LOC107068171
XP_015179976.1	XP_014615722.1	OG0003422	FBgn0038275	Lflavo2a010153	XP_006559947.1	LOC106793365	LOC107068270
XP_015180013.1	XP_014609782.1	OG0003474	FBgn0014189	Lflavo2a009370	XP_006561684.1	LOC106789801	LOC107068300
XP_015180107.1	XP_014616251.1	OG0003479	FBgn0032198	Lflavo2a012043	XP_006561839.1	LOC106793644	LOC107068338
XP_015180190.1	XP_014611326.1	OG0003554	FBgn0034498	Lflavo2a001593	XP_006566667.2	LOC106790733	LOC107068379
XP_015180238.1	XP_014608080.1	OG0003523	FBgn0024314	Lflavo2a008334	XP_006564578.2	LOC106788894	LOC107068411
XP_015180352.1	XP_014616388.1	OG0003482	FBgn0260987	Lflavo2a011652	XP_006562035.1	LOC106793731	LOC107068466
XP_015180358.1	XP_014608159.1	OG0003662	FBgn0029913	Lflavo2a003599	XP_006572082.1	LOC106788934	LOC107068471
XP_015180361.1	XP_014608143.1	OG0003423	FBgn0052448	Lflavo2a000664	XP_006560007.3	LOC106788931	LOC107068475
XP_015180502.1	XP_014599813.1	OG0003182	FBgn0032223	Lflavo2a001395	XP_001120276.2	LOC106784597	LOC107068530
XP_015180544.1	XP_014608168.1	OG0003653	FBgn0085444	Lflavo2a007679	XP_006571527.1	LOC106788938	LOC107068544
XP_015180610.1	XP_014604532.1	OG0003515	FBgn0031494	Lflavo2a012022	XP_006564114.1	LOC106787041	LOC107068577
XP_015180759.1	XP_014607597.1	OG0003412	FBgn0033859	Lflavo2a006925	XP_006559764.1	LOC106788657	LOC107068635
XP_015180761.1	XP_014607595.1	OG0003426	FBgn0029067	Lflavo2a006029	XP_006560139.1	LOC106788656	LOC107068636
XP_015181016.1	XP_014604841.1	OG0003573	FBgn0045862	Lflavo2a003781	XP_006567286.1	LOC106787198	LOC107068788
XP_015181098.1	XP_014611895.1	OG0003375	FBgn0262730	Lflavo2a000567	XP_006558573.2	LOC106791054	LOC107068829
XP_015181114.1	XP_014608976.1	OG0003171	FBgn0031764	Lflavo2a001824	XP_001120059.3	LOC106789352	LOC107068839
XP_015181166.1	XP_014611900.1	OG0003357	FBgn0004959	Lflavo2a009012	XP_006557887.1	LOC106791058	LOC107068862
XP_015181184.1	XP_014604143.1	OG0003266	FBgn0040273	Lflavo2a002187	XP_003249083.2	LOC106786834	LOC107068877
XP_015181211.1	XP_014598963.1	OG0003509	FBgn0036975	Lflavo2a004497	XP_006563630.1	LOC106784190	LOC107068896
XP_015181228.1	XP_014612559.1	OG0003211	FBgn0025635	Lflavo2a011026	XP_001121172.2	LOC106791445	LOC107068907
XP_015181247.1	XP_014602726.1	OG0003202	FBgn0028471	Lflavo2a002741	XP_001120836.2	LOC106786146	LOC107068915
XP_015181404.1	XP_014601572.1	OG0003157	FBgn0266186	Lflavo2a000172	NP_001229456.1	LOC106785525	LOC107069013
XP_015181412.1	XP_014601560.1	OG0003327	FBgn0027779	Lflavo2a005888	XP_003251676.1	LOC106785519	LOC107069018
XP_015181420.1	XP_014601646.1	OG0003624	FBgn0034860	Lflavo2a000156	XP_006568996.1	LOC106785562	LOC107069023
XP_015181423.1	XP_014605345.1	OG0003501	FBgn0259233	Lflavo2a000904	XP_006563003.1	LOC106787487	LOC107069022
XP_015181465.1	XP_014601609.1	OG0003218	FBgn0004646	Lflavo2a012713	XP_001121323.1	LOC106785542	LOC107069045
XP_015181492.1	XP_014601647.1	OG0003167	FBgn0036742	Lflavo2a009419	XP_001120030.2	LOC106785563	LOC107069059
XP_015181536.1	XP_014601085.1	OG0003476	FBgn0027378	Lflavo2a011102	XP_006561709.1	LOC106785286	LOC107069078
XP_015181539.1	XP_014601089.1	OG0003225	FBgn0287186	Lflavo2a011130	XP_001121493.2	LOC106785290	LOC107069081
XP_015181548.1	XP_014603474.1	OG0003381	FBgn0086346	Lflavo2a007433	XP_006558813.1	LOC106786517	LOC107069087
XP_015181779.1	XP_014598744.1	OG0003163	FBgn0038095	Lflavo2a009401	XP_001119928.2	LOC106784108	LOC107069203
XP_015181802.1	XP_014612043.1	OG0003641	FBgn0051133	Lflavo2a008307	XP_006570730.1	LOC106791139	LOC107069221
XP_015182001.1	XP_014610717.1	OG0003373	FBgn0004087	Lflavo2a014255	XP_006558546.1	LOC106790397	LOC107069308
XP_015182169.1	XP_014598665.1	OG0003246	FBgn0243516	Lflavo2a013779	XP_001122365.1	LOC106784063	LOC107069399
XP_015182193.1	XP_014598628.1	OG0003465	FBgn0030833	Lflavo2a012404	XP_006561315.1	LOC106784045	LOC107069408
XP_015182258.1	XP_014610956.1	OG0003203	FBgn0035952	Lflavo2a013622	XP_001120946.2	LOC106790509	LOC107069447
XP_015182381.1	XP_014601157.1	OG0003620	FBgn0033679	Lflavo2a005211	XP_006568853.2	LOC106785318	LOC107069511
XP_015182390.1	XP_014605431.1	OG0003545	FBgn0036686	Lflavo2a011453	XP_006566151.2	LOC106787521	LOC107069516
XP_015182398.1	XP_014601087.1	OG0003461	FBgn0010741	Lflavo2a005215	XP_006561235.1	LOC106785288	LOC107069519
XP_015182456.1	XP_014606471.1	OG0003518	FBgn0032465	Lflavo2a002252	XP_006564210.1	LOC106788064	LOC107069550
XP_015182552.1	XP_014605117.1	OG0003262	FBgn0035831	Lflavo2a002135	XP_001123127.4	LOC106787345	LOC107069615
XP_015182653.1	XP_014614849.1	OG0003497	FBgn0037741	Lflavo2a005938	XP_006562728.3	LOC106792836	LOC107069670
XP_015182665.1	XP_014605172.1	OG0003383	FBgn0028292	Lflavo2a001916	XP_006558927.1	LOC106787375	LOC107069675
XP_015182676.1	XP_014602761.1	OG0003179	FBgn0033450	Lflavo2a002022	XP_001120196.2	LOC106786166	LOC107069686
XP_015182837.1	XP_014603819.1	OG0003352	FBgn0030884	Lflavo2a002113	XP_006557827.2	LOC106786680	LOC107069771
XP_015182840.1	XP_014612250.1	OG0003207	FBgn0019938	Lflavo2a008057	XP_001121092.2	LOC106791252	LOC107069775
XP_015182852.1	XP_014612224.1	OG0003494	FBgn0250848	Lflavo2a008083	XP_006562600.2	LOC106791238	LOC107069778
XP_015182957.1	XP_014610650.1	OG0003538	FBgn0033890	Lflavo2a001582	XP_006565976.1	LOC106790347	LOC107069837
XP_015182962.1	XP_014610661.1	OG0003338	FBgn0030850	Lflavo2a011437	XP_006557271.1	LOC106790356	LOC107069840
XP_015183007.1	XP_014610791.1	OG0003517	FBgn0029955	Lflavo2a006299	XP_006564182.3	LOC106790431	LOC107069863
XP_015183051.1	XP_014598477.1	OG0003312	FBgn0037217	Lflavo2a008294	XP_003251065.2	LOC106783965	LOC107069881
XP_015183087.1	XP_014597747.1	OG0003646	FBgn0033273	Lflavo2a001414	XP_006570983.1	LOC106783591	LOC107069898
XP_015183119.1	XP_014597822.1	OG0003154	FBgn0030545	Lflavo2a003415	NP_001229386.1	LOC106783632	LOC107069915
XP_015183210.1	XP_014616751.1	OG0003647	FBgn0001970	Lflavo2a007114	XP_006570985.1	LOC106793956	LOC107069969
XP_015183377.1	XP_014607651.1	OG0003648	FBgn0052369	Lflavo2a008765	XP_006571000.1	LOC106788682	LOC107070052
XP_015183435.1	XP_014616491.1	OG0003162	FBgn0039007	Lflavo2a009660	XP_001119829.1	LOC106793798	LOC107070084
XP_015183499.1	XP_014616615.1	OG0003234	FBgn0047178	Lflavo2a002262	XP_001121977.2	LOC106793866	LOC107070114
XP_015183526.1	XP_014614553.1	OG0003243	FBgn0033358	Lflavo2a009541	XP_001122204.2	LOC106792596	LOC107070135
XP_015183594.1	XP_014616127.1	OG0003140	FBgn0004034	Lflavo2a010682	NP_001091693.1	LOC106793592	LOC107070171
XP_015183619.1	XP_014598557.1	OG0003655	FBgn0000543	Lflavo2a002428	XP_006571766.1	LOC106784000	LOC107070182
XP_015183662.1	XP_014607923.1	OG0003150	FBgn0038766	Lflavo2a002562	NP_001193898.1	LOC106788829	LOC107070203
XP_015183772.1	XP_014607810.1	OG0003563	FBgn0027079	Lflavo2a012527	XP_006566781.2	LOC106788769	LOC107070258
XP_015183778.1	XP_014607821.1	OG0003308	FBgn0030208	Lflavo2a011319	XP_003250884.1	LOC106788776	LOC107070261
XP_015183871.1	XP_014606228.1	OG0003350	FBgn0038073	Lflavo2a010718	XP_006557734.1	LOC106787948	LOC107070311
XP_015184126.1	XP_014616412.1	OG0003290	FBgn0038592	Lflavo2a011065	XP_003249878.1	LOC106793748	LOC107070434
XP_015184177.1	XP_014616407.1	OG0003289	FBgn0259223	Lflavo2a008476	XP_003249871.1	LOC106793744	LOC107070456
XP_015184185.1	XP_014603768.1	OG0003396	FBgn0028968	Lflavo2a009426	XP_006559436.1	LOC106786653	LOC107070463
XP_015184245.1	XP_014603824.1	OG0003151	FBgn0031703	Lflavo2a010216	NP_001193902.1	LOC106786684	LOC107070496
XP_015184290.1	XP_014613298.1	OG0003621	FBgn0036354	Lflavo2a009609	XP_006568854.1	LOC106791851	LOC107070523
XP_015184296.1	XP_014613322.1	OG0003622	FBgn0033929	Lflavo2a001220	XP_006568860.1	LOC106791862	LOC107070527
XP_015184301.1	XP_014613281.1	OG0003462	FBgn0025802	Lflavo2a000707	XP_006561239.1	LOC106791841	LOC107070531
XP_015184359.1	XP_014613319.1	OG0003227	FBgn0034722	Lflavo2a003053	XP_001121513.2	LOC106791861	LOC107070560
XP_015184509.1	XP_014601876.1	OG0003658	FBgn0024733	Lflavo2a013204	XP_006571960.1	LOC106785711	LOC107070637
XP_015184585.1	XP_014599395.1	OG0003358	FBgn0033224	Lflavo2a005540	XP_006557930.1	LOC106784415	LOC107070672
XP_015184617.1	XP_014606127.1	OG0003369	FBgn0037546	Lflavo2a008516	XP_006558421.1	LOC106787893	LOC107070694
XP_015184634.1	XP_014614523.1	OG0003252	FBgn0043002	Lflavo2a000415	XP_001122640.1	LOC106792567	LOC107070710
XP_015184665.1	XP_014614516.1	OG0003173	FBgn0250850	Lflavo2a010637	XP_001120093.2	LOC106792562	LOC107070724
XP_015184704.1	XP_014598266.1	OG0003596	FBgn0034261	Lflavo2a002007	XP_006568026.2	LOC106783860	LOC107070743
XP_015184835.1	XP_014616227.1	OG0003264	FBgn0033879	Lflavo2a009039	XP_001123353.2	LOC106793617	LOC107070823
XP_015184845.1	XP_014605282.1	OG0003643	FBgn0032640	Lflavo2a001092	XP_006570790.1	LOC106787324	LOC107070828
XP_015184913.1	XP_014608919.1	OG0003366	FBgn0033405	Lflavo2a004487	XP_006558364.1	LOC106789322	LOC107070882
XP_015185473.1	XP_014616552.1	OG0003418	FBgn0031498	Lflavo2a010317	XP_006559866.1	LOC106793832	LOC107071199
XP_015185505.1	XP_014607016.1	OG0003295	FBgn0025724	Lflavo2a001248	XP_003250340.3	LOC106788355	LOC107071222
XP_015185564.1	XP_014612469.1	OG0003470	FBgn0040212	Lflavo2a002927	XP_006561444.3	LOC106791381	LOC107071250
XP_015185628.1	XP_014606292.1	OG0003533	FBgn0264305	Lflavo2a006724	XP_006565670.1	LOC106787980	LOC107071274
XP_015185687.1	XP_014606363.1	OG0003500	FBgn0035027	Lflavo2a002521	XP_006562961.2	LOC106788007	LOC107071309
XP_015185728.1	XP_014601399.1	OG0003363	FBgn0042135	Lflavo2a010771	XP_006558244.2	LOC106785435	LOC107071330
XP_015185843.1	XP_014612138.1	OG0003242	FBgn0034743	Lflavo2a007668	XP_001122174.1	LOC106791182	LOC107071389
XP_015185884.1	XP_014611185.1	OG0003176	FBgn0037465	Lflavo2a010831	XP_001120149.1	LOC106790637	LOC107071414
XP_015185902.1	XP_014611199.1	OG0003505	FBgn0023534	Lflavo2a002795	XP_006563316.1	LOC106790649	LOC107071423
