Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata
OG0000916	Caust.v2_005884	gene-LOC108622166	gene-LOC117227373	gene-LOC106786892	gene-LOC107068225	Lflavo2a006564
OG0000918	Caust.v2_009532	gene-LOC108629901	gene-LOC117222063	gene-LOC106784605	gene-LOC107065100	Lflavo2a008760
OG0000922	Caust.v2_012590	gene-LOC108624832	gene-LOC117218330	gene-LOC106792202	gene-LOC107074078	Lflavo2a001388
OG0000925	Caust.v2_004440	gene-LOC108625917	gene-LOC117219210	gene-LOC106792288	gene-LOC107073838	Lflavo2a001169
OG0000927	Caust.v2_001796	gene-LOC108626255	gene-LOC117218015	gene-LOC106787312	gene-LOC107066755	Lflavo2a000701
OG0000930	Caust.v2_016241	gene-LOC108623226	gene-LOC117229568	gene-LOC106785035	gene-LOC107073916	Lflavo2a006472
OG0000933	Caust.v2_011793	gene-LOC108625696	gene-LOC117227837	gene-LOC106788080	gene-LOC107068971	Lflavo2a009514
OG0000935	Caust.v2_003428	gene-LOC108632003	gene-LOC117217552	gene-LOC106789057	gene-LOC107065999	Lflavo2a007946
OG0000936	Caust.v2_014018	gene-LOC108624812	gene-LOC117227644	gene-LOC106789631	gene-LOC107068783	Lflavo2a007693
OG0000938	Caust.v2_005411	gene-LOC108629577	gene-LOC117227272	gene-LOC106792374	gene-LOC107067064	Lflavo2a013067
OG0000939	Caust.v2_009532	gene-LOC108631519	gene-LOC117222984	gene-LOC106793214	gene-LOC107072336	Lflavo2a011276
OG0000942	Caust.v2_005176	gene-LOC108627226	gene-LOC117220155	gene-LOC106789507	gene-LOC107069693	Lflavo2a011227
OG0000946	Caust.v2_000357	gene-LOC108629284	gene-LOC117229824	gene-LOC106786538	gene-LOC107069101	Lflavo2a007756
OG0000947	Caust.v2_013557	gene-LOC108632734	gene-LOC117226766	gene-LOC106788901	gene-LOC107068310	Lflavo2a000208
OG0000948	Caust.v2_000050	gene-LOC108622589	gene-LOC117226811	gene-LOC106784808	gene-LOC107066821	Lflavo2a001437
OG0000949	Caust.v2_006745	gene-LOC108626751	gene-LOC117219235	gene-LOC106790103	gene-LOC107064125	Lflavo2a000373
OG0000952	Caust.v2_009532	gene-LOC108623644	gene-LOC117227139	gene-LOC106791993	gene-LOC107070487	Lflavo2a006197
OG0000953	Caust.v2_010859	gene-LOC108623753	gene-LOC117220798	gene-LOC106786197	gene-LOC107069741	Lflavo2a007235
OG0000954	Caust.v2_014224	gene-LOC108623757	gene-LOC117226621	gene-LOC106790927	gene-LOC107064706	Lflavo2a002598
OG0000960	Caust.v2_003518	gene-LOC108629422	gene-LOC117226670	gene-LOC106786243	gene-LOC107072651	Lflavo2a012964
OG0000961	Caust.v2_009532	gene-LOC108632326	gene-LOC117228790	gene-LOC106791738	gene-LOC107064721	Lflavo2a004157
OG0000964	Caust.v2_005758	gene-LOC108631944	gene-LOC117219928	gene-LOC106784244	gene-LOC107073824	Lflavo2a001685
OG0000968	Caust.v2_017355	gene-LOC108625449	gene-LOC117221569	gene-LOC106789570	gene-LOC107073102	Lflavo2a000458
OG0000970	Caust.v2_004135	gene-LOC108630382	gene-LOC117229148	gene-LOC106792638	gene-LOC107067408	Lflavo2a013004
OG0000975	Caust.v2_001733	gene-LOC108622207	gene-LOC117229640	gene-LOC106785327	gene-LOC107069517	Lflavo2a011496
OG0000979	Caust.v2_001891	gene-LOC108628620	gene-LOC117223803	gene-LOC106792200	gene-LOC107067146	Lflavo2a001043
OG0000980	Caust.v2_013998	gene-LOC108624370	gene-LOC117223883	gene-LOC106793692	gene-LOC107066112	Lflavo2a011663
OG0000984	Caust.v2_015697	gene-LOC108625025	gene-LOC117227535	gene-LOC106793104	gene-LOC107071607	Lflavo2a011546
OG0000985	Caust.v2_016631	gene-LOC108624793	gene-LOC117219480	gene-LOC106785901	gene-LOC107074646	Lflavo2a003970
OG0000986	Caust.v2_020307	gene-LOC108628483	gene-LOC117218657	gene-LOC106784173	gene-LOC107064778	Lflavo2a004241
OG0000988	Caust.v2_005951	gene-LOC108628099	gene-LOC117230097	gene-LOC106783781	gene-LOC107072929	Lflavo2a005635
OG0000992	Caust.v2_007230	gene-LOC108632572	gene-LOC117221992	gene-LOC106790229	gene-LOC107067321	Lflavo2a000146
OG0000993	Caust.v2_009532	gene-LOC108628813	gene-LOC117223542	gene-LOC106791830	gene-LOC107073212	Lflavo2a004368
OG0000994	Caust.v2_005027	gene-LOC108632123	gene-LOC117223300	gene-LOC106787559	gene-LOC107073824	Lflavo2a002758
OG0000997	Caust.v2_000831	gene-LOC108625853	gene-LOC117225561	gene-LOC106793322	gene-LOC107068210	Lflavo2a008060
OG0000998	Caust.v2_001415	gene-LOC108624024	gene-LOC117230066	gene-LOC106786518	gene-LOC107063648	Lflavo2a005643
OG0001000	Caust.v2_006826	gene-LOC108627999	gene-LOC117224652	gene-LOC106791912	gene-LOC107066715	Lflavo2a009444
OG0001002	Caust.v2_013250	gene-LOC108631548	gene-LOC117221813	gene-LOC106793587	gene-LOC107063995	Lflavo2a001477
OG0001003	Caust.v2_008436	gene-LOC108631706	gene-LOC117227109	gene-LOC106785331	gene-LOC107069520	Lflavo2a002357
OG0001006	Caust.v2_002116	gene-LOC108629230	gene-LOC117217907	gene-LOC106793111	gene-LOC107071647	Lflavo2a013022
OG0001012	Caust.v2_017569	gene-LOC108630127	gene-LOC117222220	gene-LOC106785452	gene-LOC107071327	Lflavo2a010783
OG0001013	Caust.v2_018483	gene-LOC108626388	gene-LOC117223885	gene-LOC106793691	gene-LOC107066077	Lflavo2a011642
OG0001014	Caust.v2_004971	gene-LOC108626716	gene-LOC117227797	gene-LOC106789054	gene-LOC107066011	Lflavo2a008011
OG0001018	Caust.v2_014195	gene-LOC108628686	gene-LOC117219218	gene-LOC106791603	gene-LOC107072577	Lflavo2a006524
OG0001019	Caust.v2_009532	gene-LOC108630979	gene-LOC117221307	gene-LOC106791688	gene-LOC107070299	Lflavo2a012251
OG0001026	Caust.v2_021975	gene-LOC108627004	gene-LOC117224128	gene-LOC106787664	gene-LOC107071114	Lflavo2a001111
OG0001029	Caust.v2_012631	gene-LOC108632908	gene-LOC117221999	gene-LOC106793726	gene-LOC107070718	Lflavo2a002331
OG0001030	Caust.v2_017087	gene-LOC108626972	gene-LOC117220965	gene-LOC106788832	gene-LOC107070230	Lflavo2a009057
OG0001033	Caust.v2_013456	gene-LOC108627254	gene-LOC117223430	gene-LOC106788852	gene-LOC107070232	Lflavo2a008662
OG0001036	Caust.v2_008819	gene-LOC108623430	gene-LOC117222746	gene-LOC106790192	gene-LOC107072545	Lflavo2a002544
OG0001037	Caust.v2_001001	gene-LOC108625118	gene-LOC117225384	gene-LOC106786405	gene-LOC107065483	Lflavo2a005501
OG0001038	Caust.v2_001027	gene-LOC108631269	gene-LOC117230003	gene-LOC106790904	gene-LOC107071923	Lflavo2a009512
OG0001041	Caust.v2_004858	gene-LOC108632675	gene-LOC117225348	gene-LOC106786226	gene-LOC107063647	Lflavo2a014103
OG0001042	Caust.v2_001258	gene-LOC108623536	gene-LOC117224275	gene-LOC106783585	gene-LOC107069872	Lflavo2a013631
OG0001044	Caust.v2_003043	gene-LOC108622735	gene-LOC117225283	gene-LOC106793575	gene-LOC107064001	Lflavo2a004107
OG0001045	Caust.v2_003913	gene-LOC108629959	gene-LOC117225658	gene-LOC106785644	gene-LOC107066552	Lflavo2a014262
OG0001047	Caust.v2_015830	gene-LOC108623434	gene-LOC117222438	gene-LOC106788516	gene-LOC107069288	Lflavo2a002934
OG0001049	Caust.v2_012273	gene-LOC108629731	gene-LOC117226278	gene-LOC106792847	gene-LOC107069015	Lflavo2a000921
OG0001050	Caust.v2_006835	gene-LOC108629744	gene-LOC117226471	gene-LOC106787023	gene-LOC107068581	Lflavo2a007068
OG0001052	Caust.v2_007885	gene-LOC108628228	gene-LOC117223096	gene-LOC106793825	gene-LOC107070066	Lflavo2a007011
OG0001053	Caust.v2_003103	gene-LOC108622293	gene-LOC117229900	gene-LOC106787333	gene-LOC107066741	Lflavo2a001561
OG0001054	Caust.v2_017060	gene-LOC108629033	gene-LOC117227506	gene-LOC106784528	gene-LOC107068448	Lflavo2a013181
OG0001055	Caust.v2_018261	gene-LOC108630430	gene-LOC117218626	gene-LOC106790790	gene-LOC107067475	Lflavo2a004029
OG0001060	Caust.v2_012084	gene-LOC108632881	gene-LOC117222171	gene-LOC106789437	gene-LOC107072753	Lflavo2a003581
OG0001062	Caust.v2_014112	gene-LOC108623951	gene-LOC117229752	gene-LOC106786532	gene-LOC107069135	Lflavo2a007733
OG0001063	Caust.v2_015477	gene-LOC108629272	gene-LOC117217969	gene-LOC106791229	gene-LOC107065755	Lflavo2a013379
OG0001064	Caust.v2_007081	gene-LOC108632572	gene-LOC117228119	gene-LOC106793725	gene-LOC107068305	Lflavo2a009929
OG0001068	Caust.v2_003539	gene-LOC108626574	gene-LOC117220741	gene-LOC106784863	gene-LOC107071939	Lflavo2a013313
OG0001069	Caust.v2_007420	gene-LOC108626878	gene-LOC117218420	gene-LOC106788379	gene-LOC107066329	Lflavo2a007906
OG0001074	Caust.v2_018470	gene-LOC108630719	gene-LOC117220995	gene-LOC106793566	gene-LOC107065749	Lflavo2a005688
OG0001076	Caust.v2_004591	gene-LOC108631946	gene-LOC117227254	gene-LOC106791424	gene-LOC107072908	Lflavo2a006259
OG0001078	Caust.v2_003223	gene-LOC108632572	gene-LOC117222635	gene-LOC106784091	gene-LOC107064911	Lflavo2a004503
OG0001079	Caust.v2_016117	gene-LOC108632740	gene-LOC117226770	gene-LOC106784042	gene-LOC107069389	Lflavo2a013724
OG0001080	Caust.v2_014069	gene-LOC108623233	gene-LOC117221346	gene-LOC106786062	gene-LOC107065093	Lflavo2a012297
OG0001083	Caust.v2_014122	gene-LOC108632950	gene-LOC117220556	gene-LOC106789749	gene-LOC107073939	Lflavo2a011745
OG0001090	Caust.v2_005706	gene-LOC108632126	gene-LOC117223351	gene-LOC106784173	gene-LOC107067882	Lflavo2a013543
OG0001092	Caust.v2_000878	gene-LOC113464602	gene-LOC117225307	gene-LOC106787344	gene-LOC107066018	Lflavo2a011260
OG0001094	Caust.v2_009532	gene-LOC108625286	gene-LOC117218075	gene-LOC106793458	gene-LOC107064570	Lflavo2a000695
OG0001096	Caust.v2_009532	gene-LOC108623415	gene-LOC117222671	gene-LOC106789933	gene-LOC107067585	Lflavo2a011441
OG0001097	Caust.v2_011296	gene-LOC108626845	gene-LOC117227529	gene-LOC106792957	gene-LOC107072797	Lflavo2a001448
OG0001099	Caust.v2_012821	gene-LOC108622487	gene-LOC117220776	gene-LOC106792322	gene-LOC107071832	Lflavo2a005807
OG0001102	Caust.v2_009532	gene-LOC108627665	gene-LOC117226359	gene-LOC106785259	gene-LOC107074607	Lflavo2a010305
OG0001103	Caust.v2_002096	gene-LOC108625401	gene-LOC117217893	gene-LOC106783674	gene-LOC107065888	Lflavo2a006967
OG0001105	Caust.v2_002495	gene-LOC108632172	gene-LOC117225089	gene-LOC106786357	gene-LOC107065442	Lflavo2a004223
OG0001107	Caust.v2_000092	gene-LOC108630206	gene-LOC117218531	gene-LOC106788420	gene-LOC107073362	Lflavo2a006824
OG0001109	Caust.v2_009532	gene-LOC108623762	gene-LOC117226566	gene-LOC106784222	gene-LOC107064289	Lflavo2a001979
OG0001112	Caust.v2_002381	gene-LOC108628753	gene-LOC117218213	gene-LOC106786827	gene-LOC107068923	Lflavo2a001234
OG0001113	Caust.v2_003633	gene-LOC108624436	gene-LOC117218965	gene-LOC106793245	gene-LOC107067607	Lflavo2a010381
OG0001116	Caust.v2_016740	gene-LOC108632572	gene-LOC117224889	gene-LOC106792398	gene-LOC107066446	Lflavo2a005167
OG0001127	Caust.v2_002072	gene-LOC113463822	gene-LOC117218089	gene-LOC106793533	gene-LOC107068709	Lflavo2a003157
OG0001128	Caust.v2_014796	gene-LOC108631002	gene-LOC117221299	gene-LOC106793303	gene-LOC107072724	Lflavo2a007097
OG0001130	Caust.v2_007715	gene-LOC108628067	gene-LOC117221465	gene-LOC106789125	gene-LOC107071002	Lflavo2a008593
OG0001131	Caust.v2_009558	gene-LOC108628999	gene-LOC117220416	gene-LOC106784787	gene-LOC107066819	Lflavo2a001506
OG0001133	Caust.v2_017651	gene-LOC108632295	gene-LOC117224361	gene-LOC106786824	gene-LOC107068912	Lflavo2a009981
OG0001138	Caust.v2_004735	gene-LOC108631127	gene-LOC117227678	gene-LOC106784173	gene-LOC107072206	Lflavo2a013251
OG0001141	Caust.v2_002937	gene-LOC108625885	gene-LOC117227652	gene-LOC106789193	gene-LOC107064441	Lflavo2a004217
OG0001143	Caust.v2_012007	gene-LOC108630463	gene-LOC117219193	gene-LOC106791901	gene-LOC107064061	Lflavo2a000232
OG0001144	Caust.v2_021643	gene-LOC108632572	gene-LOC117224543	gene-LOC106794073	gene-LOC107067020	Lflavo2a004932
OG0001145	Caust.v2_005311	gene-LOC108630348	gene-LOC117228078	gene-LOC106784406	gene-LOC107072507	Lflavo2a007068
OG0001146	Caust.v2_004007	gene-LOC108631555	gene-LOC117227867	gene-LOC106790315	gene-LOC107072246	Lflavo2a003186
OG0001148	Caust.v2_017981	gene-LOC108629447	gene-LOC117228674	gene-LOC106790460	gene-LOC107066975	Lflavo2a010920
OG0001149	Caust.v2_006914	gene-LOC108632343	gene-LOC117221437	gene-LOC106783910	gene-LOC107066221	Lflavo2a008571
OG0001152	Caust.v2_000531	gene-LOC108632984	gene-LOC117222534	gene-LOC106789642	gene-LOC107073824	Lflavo2a003602
OG0001154	Caust.v2_009532	gene-LOC108622561	gene-LOC117224081	gene-LOC106784644	gene-LOC107065019	Lflavo2a011349
OG0001155	Caust.v2_009532	gene-LOC108630205	gene-LOC117226851	gene-LOC106784799	gene-LOC107066792	Lflavo2a004129
OG0001156	Caust.v2_000087	gene-LOC108630209	gene-LOC117226836	gene-LOC106784807	gene-LOC107066871	Lflavo2a004165
OG0001157	Caust.v2_009895	gene-LOC108632572	gene-LOC117224891	gene-LOC106786366	gene-LOC107065526	Lflavo2a008878
OG0001161	Caust.v2_006660	gene-LOC108623828	gene-LOC117219723	gene-LOC106790381	gene-LOC107072987	Lflavo2a005744
OG0001162	Caust.v2_006213	gene-LOC108626432	gene-LOC117217416	gene-LOC106785189	gene-LOC107065155	Lflavo2a013568
OG0001163	Caust.v2_017686	gene-LOC108626190	gene-LOC117219197	gene-LOC106785656	gene-LOC107067341	Lflavo2a002713
OG0001165	Caust.v2_014631	gene-LOC108627005	gene-LOC117228547	gene-LOC106791376	gene-LOC107073194	Lflavo2a002564
OG0001168	Caust.v2_000490	gene-LOC108633070	gene-LOC117223705	gene-LOC106790767	gene-LOC107066430	Lflavo2a009850
OG0001169	Caust.v2_005818	gene-LOC108623384	gene-LOC117218876	gene-LOC106790409	gene-LOC107071120	Lflavo2a001119
OG0001170	Caust.v2_001898	gene-LOC108628597	gene-LOC117223211	gene-LOC106787613	gene-LOC107072927	Lflavo2a001654
OG0001172	Caust.v2_004697	gene-LOC108631864	gene-LOC117219516	gene-LOC106788873	gene-LOC107068792	Lflavo2a004404
OG0001176	Caust.v2_005865	gene-LOC108632541	gene-LOC117227497	gene-LOC106789896	gene-LOC107067171	Lflavo2a011537
OG0001178	Caust.v2_001158	gene-LOC108622014	gene-LOC117217606	gene-LOC106784173	gene-LOC107071018	Lflavo2a002838
OG0001181	Caust.v2_009532	gene-LOC108626172	gene-LOC117220318	gene-LOC106790324	gene-LOC107070551	Lflavo2a002606
OG0001182	Caust.v2_005667	gene-LOC108626116	gene-LOC117220274	gene-LOC106790493	gene-LOC107072593	Lflavo2a002513
OG0001186	Caust.v2_004069	gene-LOC108627768	gene-LOC117226026	gene-LOC106788484	gene-LOC107072844	Lflavo2a012695
OG0001189	Caust.v2_008684	gene-LOC108626620	gene-LOC117222781	gene-LOC106791179	gene-LOC107070914	Lflavo2a000914
OG0001190	Caust.v2_014404	gene-LOC108623834	gene-LOC117221094	gene-LOC106789646	gene-LOC107068739	Lflavo2a008511
OG0001194	Caust.v2_009532	gene-LOC108631671	gene-LOC117221134	gene-LOC106790574	gene-LOC107070927	Lflavo2a002786
OG0001195	Caust.v2_011141	gene-LOC108632089	gene-LOC117226738	gene-LOC106787317	gene-LOC107065436	Lflavo2a008358
OG0001196	Caust.v2_004484	gene-LOC108631730	gene-LOC117221193	gene-LOC106791796	gene-LOC107070937	Lflavo2a013515
