OG0003335 Caust.v2_010930 Lflavo2a009797P1 XP_014615259.1 XP_015176212.1 XP_017879800.1 XP_033340136.1
OG0003538 Caust.v2_004320 Lflavo2a004608P1 XP_014597926.1 XP_015185900.1 XP_026671079.1 XP_033333077.1
OG0003539 Caust.v2_004336 Lflavo2a005467P1 XP_014609885.1 XP_015178127.1 XP_017879617.1 XP_033337133.1
OG0003540 Caust.v2_004338 Lflavo2a006467P1 XP_014613335.1 XP_015188099.1 XP_026669058.1 XP_033324353.1
OG0003543 Caust.v2_004349 Lflavo2a007999P1 XP_014616671.1 XP_015191785.1 XP_017879511.1 XP_033324232.1
OG0003545 Caust.v2_004362 Lflavo2a010393P1 XP_014613832.1 XP_015176455.1 XP_017879569.1 XP_033327985.1
OG0003548 Caust.v2_017427 Lflavo2a007545P1 XP_014603333.1 XP_015191816.1 XP_017875531.1 XP_033335959.1
OG0003551 Caust.v2_013781 Lflavo2a006621P1 XP_014606626.1 XP_015182795.1 XP_017881510.1 XP_033340775.1
OG0003552 Caust.v2_020794 Lflavo2a000390P1 XP_014611881.1 XP_015184644.1 XP_017887637.1 XP_033335295.1
OG0003555 Caust.v2_012107 Lflavo2a000926P1 XP_014610591.1 XP_015187486.1 XP_017882283.1 XP_033336590.1
OG0003556 Caust.v2_010168 Lflavo2a000890P1 XP_014599820.1 XP_015173229.1 XP_017891516.1 XP_033340380.1
OG0003561 Caust.v2_009789 Lflavo2a005511P1 XP_014607032.1 XP_015179536.1 XP_026673335.1 XP_033336413.1
OG0003564 Caust.v2_009972 Lflavo2a008439P1 XP_014606912.1 XP_015171286.1 XP_017878869.1 XP_033322961.1
OG0003567 Caust.v2_006442 Lflavo2a003226P1 XP_014600922.1 XP_015174399.1 XP_017886693.1 XP_033325136.1
OG0003573 Caust.v2_006803 Lflavo2a003642P1 XP_014603343.1 XP_015179774.1 XP_017885009.1 XP_033336671.1
OG0003574 Caust.v2_006840 Lflavo2a003630P2 XP_014599038.1 XP_015172174.1 XP_017888099.1 XP_033336661.1
OG0003581 Caust.v2_008575 Lflavo2a003715P1 XP_014604987.1 XP_015184766.1 XP_017881412.1 XP_033337505.1
OG0003585 Caust.v2_012331 Lflavo2a012549P1 XP_014607830.1 XP_015183753.1 XP_026668656.1 XP_033334872.1
OG0003586 Caust.v2_007453 Lflavo2a012248P1 XP_014614433.1 XP_015191847.1 XP_017890246.1 XP_033325623.1
OG0003587 Caust.v2_007472 Lflavo2a008244P1 XP_014613977.1 XP_015179985.1 XP_017882378.1 XP_033324360.1
OG0003591 Caust.v2_012314 Lflavo2a006410P1 XP_014612245.1 XP_015175918.1 XP_017875234.1 XP_033326887.1
OG0003596 Caust.v2_010366 Lflavo2a001469P1 XP_014616102.1 XP_015171677.1 XP_017885195.1 XP_033331110.1
OG0003599 Caust.v2_012179 Lflavo2a013794P1 XP_014615325.1 XP_015180965.1 XP_026674588.1 XP_033332473.1
OG0003600 Caust.v2_012192 Lflavo2a013602P1 XP_014615317.1 XP_015178941.1 XP_026674601.1 XP_033325170.1
OG0003605 Caust.v2_013982 Lflavo2a007686P1 XP_014612669.1 XP_015175347.1 XP_026670611.1 XP_033338637.1
OG0003608 Caust.v2_017283 Lflavo2a011518P1 XP_014613947.1 XP_015177759.1 XP_026671788.1 XP_033335678.1
OG0003620 Caust.v2_004200 Lflavo2a002781P1 XP_014598904.1 XP_015172138.1 XP_017875923.1 XP_033327898.1
OG0003621 Caust.v2_004214 Lflavo2a012201P1 XP_014604915.1 XP_015182674.1 XP_017888373.1 XP_033338294.1
OG0003625 Caust.v2_004261 Lflavo2a009699P1 XP_014601473.1 XP_015188023.1 XP_017875015.1 XP_033333760.1
OG0003628 Caust.v2_005409 Lflavo2a013082P1 XP_014614660.1 XP_015177723.1 XP_026673228.1 XP_033338293.1
OG0003629 Caust.v2_005402 Lflavo2a004808P1 XP_014610375.1 XP_015181451.1 XP_017887844.1 XP_033336989.1
OG0003630 Caust.v2_005432 Lflavo2a013517P2 XP_014607675.1 XP_015174517.1 XP_017892817.1 XP_033333435.1
OG0003632 Caust.v2_005439 Lflavo2a013536P1 XP_014607681.1 XP_015174073.1 XP_017892818.1 XP_033333559.1
OG0003638 Caust.v2_011391 Lflavo2a012281P1 XP_014616862.1 XP_015187606.1 XP_017890067.1 XP_033328261.1
OG0003640 Caust.v2_015763 Lflavo2a001934P1 XP_014612345.1 XP_015174552.1 XP_017887623.1 XP_033332075.1
OG0003644 Caust.v2_004943 Lflavo2a005438P1 XP_014598505.1 XP_015187085.1 XP_017883111.1 XP_033333092.1
OG0003645 Caust.v2_004929 Lflavo2a006163P1 XP_014616466.1 XP_015184688.1 XP_017879598.1 XP_033324218.1
OG0003646 Caust.v2_004940 Lflavo2a014180P1 XP_014607782.1 XP_015183792.1 XP_017883115.1 XP_033324129.1
OG0003649 Caust.v2_004967 Lflavo2a002557P1 XP_014610938.1 XP_015188146.1 XP_017883017.1 XP_033327975.1
OG0003651 Caust.v2_004996 Lflavo2a006242P1 XP_014604722.1 XP_015173174.1 XP_026666557.1 XP_033340569.1
OG0003652 Caust.v2_004990 Lflavo2a010751P1 XP_014616598.1 XP_015183458.1 XP_017883064.1 XP_033323839.1
OG0003655 Caust.v2_010212 Lflavo2a003512P1 XP_014600604.1 XP_015190975.1 XP_017881013.1 XP_033328737.1
OG0003656 Caust.v2_010238 Lflavo2a006717P1 XP_014600606.1 XP_015173025.1 XP_017892673.1 XP_033335489.1
OG0003658 Caust.v2_003992 Lflavo2a010292P1 XP_014601225.1 XP_015179290.1 XP_017875005.1 XP_033330833.1
OG0003659 Caust.v2_004005 Lflavo2a002198P1 XP_014597976.1 XP_015185931.1 XP_017891047.1 XP_033333967.1
OG0003660 Caust.v2_004004 Lflavo2a006933P1 XP_014599281.1 XP_015181751.1 XP_026674804.1 XP_033339313.1
OG0003665 Caust.v2_011132 Lflavo2a010423P1 XP_014599944.1 XP_015173692.1 XP_026667644.1 XP_033325389.1
OG0003669 Caust.v2_015052 Lflavo2a013703P1 XP_014615175.1 XP_015174791.1 XP_017883651.1 XP_033332452.1
OG0003672 Caust.v2_018775 Lflavo2a012990P1 XP_014608453.1 XP_015187113.1 XP_017875534.1 XP_033335777.1
OG0003679 Caust.v2_007430 Lflavo2a002816P1 XP_014612556.1 XP_015181227.1 XP_017883288.1 XP_033327726.1
OG0003685 Caust.v2_003329 Lflavo2a002927P1 XP_014612469.1 XP_015185564.1 XP_017886674.1 XP_033338869.1
OG0003687 Caust.v2_003341 Lflavo2a001494P1 XP_014608703.1 XP_015185493.1 XP_026671096.1 XP_033338627.1
OG0003692 Caust.v2_006152 Lflavo2a006330P1 XP_014604738.1 XP_015173210.1 XP_017876695.1 XP_033339600.1
OG0003693 Caust.v2_006161 Lflavo2a008877P1 XP_014601636.1 XP_015182138.1 XP_017881973.1 XP_033340968.1
OG0003704 Caust.v2_001900 Lflavo2a003669P1 XP_014600421.1 XP_015176939.1 XP_017886092.1 XP_033339351.1
OG0003705 Caust.v2_001904 Lflavo2a010602P1 XP_014605925.1 XP_015181372.1 XP_026674587.1 XP_033331223.1
OG0003707 Caust.v2_001968 Lflavo2a011064P1 XP_014604378.1 XP_015187296.1 XP_017886051.1 XP_033341712.1
OG0003709 Caust.v2_001984 Lflavo2a008242P1 XP_014612273.1 XP_015185175.1 XP_026669652.1 XP_033332379.1
OG0003712 Caust.v2_016428 Lflavo2a010086P1 XP_014613410.1 XP_015180812.1 XP_017875199.1 XP_033339330.1
OG0003717 Caust.v2_009529 Lflavo2a008023P1 XP_014616970.1 XP_015177673.1 XP_017887105.1 XP_033340725.1
OG0003721 Caust.v2_019660 Lflavo2a002943P1 XP_014609329.1 XP_015183376.1 XP_017888519.1 XP_033322696.1
OG0003727 Caust.v2_008248 Lflavo2a010116P1 XP_014600724.1 XP_015171733.1 XP_017878140.1 XP_033332096.1
OG0003734 Caust.v2_006583 Lflavo2a012091P2 XP_014605093.1 XP_015187758.1 XP_017881438.1 XP_033323338.1
OG0003739 Caust.v2_006632 Lflavo2a009560P1 XP_014606483.1 XP_015173880.1 XP_017881230.1 XP_033339259.1
OG0003740 Caust.v2_009391 Lflavo2a011161P1 XP_014608173.1 XP_015180552.1 XP_017878352.1 XP_033339730.1
OG0003741 Caust.v2_009407 Lflavo2a006526P1 XP_014616204.1 XP_015185370.1 XP_026674883.1 XP_033336054.1
OG0003742 Caust.v2_015911 Lflavo2a001482P1 XP_014616107.1 XP_015171655.1 XP_017885194.1 XP_033331089.1
OG0003743 Caust.v2_018378 Lflavo2a014060P1 XP_014603266.1 XP_015190925.1 XP_017877886.1 XP_033322939.1
OG0003744 Caust.v2_002230 Lflavo2a004927P1 XP_014603965.1 XP_015175810.1 XP_017886284.2 XP_033341092.1
OG0003745 Caust.v2_002235 Lflavo2a003033P1 XP_014600600.1 XP_015178559.1 XP_026672527.1 XP_033341675.1
OG0003748 Caust.v2_002266 Lflavo2a006039P1 XP_014603185.1 XP_015174668.1 XP_017878294.1 XP_033326796.1
OG0003749 Caust.v2_002267 Lflavo2a005985P1 XP_014603187.1 XP_015174670.1 XP_017878298.1 XP_033326798.1
OG0003750 Caust.v2_002301 Lflavo2a009072P2 XP_014614865.1 XP_015172028.1 XP_026674153.1 XP_033324643.1
OG0003757 Caust.v2_013916 Lflavo2a002926P2 XP_014616239.1 XP_015183549.1 XP_017888489.1 XP_033324457.1
OG0003758 Caust.v2_017059 Lflavo2a012984P1 XP_014598572.1 XP_015185775.1 XP_017886873.1 XP_033325147.1
OG0003759 Caust.v2_008366 Lflavo2a008229P1 XP_014608922.1 XP_015183907.1 XP_017891134.1 XP_033321499.1
OG0003760 Caust.v2_008367 Lflavo2a005215P1 XP_014601087.1 XP_015182398.1 XP_026675118.1 XP_033321504.1
OG0003762 Caust.v2_008369 Lflavo2a001223P1 XP_014613324.1 XP_015184284.1 XP_026675119.1 XP_033321494.1
OG0003773 Caust.v2_016262 Lflavo2a007266P1 XP_014609923.1 XP_015175233.1 XP_017880174.1 XP_033338391.1
OG0003774 Caust.v2_016263 Lflavo2a004778P1 XP_014614359.1 XP_015188892.1 XP_026669355.1 XP_033321902.1
OG0003776 Caust.v2_008913 Lflavo2a004547P1 XP_014610279.1 XP_015172087.1 XP_017883576.1 XP_033339263.1
OG0003777 Caust.v2_008922 Lflavo2a010758P1 XP_014599720.1 XP_015180400.1 XP_017883568.1 XP_033338990.1
OG0003778 Caust.v2_008926 Lflavo2a007682P1 XP_014604323.1 XP_015186822.1 XP_026670885.1 XP_033338964.1
OG0003781 Caust.v2_008928 Lflavo2a007721P1 XP_014608142.1 XP_015181002.1 XP_017883168.1 XP_033338976.1
OG0003783 Caust.v2_007285 Lflavo2a000943P1 XP_014611853.1 XP_015188292.1 XP_026667187.1 XP_033341496.1
OG0003786 Caust.v2_009482 Lflavo2a000677P1 XP_014599082.1 XP_015176624.1 XP_017883174.1 XP_033329212.1
OG0003787 Caust.v2_009483 Lflavo2a000696P1 XP_014599081.1 XP_015176623.1 XP_026670919.1 XP_033329230.1
OG0003789 Caust.v2_006992 Lflavo2a012656P1 XP_014616004.1 XP_015180887.1 XP_017892832.1 XP_033339433.1
OG0003792 Caust.v2_011544 Lflavo2a008013P2 XP_014608377.1 XP_015175787.1 XP_017879822.1 XP_033338326.1
OG0003797 Caust.v2_003546 Lflavo2a013271P1 XP_014611486.1 XP_015182439.1 XP_017892522.1 XP_033321318.1
OG0003802 Caust.v2_003551 Lflavo2a007514P1 XP_014600713.1 XP_015171453.1 XP_017892554.1 XP_033321328.1
OG0003803 Caust.v2_020925 Lflavo2a000904P1 XP_014605345.1 XP_015181423.1 XP_026673359.1 XP_033336316.1
OG0003806 Caust.v2_012633 Lflavo2a011336P1 XP_014616401.1 XP_015184626.1 XP_026666589.1 XP_033322344.1
OG0003808 Caust.v2_016308 Lflavo2a001278P1 XP_014612889.1 XP_015185056.1 XP_017890081.1 XP_033339714.1
OG0003811 Caust.v2_005714 Lflavo2a001582P1 XP_014610650.1 XP_015182957.1 XP_026668986.1 XP_033334142.1
OG0003812 Caust.v2_005708 Lflavo2a008958P1 XP_014605020.1 XP_015177131.1 XP_017879343.1 XP_033323649.1
OG0003816 Caust.v2_015828 Lflavo2a000440P1 XP_014601475.1 XP_015178724.1 XP_017877548.1 XP_033330032.1
OG0003817 Caust.v2_015771 Lflavo2a002767P1 XP_014602430.1 XP_015172614.1 XP_017882284.1 XP_033334322.1
OG0003823 Caust.v2_002968 Lflavo2a013411P1 XP_014615919.1 XP_015172671.1 XP_017875068.1 XP_033328379.1
OG0003827 Caust.v2_003024 Lflavo2a004959P1 XP_014602064.1 XP_015173707.1 XP_017884078.1 XP_033324509.1
OG0003834 Caust.v2_016071 Lflavo2a010021P1 XP_014614253.1 XP_015184357.1 XP_017881049.1 XP_033339939.1
OG0003837 Caust.v2_007850 Lflavo2a009451P1 XP_014601638.1 XP_015181328.1 XP_017885044.1 XP_033331701.1
OG0003839 Caust.v2_007849 Lflavo2a007938P2 XP_014598247.1 XP_015173398.1 XP_017884385.1 XP_033330847.1
OG0003840 Caust.v2_007863 Lflavo2a010924P1 XP_014600342.1 XP_015175047.1 XP_017884975.1 XP_033335658.1
OG0003842 Caust.v2_013590 Lflavo2a008792P1 XP_014606012.1 XP_015172646.1 XP_017888602.1 XP_033335473.1
OG0003845 Caust.v2_012562 Lflavo2a003943P1 XP_014607859.1 XP_015190605.1 XP_017879858.1 XP_033322552.1
OG0003847 Caust.v2_014920 Lflavo2a005466P2 XP_014608876.1 XP_015185189.1 XP_017883324.1 XP_033327347.1
OG0003851 Caust.v2_020240 Lflavo2a008908P2 XP_014616489.1 XP_015183436.1 XP_026672221.1 XP_033339652.1
OG0003855 Caust.v2_017792 Lflavo2a003673P2 XP_014603913.1 XP_015179782.1 XP_017875454.1 XP_033336562.1
OG0003856 Caust.v2_004280 Lflavo2a001624P2 XP_014602244.1 XP_015190399.1 XP_017880493.1 XP_033341833.1
OG0003858 Caust.v2_010558 Lflavo2a000982P2 XP_014609803.1 XP_015180205.1 XP_017885042.1 XP_033336079.1
OG0003859 Caust.v2_010564 Lflavo2a001005P1 XP_014609788.1 XP_015179989.1 XP_017884959.1 XP_033336597.1
OG0003860 Caust.v2_010561 Lflavo2a000988P1 XP_014609786.1 XP_015180053.1 XP_017884927.1 XP_033336599.1
OG0003864 Caust.v2_009017 Lflavo2a003086P1 XP_014605063.1 XP_015187786.1 XP_017877350.1 XP_033332754.1
OG0003867 Caust.v2_016284 Lflavo2a003147P1 XP_014609027.1 XP_015191120.1 XP_017887709.1 XP_033322964.1
OG0003871 Caust.v2_006732 Lflavo2a004489P1 XP_014606705.1 XP_015176321.1 XP_026673979.1 XP_033324768.1
OG0003872 Caust.v2_011207 Lflavo2a000907P1 XP_014601314.1 XP_015187463.1 XP_017892153.1 XP_033336067.1
OG0003874 Caust.v2_020353 Lflavo2a009381P1 XP_014601537.1 XP_015181324.1 XP_017875288.1 XP_033338878.1
OG0003878 Caust.v2_019976 Lflavo2a009600P1 XP_014615979.1 XP_015173009.1 XP_017878806.1 XP_033343077.1
OG0003881 Caust.v2_007640 Lflavo2a008590P1 XP_014609466.1 XP_015190676.1 XP_026670090.1 XP_033321138.1
OG0003895 Caust.v2_014458 Lflavo2a010406P1 XP_014599946.1 XP_015173695.1 XP_017885253.1 XP_033340544.1
OG0003897 Caust.v2_008787 Lflavo2a001220P1 XP_014613322.1 XP_015184296.1 XP_026668944.1 XP_033341834.1
OG0003901 Caust.v2_012732 Lflavo2a003781P3 XP_014604841.1 XP_015181016.1 XP_017877897.1 XP_033336945.1
OG0003905 Caust.v2_014911 Lflavo2a007042P1 XP_014610269.1 XP_015171868.1 XP_017883140.1 XP_033334059.1
OG0003906 Caust.v2_014916 Lflavo2a011225P1 XP_014609485.1 XP_015178248.1 XP_017883142.1 XP_033327843.1
OG0003907 Caust.v2_006532 Lflavo2a007002P1 XP_014599590.1 XP_015171115.1 XP_017891576.1 XP_033328176.1
OG0003910 Caust.v2_022297 Lflavo2a011059P1 XP_014609736.1 XP_015189292.1 XP_017882761.2 XP_033326775.1
OG0003912 Caust.v2_008660 Lflavo2a009748P1 XP_014615859.1 XP_015176083.1 XP_017883329.1 XP_033340119.1
OG0003913 Caust.v2_008642 Lflavo2a003150P1 XP_014600901.1 XP_015174256.1 XP_017876959.1 XP_033333514.1
OG0003914 Caust.v2_008644 Lflavo2a003162P1 XP_014600928.1 XP_015174255.1 XP_017876955.1 XP_033333660.1
OG0003921 Caust.v2_014236 Lflavo2a005962P1 XP_014601550.1 XP_015181330.1 XP_017890843.1 XP_033339493.1
OG0003922 Caust.v2_014238 Lflavo2a008001P1 XP_014615792.1 XP_015179916.1 XP_017886539.1 XP_033322585.1
OG0003923 Caust.v2_014243 Lflavo2a014127P1 XP_014601186.1 XP_015176804.1 XP_026674701.1 XP_033327761.1
OG0003924 Caust.v2_012921 Lflavo2a013721P2 XP_014611045.1 XP_015179674.1 XP_026667170.1 XP_033321045.1
OG0003927 Caust.v2_010353 Lflavo2a012050P1 XP_014608277.1 XP_015186100.1 XP_017877227.1 XP_033337617.1
OG0003930 Caust.v2_010349 Lflavo2a012086P1 XP_014608287.1 XP_015186103.1 XP_017877302.1 XP_033337607.1
OG0003932 Caust.v2_010355 Lflavo2a012977P1 XP_014601727.1 XP_015175417.1 XP_017877259.1 XP_033330317.1
OG0003935 Caust.v2_003426 Lflavo2a007980P1 XP_014609822.1 XP_015178068.1 XP_026675157.1 XP_033321132.1
OG0003936 Caust.v2_003415 Lflavo2a005560P1 XP_014605230.1 XP_015185038.1 XP_026675150.1 XP_033337135.1
OG0003937 Caust.v2_003421 Lflavo2a007971P1 XP_014609807.1 XP_015178061.1 XP_026675135.1 XP_033321179.1
OG0003947 Caust.v2_013317 Lflavo2a002303P1 XP_014611012.1 XP_015182032.1 XP_017887944.1 XP_033331949.1
OG0003948 Caust.v2_004663 Lflavo2a010981P1 XP_014609486.1 XP_015178124.1 XP_017889868.1 XP_033324903.1
OG0003954 Caust.v2_010684 Lflavo2a006417P1 XP_014615532.1 XP_015176216.1 XP_017887989.1 XP_033324031.1
OG0003955 Caust.v2_010686 Lflavo2a002295P1 XP_014600280.1 XP_015188461.1 XP_017887973.1 XP_033328728.1
OG0003956 Caust.v2_010695 Lflavo2a005198P1 XP_014609133.1 XP_015190437.1 XP_017887859.1 XP_033328723.1
OG0003957 Caust.v2_016105 Lflavo2a004124P1 XP_014615497.1 XP_015178908.1 XP_017885218.1 XP_033340316.1
OG0003964 Caust.v2_002852 Lflavo2a003388P2 XP_014599838.1 XP_015173963.1 XP_017878390.1 XP_033342468.1
OG0003965 Caust.v2_002848 Lflavo2a010467P1 XP_014606080.1 XP_015189165.1 XP_017878678.1 XP_033342978.1
OG0003966 Caust.v2_002897 Lflavo2a008226P1 XP_014613765.1 XP_015191163.1 XP_026673458.1 XP_033334909.1
OG0003967 Caust.v2_002894 Lflavo2a000763P1 XP_014602814.1 XP_015175056.1 XP_026668798.1 XP_033334775.1
OG0003971 Caust.v2_017346 Lflavo2a005400P3 XP_014598845.1 XP_015172371.1 XP_017881953.1 XP_033336215.1
OG0003975 Caust.v2_011876 Lflavo2a006345P1 XP_014615377.1 XP_015178861.1 XP_017876540.1 XP_033320972.1
