Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Drosophila_melanogaster	Megalopta_genalis-longest-isoforms
OG0000010	NP_001159376.1, XP_006558004.1, XP_016766527.1, XP_016766532.1, XP_026295094.1, XP_026295095.1, XP_026295097.1, XP_026295098.1, XP_026295102.1, XP_026295103.1, XP_026295104.1, XP_026295105.1, XP_026295106.1, XP_026295108.1, XP_026295109.1, XP_026295110.1, XP_026295112.1, XP_026295121.1	Caust.v2_001775	XP_017877476.1, XP_026668094.1, XP_026668097.1, XP_026668100.1, XP_026668101.1, XP_026668102.1, XP_026668103.1, XP_026668104.1, XP_026668105.1, XP_026668106.1, XP_026668109.1, XP_026668111.1, XP_026668112.1, XP_026668114.1, XP_026668116.1, XP_026668118.1	FBgn0263111	XP_033322102.1, XP_033322103.1, XP_033322130.1
OG0000011	XP_001120014.1, XP_001120889.1, XP_003251406.1, XP_003251626.1	Caust.v2_003525, Caust.v2_016072, Caust.v2_017759	XP_017887547.1, XP_017888175.1, XP_026673239.1, XP_026675432.1, XP_026675433.1	FBgn0053868, FBgn0053870, FBgn0053872, FBgn0053874, FBgn0053876, FBgn0053878, FBgn0053880, FBgn0053882, FBgn0053884, FBgn0053886, FBgn0053888, FBgn0053890, FBgn0053892, FBgn0053894, FBgn0053896, FBgn0053898, FBgn0053900, FBgn0053902, FBgn0053904, FBgn0053906, FBgn0053908, FBgn0053910, FBgn0061209	XP_033328493.1, XP_033328495.1, XP_033328578.1, XP_033328772.1
OG0000012		Caust.v2_007822, Caust.v2_016370, Caust.v2_016795, Caust.v2_017547, Caust.v2_017548, Caust.v2_017549, Caust.v2_017550, Caust.v2_018427, Caust.v2_018428, Caust.v2_018783, Caust.v2_019049, Caust.v2_019050, Caust.v2_019051, Caust.v2_019895, Caust.v2_020074, Caust.v2_020075, Caust.v2_020220, Caust.v2_020221, Caust.v2_020222, Caust.v2_020321, Caust.v2_020894, Caust.v2_021073, Caust.v2_021074, Caust.v2_021103, Caust.v2_021271, Caust.v2_021272, Caust.v2_021275, Caust.v2_021281, Caust.v2_021646, Caust.v2_021719, Caust.v2_021847, Caust.v2_021858, Caust.v2_021901, Caust.v2_022328, Caust.v2_022388, Caust.v2_022473, Caust.v2_022500, Caust.v2_022619	XP_017876941.1		
OG0000013	XP_006571199.2, XP_016773499.2, XP_026301968.1, XP_026301972.1, XP_026301973.1, XP_026301978.1, XP_026301980.1, XP_026301983.1, XP_026301989.1, XP_026301991.1, XP_026301994.1, XP_026302002.1, XP_026302003.1	Caust.v2_005623, Caust.v2_009262, Caust.v2_020780	XP_026669416.1, XP_026669422.1, XP_026669431.1, XP_026669436.1, XP_026669441.1, XP_026669446.1, XP_026669447.1, XP_026669449.1, XP_026669454.1, XP_026669457.1, XP_026669460.1, XP_026669464.1, XP_026669470.1, XP_026669475.1, XP_026669481.1, XP_026669484.1, XP_026669490.1, XP_026669498.1, XP_026669508.1	FBgn0259111	XP_033341469.1, XP_033341487.1
OG0000014	XP_001120948.1, XP_003249229.1, XP_003249267.2, XP_003249278.2, XP_006558389.2, XP_026300224.1, XP_026300225.1, XP_026300227.1, XP_026300228.1, XP_026300229.1, XP_026300256.1, XP_026300258.1	Caust.v2_014562, Caust.v2_014563, Caust.v2_014565, Caust.v2_014858, Caust.v2_014859, Caust.v2_018144	XP_017879450.1, XP_026669011.1, XP_026670078.1, XP_026674945.1, XP_026674948.1, XP_026674953.1, XP_026674957.1, XP_026674959.1, XP_026674960.1, XP_026674961.1		XP_033330645.1, XP_033340023.1, XP_033340024.1, XP_033340025.1, XP_033340147.1, XP_033340148.1, XP_033341682.1, XP_033341684.1, XP_033341685.1
OG0000015	XP_006569160.3, XP_006569170.3, XP_006569173.3, XP_006569178.3, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_016766235.2, XP_016766238.2, XP_016766239.2, XP_016766240.2, XP_016766250.2, XP_026295030.1, XP_026295033.1, XP_026295034.1, XP_026295037.1, XP_026295039.1, XP_026295046.1	Caust.v2_005233	XP_017884326.1, XP_026671456.1, XP_026671459.1, XP_026671463.1, XP_026671464.1, XP_026671466.1, XP_026671467.1, XP_026671468.1, XP_026671470.1, XP_026671471.1, XP_026671472.1, XP_026671473.1, XP_026671474.1, XP_026671475.1, XP_026671476.1, XP_026671477.1	FBgn0264693	
OG0000016		Caust.v2_003522, Caust.v2_008072, Caust.v2_008073, Caust.v2_008074, Caust.v2_008077, Caust.v2_013961	XP_017887569.1, XP_017887602.1	FBgn0013981, FBgn0051611, FBgn0053869, FBgn0053871, FBgn0053873, FBgn0053875, FBgn0053877, FBgn0053879, FBgn0053881, FBgn0053883, FBgn0053885, FBgn0053887, FBgn0053889, FBgn0053891, FBgn0053893, FBgn0053895, FBgn0053897, FBgn0053899, FBgn0053901, FBgn0053903, FBgn0053905, FBgn0053907, FBgn0053909	XP_033328626.1, XP_033328627.1, XP_033328773.1, XP_033328968.1, XP_033328969.1
OG0000017	XP_001120112.3	Caust.v2_010016, Caust.v2_017656	XP_017889198.1, XP_026674581.1	FBgn0003863, FBgn0010357, FBgn0010358, FBgn0010359, FBgn0010425, FBgn0011555, FBgn0011832, FBgn0015001, FBgn0015316, FBgn0019928, FBgn0031406, FBgn0034052, FBgn0034807, FBgn0038431, FBgn0042186, FBgn0042187, FBgn0043470, FBgn0043471, FBgn0050025, FBgn0050031, FBgn0051681, FBgn0051954, FBgn0052833, FBgn0052834, FBgn0085487, FBgn0250841, FBgn0259998, FBgn0264253	XP_033333560.1, XP_033333561.1
OG0000018	XP_001120186.1, XP_001120346.1	Caust.v2_003587, Caust.v2_005912, Caust.v2_006105, Caust.v2_008068, Caust.v2_013960, Caust.v2_016073	XP_017878349.1, XP_017881012.1, XP_017888174.1	FBgn0051618, FBgn0053808, FBgn0053814, FBgn0053817, FBgn0053820, FBgn0053823, FBgn0053826, FBgn0053829, FBgn0053832, FBgn0053835, FBgn0053838, FBgn0053841, FBgn0053844, FBgn0053847, FBgn0053850, FBgn0053853, FBgn0053856, FBgn0053859, FBgn0053862, FBgn0053865	XP_033326609.1, XP_033328481.1, XP_033328581.1, XP_033328625.1
OG0000019	XP_003251627.1	Caust.v2_005911, Caust.v2_008069, Caust.v2_008078, Caust.v2_013962, Caust.v2_018634	XP_017887641.1, XP_017888173.1	FBgn0051617, FBgn0053801, FBgn0053804, FBgn0053807, FBgn0053810, FBgn0053813, FBgn0053816, FBgn0053819, FBgn0053822, FBgn0053825, FBgn0053828, FBgn0053831, FBgn0053834, FBgn0053837, FBgn0053840, FBgn0053843, FBgn0053846, FBgn0053849, FBgn0053852, FBgn0053855, FBgn0053858, FBgn0053861, FBgn0053864	XP_033328576.1, XP_033328582.1, XP_033328621.1, XP_033328622.1
OG0000020	XP_006563229.1, XP_006563230.1, XP_006563233.1, XP_006563234.1, XP_006563236.1, XP_006563245.1, XP_006563248.1, XP_006563249.1, XP_006563251.1, XP_006563254.1, XP_396853.3	Caust.v2_009853, Caust.v2_020828	XP_017886796.1, XP_017886797.1, XP_017886798.1, XP_017886800.1, XP_017886805.1, XP_017886806.1, XP_017886807.1, XP_017886808.1, XP_017886811.1, XP_026672752.1, XP_026672753.1, XP_026672755.1, XP_026672756.1, XP_026672757.1	FBgn0003654, FBgn0052823, FBgn0053497, FBgn0053499, FBgn0067861, FBgn0283432, FBgn0283433, FBgn0283434	
OG0000021	XP_026294641.1, XP_026294642.1, XP_026294643.1, XP_026294644.1, XP_026294648.1, XP_026294649.1, XP_026294652.1, XP_026294653.1, XP_026294654.1, XP_026294655.1, XP_026294657.1, XP_026294658.1, XP_026294659.1, XP_026294660.1, XP_026294661.1, XP_026294662.1, XP_026294664.1, XP_026294665.1, XP_026294666.1, XP_026294667.1, XP_026294675.1, XP_026294677.1, XP_026294678.1, XP_026294679.1, XP_026294680.1, XP_026294682.1, XP_026294684.1, XP_026294690.1	Caust.v2_005685, Caust.v2_016833	XP_026668905.1	FBgn0005666	XP_033334102.1, XP_033334152.1, XP_033334155.1
OG0000022	XP_026297691.1, XP_026297692.1, XP_026297694.1, XP_026297696.1, XP_026297697.1, XP_026297699.1, XP_026297705.1, XP_026297706.1, XP_026297707.1, XP_026297708.1, XP_026297709.1, XP_026297710.1	Caust.v2_019445	XP_017879524.1, XP_017879526.1, XP_017879527.1, XP_017879528.1, XP_017879529.1, XP_017879530.1, XP_026669027.1, XP_026669028.1, XP_026669030.1, XP_026669031.1	FBgn0264574	XP_033332698.1, XP_033332707.1, XP_033332715.1, XP_033332723.1, XP_033332743.1, XP_033332750.1, XP_033332767.1, XP_033332803.1, XP_033332815.1, XP_033332825.1
OG0000023	XP_006564685.2, XP_006564690.2, XP_006564692.2, XP_006564693.2, XP_006564696.2, XP_006564697.2, XP_006564699.2, XP_006564704.2, XP_006564711.2, XP_006564715.2, XP_026297874.1, XP_026297877.1	Caust.v2_013461, Caust.v2_022334	XP_017888764.1, XP_017888769.1, XP_017888778.1, XP_026673636.1, XP_026673637.1, XP_026673638.1, XP_026673639.1, XP_026673640.1, XP_026673641.1, XP_026673642.1, XP_026673645.1, XP_026673647.1, XP_026673649.1, XP_026673651.1, XP_026673652.1	FBgn0023531	XP_033327303.1, XP_033327323.1, XP_033327324.1
OG0000024			XP_017888168.1	FBgn0001285, FBgn0003356, FBgn0003357, FBgn0003358, FBgn0020906, FBgn0023197, FBgn0030688, FBgn0031653, FBgn0031654, FBgn0035661, FBgn0035663, FBgn0035665, FBgn0035666, FBgn0035667, FBgn0035669, FBgn0035670, FBgn0035678, FBgn0035886, FBgn0035887, FBgn0036015, FBgn0036022, FBgn0036023, FBgn0036024, FBgn0036264, FBgn0036738, FBgn0039777, FBgn0039778, FBgn0040060, FBgn0052382, FBgn0052383, FBgn0250815	XP_033328966.1
OG0000025	XP_006560423.2, XP_006560425.2, XP_006560432.2, XP_006560433.2, XP_006560434.2, XP_006560435.2, XP_016771268.2, XP_016771271.2, XP_391976.5	Caust.v2_016770, Caust.v2_018548	XP_017892041.1, XP_026675228.1, XP_026675229.1, XP_026675230.1, XP_026675231.1, XP_026675232.1, XP_026675233.1, XP_026675234.1, XP_026675235.1, XP_026675236.1, XP_026675239.1	FBgn0000244	XP_033334068.1, XP_033334079.1, XP_033334087.1, XP_033334095.1, XP_033334100.1, XP_033334106.1, XP_033334115.1, XP_033334122.1, XP_033334132.1
OG0000026	XP_393487.3	Caust.v2_001429, Caust.v2_003807, Caust.v2_005313	XP_017875300.2, XP_017877436.1, XP_026673788.1	FBgn0023495, FBgn0023496, FBgn0024740, FBgn0031533, FBgn0032264, FBgn0032265, FBgn0032266, FBgn0032271, FBgn0032981, FBgn0033999, FBgn0034990, FBgn0036996, FBgn0038067, FBgn0038068, FBgn0038069, FBgn0038070, FBgn0042207, FBgn0043825, FBgn0051089, FBgn0051091, FBgn0051871, FBgn0051872, FBgn0265264	XP_033321522.1, XP_033335083.1
OG0000027	NP_001159377.1, XP_006561583.1, XP_006561584.1, XP_006561587.1, XP_006561588.1, XP_006561589.1, XP_006561590.1, XP_006561591.1, XP_006561592.1, XP_006561593.1, XP_006561595.1, XP_006561596.1, XP_006561598.1, XP_006561600.1, XP_006561601.1, XP_006561602.1, XP_006561603.1, XP_006561606.1, XP_006561607.1, XP_006561608.1, XP_016769326.1, XP_026298390.1, XP_026298392.1, XP_026298393.1, XP_026298394.1	Caust.v2_011280	XP_026673472.1	FBgn0285944	XP_033321271.1, XP_033321272.1
OG0000028	XP_016767936.2, XP_026301857.1, XP_026301858.1, XP_026301859.1, XP_026301860.1, XP_026301861.1, XP_026301863.1, XP_026301864.1, XP_026301866.1, XP_026301869.1, XP_026301870.1, XP_026301871.1, XP_026301872.1, XP_026301873.1, XP_026301874.1, XP_026301875.1, XP_026301876.1, XP_026301877.1, XP_026301878.1, XP_026301879.1, XP_026301881.1, XP_026301883.1	Caust.v2_022691	XP_017891726.1, XP_026674453.1, XP_026674454.1, XP_026675071.1	FBgn0033494	XP_033322441.1, XP_033329037.1
OG0000029	NP_001128419.1, NP_001136081.1, XP_026297792.1, XP_026300495.1, XP_026300653.1	Caust.v2_000845, Caust.v2_013269, Caust.v2_017584	XP_017877630.1, XP_017879668.1, XP_017888731.1	FBgn0000326, FBgn0015568, FBgn0015569, FBgn0015570, FBgn0015571, FBgn0015572, FBgn0015574, FBgn0015575, FBgn0015576, FBgn0015577, FBgn0034736, FBgn0039084, FBgn0261393	XP_033332844.1, XP_033332851.1, XP_033332860.1, XP_033332886.1, XP_033340997.1
OG0000030	NP_001035324.1, NP_001352128.1, NP_001352129.1, XP_026300343.1, XP_026300532.1, XP_026300533.1, XP_026300585.1, XP_397347.4	Caust.v2_001224, Caust.v2_002766, Caust.v2_002767, Caust.v2_002768	XP_017888037.1, XP_017888667.1, XP_017891081.1, XP_026667442.1, XP_026675111.1		XP_033323542.1, XP_033326693.1, XP_033326755.1, XP_033326758.1, XP_033326760.1, XP_033326762.1, XP_033326763.1, XP_033329017.1, XP_033329018.1, XP_033329019.1, XP_033329022.1
OG0000031	XP_006559064.1, XP_006559065.1, XP_006559066.1, XP_006559067.1, XP_006559068.1, XP_006559069.1, XP_006559070.1, XP_016770475.1	Caust.v2_003033, Caust.v2_022504	XP_017875103.1, XP_017875104.1, XP_026666924.1, XP_026666926.1, XP_026666928.1, XP_026666929.1, XP_026666930.1, XP_026666931.1, XP_026666932.1, XP_026666935.1	FBgn0024806	XP_033331143.1, XP_033331148.1, XP_033331156.1, XP_033331158.1, XP_033331168.1, XP_033331177.1, XP_033331186.1
OG0000032	XP_006560692.1, XP_016770383.1, XP_016770385.1, XP_016770388.1, XP_016770390.1, XP_026299594.1	Caust.v2_015594	XP_017881426.1, XP_017881428.1, XP_017881431.1, XP_026669999.1, XP_026670000.1, XP_026670001.1, XP_026670002.1, XP_026670004.1, XP_026670007.1, XP_026670009.1, XP_026670010.1	FBgn0003380	XP_033329723.1, XP_033329731.1, XP_033329738.1, XP_033329746.1, XP_033329752.1, XP_033329759.1, XP_033329775.1, XP_033329781.1, XP_033329798.1
OG0000033	XP_006569309.1, XP_026294824.1	Caust.v2_002713, Caust.v2_011126, Caust.v2_012911, Caust.v2_014995, Caust.v2_016260, Caust.v2_018579, Caust.v2_021247	XP_017888023.2, XP_017889706.1, XP_026674450.1, XP_026674459.1	FBgn0032116, FBgn0033899, FBgn0039387, FBgn0052557, FBgn0286203	XP_033324267.1, XP_033324387.1, XP_033335301.1, XP_033335303.1, XP_033335304.1, XP_033341671.1, XP_033341683.1, XP_033342197.1, XP_033342198.1, XP_033342200.1
OG0000034	XP_016767973.2, XP_016767975.2, XP_026295660.1, XP_026295665.1, XP_026295672.1, XP_026295674.1, XP_026295675.1, XP_026295676.1, XP_026295677.1	Caust.v2_015018	XP_026667296.1, XP_026667297.1, XP_026667298.1, XP_026667299.1, XP_026667303.1, XP_026667305.1	FBgn0263257	XP_033338526.1, XP_033338544.1, XP_033338554.1, XP_033338564.1, XP_033338573.1, XP_033338582.1, XP_033338589.1, XP_033338599.1, XP_033338606.1, XP_033338615.1, XP_033338619.1
OG0000035	XP_003249448.2, XP_006559152.2, XP_006559153.2, XP_006559154.2, XP_006559157.2, XP_016766204.2, XP_026294722.1, XP_026294723.1	Caust.v2_003721	XP_017880544.1, XP_026669538.1, XP_026669539.1, XP_026669540.1, XP_026669541.1, XP_026669542.1, XP_026669543.1, XP_026669546.1, XP_026669548.1, XP_026669550.1, XP_026669551.1, XP_026669552.1, XP_026669554.1	FBgn0262582	XP_033330659.1, XP_033330660.1, XP_033330663.1, XP_033330665.1
OG0000036	XP_006558051.1, XP_016766844.1, XP_016766845.1, XP_016766846.1, XP_016766848.1, XP_016766849.1, XP_026295583.1	Caust.v2_002061, Caust.v2_002062	XP_017880907.1, XP_017880909.1, XP_017880911.1, XP_017880913.1, XP_017880914.1, XP_026669683.1, XP_026669684.1	FBgn0052654	XP_033327515.1, XP_033327523.1, XP_033327533.1, XP_033327543.1, XP_033327554.1, XP_033327565.1, XP_033327572.1, XP_033327581.1, XP_033327586.1, XP_033327606.1
OG0000037	XP_006560410.1, XP_006560411.1, XP_006560413.1, XP_006560419.1, XP_006560420.1, XP_016771242.1, XP_016771243.1, XP_016771244.2, XP_026300360.1, XP_026300361.1	Caust.v2_009052, Caust.v2_009057	XP_017891928.1, XP_017891929.1, XP_017891930.1, XP_017891931.1, XP_017891933.1, XP_017891934.1, XP_026675275.1	FBgn0264442	XP_033334408.1, XP_033334424.1, XP_033334432.1, XP_033334441.1, XP_033334477.1, XP_033334485.1, XP_033334492.1
OG0000038	XP_026299656.1, XP_026299657.1	Caust.v2_005012, Caust.v2_006919	XP_017887655.1, XP_026667909.1, XP_026671944.1, XP_026673848.1	FBgn0003459, FBgn0030432, FBgn0030664, FBgn0031391, FBgn0032130, FBgn0033616, FBgn0033627, FBgn0034599, FBgn0035160, FBgn0036423, FBgn0036900, FBgn0038316, FBgn0039350, FBgn0040465, FBgn0260431, FBgn0266441, FBgn0284249	XP_033323548.1, XP_033330806.1
OG0000039	NP_001011608.1, NP_001035326.1, NP_001035349.1	Caust.v2_007178	XP_017885494.1, XP_017886527.1, XP_017886530.1, XP_026672577.1, XP_026672581.1, XP_026672582.1, XP_026672583.1, XP_026672584.1	FBgn0002569, FBgn0002570, FBgn0002571, FBgn0032381, FBgn0032382, FBgn0033294, FBgn0033296, FBgn0033297, FBgn0050359, FBgn0050360	XP_033323543.1, XP_033323555.1, XP_033323567.1, XP_033329211.1
OG0000040	XP_006558759.1, XP_006558760.1, XP_006563567.1, XP_006567025.1	Caust.v2_002357, Caust.v2_002462, Caust.v2_006686, Caust.v2_007570, Caust.v2_009961, Caust.v2_017096	XP_017877929.1, XP_017889363.1, XP_017889379.1, XP_026670794.1	FBgn0003884, FBgn0003885, FBgn0003886, FBgn0038565, FBgn0087040	XP_033322343.1, XP_033322375.1, XP_033322848.1, XP_033322849.1, XP_033327651.1, XP_033330101.1, XP_033340658.1
OG0000041	XP_006560440.2, XP_006560441.2, XP_006560443.2, XP_006560446.2, XP_016771311.2, XP_026300505.1, XP_026300508.1, XP_026300509.1, XP_026300510.1	Caust.v2_015969	XP_017890310.1, XP_026674425.1, XP_026674428.1, XP_026674432.1, XP_026674434.1, XP_026674436.1	FBgn0264953, FBgn0267430	XP_033334727.1, XP_033334734.1, XP_033334744.1, XP_033334753.1, XP_033334761.1, XP_033334770.1, XP_033334778.1, XP_033334787.1
OG0000042	XP_006564190.1, XP_006564191.1, XP_006565473.1, XP_016768118.1, XP_026297104.1, XP_026297108.1, XP_392421.3, XP_392425.4, XP_394649.3	Caust.v2_016330, Caust.v2_016594, Caust.v2_020566	XP_017875171.1, XP_017875172.1, XP_017875173.1, XP_017875175.1, XP_017875176.1, XP_017877623.2, XP_017887384.1	FBgn0001139	XP_033323702.1, XP_033323704.1, XP_033323708.1, XP_033331057.1, XP_033331059.1, XP_033339882.1
OG0000043	XP_026296769.1, XP_026297251.1, XP_026297252.1, XP_026297253.1, XP_026297254.1, XP_026299492.1, XP_026299629.1, XP_026299631.1	Caust.v2_000648, Caust.v2_002607, Caust.v2_009621, Caust.v2_012470, Caust.v2_020982	XP_017878877.2, XP_026667107.1, XP_026668599.1, XP_026673034.1	FBgn0013810, FBgn0013811, FBgn0035581	XP_033329125.1, XP_033329947.1, XP_033329950.1, XP_033332176.1, XP_033342927.1, XP_033343017.1
