Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Drosophila_melanogaster	Megalopta_genalis-longest-isoforms
OG0010476	XP_016771411.1				
OG0010477	XP_016771658.1				
OG0010478	XP_016772309.1				
OG0010479	XP_016772311.2				
OG0010480	XP_016772443.2				
OG0010481	XP_016772518.1				
OG0010482	XP_016772907.1				
OG0010483	XP_016773258.1				
OG0010484	XP_026294687.1				
OG0010485	XP_026294729.1				
OG0010486	XP_026294833.1				
OG0010487	XP_026295022.1				
OG0010488	XP_026295904.1				
OG0010489	XP_026296134.1				
OG0010490	XP_026296395.1				
OG0010491	XP_026296451.1				
OG0010492	XP_026296886.1				
OG0010493	XP_026297143.1				
OG0010494	XP_026297169.1				
OG0010495	XP_026297234.1				
OG0010496	XP_026297241.1				
OG0010497	XP_026297242.1				
OG0010498	XP_026297264.1				
OG0010499	XP_026297483.1				
OG0010500	XP_026297555.1				
OG0010501	XP_026297621.1				
OG0010502	XP_026297687.1				
OG0010503	XP_026298075.1				
OG0010504	XP_026298398.1				
OG0010505	XP_026298399.1				
OG0010506	XP_026298400.1				
OG0010507	XP_026298401.1				
OG0010508	XP_026298711.1				
OG0010509	XP_026298943.1				
OG0010510	XP_026298987.1				
OG0010511	XP_026299149.1				
OG0010512	XP_026299179.1				
OG0010513	XP_026299216.1				
OG0010514	XP_026299227.1				
OG0010515	XP_026299272.1				
OG0010516	XP_026299293.1				
OG0010517	XP_026299516.1				
OG0010518	XP_026299652.1				
OG0010519	XP_026299775.1				
OG0010520	XP_026299859.1				
OG0010521	XP_026299909.1				
OG0010522	XP_026299946.1				
OG0010523	XP_026299980.1				
OG0010524	XP_026300212.1				
OG0010525	XP_026300299.1				
OG0010526	XP_026300372.1				
OG0010527	XP_026300587.1				
OG0010528	XP_026300935.1				
OG0010529	XP_026300970.1				
OG0010530	XP_026301034.1				
OG0010531	XP_026301079.1				
OG0010532	XP_026301154.1				
OG0010533	XP_026301155.1				
OG0010534	XP_026301409.1				
OG0010535	XP_026301459.1				
OG0010536	XP_026301531.1				
OG0010537	XP_026301543.1				
OG0010538	XP_026301998.1				
OG0010539	XP_026302103.1				
OG0010540	XP_026302118.1				
OG0010541	XP_026302292.1				
OG0010542	XP_392630.2				
OG0010543	XP_394210.5				
OG0010544	XP_397573.4				
OG0010545	XP_623595.1				
OG0010546	XP_623910.4				
OG0010547	XP_624006.3				
OG0010548		Caust.v2_010920			
OG0010549		Caust.v2_010919			
OG0010550		Caust.v2_010922			
OG0010551		Caust.v2_010939			
OG0010552		Caust.v2_010947			
OG0010553		Caust.v2_010921			
OG0010554		Caust.v2_010936			
OG0010555		Caust.v2_010933			
OG0010556		Caust.v2_010940			
OG0010557		Caust.v2_010935			
OG0010558		Caust.v2_010944			
OG0010559		Caust.v2_010923			
OG0010560		Caust.v2_010934			
OG0010561		Caust.v2_010937			
OG0010562		Caust.v2_010938			
OG0010563		Caust.v2_010065			
OG0010564		Caust.v2_010072			
OG0010565		Caust.v2_010081			
OG0010566		Caust.v2_010064			
OG0010567		Caust.v2_011731			
OG0010568		Caust.v2_013489			
OG0010569		Caust.v2_013503			
OG0010570		Caust.v2_013493			
OG0010571		Caust.v2_013502			
OG0010572		Caust.v2_013506			
OG0010573		Caust.v2_013508			
OG0010574		Caust.v2_013511			
OG0010575		Caust.v2_013498			
OG0010576		Caust.v2_013494			
OG0010577		Caust.v2_013491			
OG0010578		Caust.v2_013495			
OG0010579		Caust.v2_013496			
OG0010580		Caust.v2_013504			
OG0010581		Caust.v2_013507			
OG0010582		Caust.v2_013497			
OG0010583		Caust.v2_013492			
OG0010584		Caust.v2_013509			
OG0010585		Caust.v2_021812			
OG0010586		Caust.v2_018965			
OG0010587		Caust.v2_016391			
OG0010588		Caust.v2_016389			
OG0010589		Caust.v2_016390			
OG0010590		Caust.v2_016387			
OG0010591		Caust.v2_016388			
OG0010592		Caust.v2_016190			
OG0010593		Caust.v2_016191			
OG0010594		Caust.v2_016189			
OG0010595		Caust.v2_016188			
OG0010596		Caust.v2_020812			
OG0010597		Caust.v2_016272			
OG0010598		Caust.v2_016264			
OG0010599		Caust.v2_016275			
OG0010600		Caust.v2_016269			
OG0010601		Caust.v2_016268			
OG0010602		Caust.v2_016270			
OG0010603		Caust.v2_016267			
OG0010604		Caust.v2_016274			
OG0010605		Caust.v2_022702			
OG0010606		Caust.v2_017974			
OG0010607		Caust.v2_017975			
OG0010608		Caust.v2_017976			
OG0010609		Caust.v2_017977			
OG0010610		Caust.v2_019910			
OG0010611		Caust.v2_008489			
OG0010612		Caust.v2_008472			
OG0010613		Caust.v2_008491			
OG0010614		Caust.v2_008474			
OG0010615		Caust.v2_008480			
OG0010616		Caust.v2_008457			
OG0010617		Caust.v2_008478			
OG0010618		Caust.v2_008484			
OG0010619		Caust.v2_008458			
OG0010620		Caust.v2_008462			
OG0010621		Caust.v2_008479			
OG0010622		Caust.v2_008482			
OG0010623		Caust.v2_013167			
OG0010624		Caust.v2_013165			
OG0010625		Caust.v2_013164			
OG0010626		Caust.v2_015781			
OG0010627		Caust.v2_015783			
OG0010628		Caust.v2_015789			
OG0010629		Caust.v2_021423			
OG0010630		Caust.v2_013563			
OG0010631		Caust.v2_013572			
OG0010632		Caust.v2_013570			
OG0010633		Caust.v2_013564			
OG0010634		Caust.v2_013560			
OG0010635		Caust.v2_013571			
OG0010636		Caust.v2_013573			
OG0010637		Caust.v2_013576			
OG0010638		Caust.v2_013575			
OG0010639		Caust.v2_013569			
OG0010640		Caust.v2_013574			
OG0010641		Caust.v2_004525			
OG0010642		Caust.v2_004535			
OG0010643		Caust.v2_004524			
OG0010644		Caust.v2_004552			
OG0010645		Caust.v2_004561			
OG0010646		Caust.v2_004570			
OG0010647		Caust.v2_004541			
OG0010648		Caust.v2_004549			
OG0010649		Caust.v2_004551			
OG0010650		Caust.v2_004569			
OG0010651		Caust.v2_004571			
OG0010652		Caust.v2_004553			
OG0010653		Caust.v2_004558			
OG0010654		Caust.v2_004557			
OG0010655		Caust.v2_004562			
OG0010656		Caust.v2_022287			
OG0010657		Caust.v2_019761			
OG0010658		Caust.v2_019762			
OG0010659		Caust.v2_020851			
OG0010660		Caust.v2_017179			
OG0010661		Caust.v2_015417			
OG0010662		Caust.v2_015415			
OG0010663		Caust.v2_015413			
OG0010664		Caust.v2_015412			
OG0010665		Caust.v2_015410			
OG0010666		Caust.v2_015416			
OG0010667		Caust.v2_015409			
OG0010668		Caust.v2_017750			
OG0010669		Caust.v2_017749			
OG0010670		Caust.v2_017748			
OG0010671		Caust.v2_020184			
OG0010672		Caust.v2_020182			
OG0010673		Caust.v2_021748			
OG0010674		Caust.v2_022183			
OG0010675		Caust.v2_018521			
OG0010676		Caust.v2_016254			
OG0010677		Caust.v2_016246			
OG0010678		Caust.v2_016248			
OG0010679		Caust.v2_016250			
OG0010680		Caust.v2_016252			
OG0010681		Caust.v2_016247			
OG0010682		Caust.v2_016249			
OG0010683		Caust.v2_016251			
OG0010684		Caust.v2_016253			
OG0010685		Caust.v2_016245			
OG0010686		Caust.v2_014247			
OG0010687		Caust.v2_014254			
OG0010688		Caust.v2_014255			
OG0010689		Caust.v2_014256			
OG0010690		Caust.v2_014253			
OG0010691		Caust.v2_014252			
OG0010692		Caust.v2_014245			
OG0010693		Caust.v2_014249			
OG0010694		Caust.v2_016593			
OG0010695		Caust.v2_016591			
OG0010696		Caust.v2_016589			
OG0010697		Caust.v2_016592			
OG0010698		Caust.v2_016590			
OG0010699		Caust.v2_016136			
OG0010700		Caust.v2_016131			
OG0010701		Caust.v2_016133			
OG0010702		Caust.v2_016135			
OG0010703		Caust.v2_009091			
OG0010704		Caust.v2_009083			
OG0010705		Caust.v2_009092			
OG0010706		Caust.v2_009093			
OG0010707		Caust.v2_009107			
OG0010708		Caust.v2_009114			
OG0010709		Caust.v2_009113			
OG0010710		Caust.v2_009106			
OG0010711		Caust.v2_009109			
OG0010712		Caust.v2_009112			
OG0010713		Caust.v2_018181			
OG0010714		Caust.v2_018180			
OG0010715		Caust.v2_018177			
OG0010716		Caust.v2_018179			
OG0010717		Caust.v2_022108			
OG0010718		Caust.v2_020549			
OG0010719		Caust.v2_020548			
OG0010720		Caust.v2_019943			
OG0010721		Caust.v2_021287			
OG0010722		Caust.v2_020308			
OG0010723		Caust.v2_017224			
OG0010724		Caust.v2_020977			
OG0010725		Caust.v2_021700			
OG0010726		Caust.v2_012165			
OG0010727		Caust.v2_012167			
OG0010728		Caust.v2_012170			
OG0010729		Caust.v2_012164			
OG0010730		Caust.v2_012163			
OG0010731		Caust.v2_012169			
OG0010732		Caust.v2_012162			
OG0010733		Caust.v2_012166			
OG0010734		Caust.v2_019007			
OG0010735		Caust.v2_019006			
OG0010736		Caust.v2_019008			
OG0010737		Caust.v2_022291			
OG0010738		Caust.v2_021814			
OG0010739		Caust.v2_011989			
OG0010740		Caust.v2_011992			
OG0010741		Caust.v2_011986			
OG0010742		Caust.v2_011985			
OG0010743		Caust.v2_011997			
OG0010744		Caust.v2_011996			
OG0010745		Caust.v2_011994			
OG0010746		Caust.v2_012003			
OG0010747		Caust.v2_012000			
OG0010748		Caust.v2_012001			
OG0010749		Caust.v2_012002			
OG0010750		Caust.v2_011993			
OG0010751		Caust.v2_012004			
OG0010752		Caust.v2_012005			
OG0010753		Caust.v2_021767			
OG0010754		Caust.v2_020076			
OG0010755		Caust.v2_018457			
OG0010756		Caust.v2_021222			
OG0010757		Caust.v2_014304			
OG0010758		Caust.v2_014306			
OG0010759		Caust.v2_009630			
OG0010760		Caust.v2_009632			
OG0010761		Caust.v2_009655			
OG0010762		Caust.v2_009660			
OG0010763		Caust.v2_009641			
OG0010764		Caust.v2_009643			
OG0010765		Caust.v2_009644			
OG0010766		Caust.v2_009634			
OG0010767		Caust.v2_015358			
OG0010768		Caust.v2_015359			
OG0010769		Caust.v2_020864			
OG0010770		Caust.v2_022384			
OG0010771		Caust.v2_020984			
OG0010772		Caust.v2_017431			
OG0010773		Caust.v2_022725			
OG0010774		Caust.v2_009198			
OG0010775		Caust.v2_009199			
OG0010776		Caust.v2_009202			
OG0010777		Caust.v2_009194			
OG0010778		Caust.v2_009195			
OG0010779		Caust.v2_009203			
OG0010780		Caust.v2_009201			
OG0010781		Caust.v2_009208			
OG0010782		Caust.v2_009211			
OG0010783		Caust.v2_009200			
OG0010784		Caust.v2_009206			
OG0010785		Caust.v2_009207			
OG0010786		Caust.v2_009222			
OG0010787		Caust.v2_009216			
OG0010788		Caust.v2_009221			
OG0010789		Caust.v2_021418			
OG0010790		Caust.v2_012803			
OG0010791		Caust.v2_012802			
OG0010792		Caust.v2_012813			
OG0010793		Caust.v2_012801			
OG0010794		Caust.v2_012807			
OG0010795		Caust.v2_012800			
OG0010796		Caust.v2_012806			
OG0010797		Caust.v2_012805			
OG0010798		Caust.v2_015709			
OG0010799		Caust.v2_015711			
OG0010800		Caust.v2_021389			
OG0010801		Caust.v2_012538			
OG0010802		Caust.v2_012542			
OG0010803		Caust.v2_012539			
OG0010804		Caust.v2_012548			
OG0010805		Caust.v2_012550			
OG0010806		Caust.v2_012553			
OG0010807		Caust.v2_012547			
OG0010808		Caust.v2_012544			
OG0010809		Caust.v2_012557			
OG0010810		Caust.v2_012552			
OG0010811		Caust.v2_012554			
OG0010812		Caust.v2_012556			
OG0010813		Caust.v2_012546			
OG0010814		Caust.v2_012551			
OG0010815		Caust.v2_012555			
OG0010816		Caust.v2_012549			
OG0010817		Caust.v2_012545			
OG0010818		Caust.v2_022636			
OG0010819		Caust.v2_022480			
OG0010820		Caust.v2_014000			
OG0010821		Caust.v2_013999			
OG0010822		Caust.v2_013991			
OG0010823		Caust.v2_017853			
OG0010824		Caust.v2_017854			
OG0010825		Caust.v2_020004			
OG0010826		Caust.v2_014283			
OG0010827		Caust.v2_014286			
OG0010828		Caust.v2_014285			
OG0010829		Caust.v2_014282			
OG0010830		Caust.v2_014284			
OG0010831		Caust.v2_014276			
OG0010832		Caust.v2_006937			
OG0010833		Caust.v2_006933			
OG0010834		Caust.v2_006936			
OG0010835		Caust.v2_006932			
OG0010836		Caust.v2_006946			
OG0010837		Caust.v2_006952			
OG0010838		Caust.v2_006948			
OG0010839		Caust.v2_006944			
OG0010840		Caust.v2_006972			
OG0010841		Caust.v2_006960			
OG0010842		Caust.v2_006955			
OG0010843		Caust.v2_006956			
OG0010844		Caust.v2_006977			
OG0010845		Caust.v2_006976			
OG0010846		Caust.v2_006954			
OG0010847		Caust.v2_006958			
OG0010848		Caust.v2_008821			
OG0010849		Caust.v2_008833			
OG0010850		Caust.v2_008838			
OG0010851		Caust.v2_008836			
OG0010852		Caust.v2_008832			
OG0010853		Caust.v2_008835			
OG0010854		Caust.v2_008830			
OG0010855		Caust.v2_008839			
OG0010856		Caust.v2_008834			
OG0010857		Caust.v2_011074			
OG0010858		Caust.v2_011081			
OG0010859		Caust.v2_011082			
OG0010860		Caust.v2_011093			
OG0010861		Caust.v2_011090			
OG0010862		Caust.v2_011092			
OG0010863		Caust.v2_011077			
OG0010864		Caust.v2_011083			
OG0010865		Caust.v2_011080			
OG0010866		Caust.v2_011089			
OG0010867		Caust.v2_017935			
OG0010868		Caust.v2_017933			
OG0010869		Caust.v2_016056			
OG0010870		Caust.v2_016052			
OG0010871		Caust.v2_016054			
OG0010872		Caust.v2_017170			
OG0010873		Caust.v2_017166			
OG0010874		Caust.v2_021557			
OG0010875		Caust.v2_014665			
OG0010876		Caust.v2_014667			
OG0010877		Caust.v2_015123			
OG0010878		Caust.v2_015127			
OG0010879		Caust.v2_015121			
OG0010880		Caust.v2_015126			
OG0010881		Caust.v2_015125			
OG0010882		Caust.v2_015124			
OG0010883		Caust.v2_020098			
OG0010884		Caust.v2_020097			
OG0010885		Caust.v2_021359			
OG0010886		Caust.v2_018216			
OG0010887		Caust.v2_018214			
OG0010888		Caust.v2_019160			
OG0010889		Caust.v2_019159			
OG0010890		Caust.v2_018544			
OG0010891		Caust.v2_020512			
OG0010892		Caust.v2_017505			
OG0010893		Caust.v2_019708			
OG0010894		Caust.v2_021273			
OG0010895		Caust.v2_022558			
OG0010896		Caust.v2_018664			
OG0010897		Caust.v2_018665			
OG0010898		Caust.v2_018143			
OG0010899		Caust.v2_021375			
OG0010900		Caust.v2_019697			
OG0010901		Caust.v2_019695			
OG0010902		Caust.v2_020136			
OG0010903		Caust.v2_017023			
OG0010904		Caust.v2_020771			
OG0010905		Caust.v2_020770			
OG0010906		Caust.v2_018101			
OG0010907		Caust.v2_022404			
OG0010908		Caust.v2_021584			
OG0010909		Caust.v2_015956			
OG0010910		Caust.v2_015954			
OG0010911		Caust.v2_015959			
OG0010912		Caust.v2_015948			
OG0010913		Caust.v2_015957			
OG0010914		Caust.v2_015958			
OG0010915		Caust.v2_015955			
OG0010916		Caust.v2_015953			
OG0010917		Caust.v2_016413			
OG0010918		Caust.v2_016411			
OG0010919		Caust.v2_016409			
OG0010920		Caust.v2_016414			
OG0010921		Caust.v2_016408			
OG0010922		Caust.v2_016412			
OG0010923		Caust.v2_022077			
OG0010924		Caust.v2_020261			
OG0010925		Caust.v2_018866			
OG0010926		Caust.v2_022510			
OG0010927		Caust.v2_016285			
OG0010928		Caust.v2_016293			
OG0010929		Caust.v2_016288			
OG0010930		Caust.v2_018556			
OG0010931		Caust.v2_018558			
OG0010932		Caust.v2_018559			
OG0010933		Caust.v2_021804			
OG0010934		Caust.v2_020609			
OG0010935		Caust.v2_020610			
OG0010936		Caust.v2_021005			
OG0010937		Caust.v2_018049			
OG0010938		Caust.v2_018051			
OG0010939		Caust.v2_018050			
OG0010940		Caust.v2_020509			
OG0010941		Caust.v2_020510			
OG0010942		Caust.v2_021402			
OG0010943		Caust.v2_022187			
OG0010944		Caust.v2_018234			
OG0010945		Caust.v2_018231			
OG0010946		Caust.v2_018232			
OG0010947		Caust.v2_019575			
OG0010948		Caust.v2_014641			
OG0010949		Caust.v2_014644			
OG0010950		Caust.v2_014643			
OG0010951		Caust.v2_014638			
OG0010952		Caust.v2_014645			
OG0010953		Caust.v2_014646			
OG0010954		Caust.v2_014647			
OG0010955		Caust.v2_017695			
OG0010956		Caust.v2_017696			
OG0010957		Caust.v2_017694			
OG0010958		Caust.v2_017699			
OG0010959		Caust.v2_017698			
OG0010960		Caust.v2_012610			
OG0010961		Caust.v2_012609			
OG0010962		Caust.v2_022101			
OG0010963		Caust.v2_022489			
OG0010964		Caust.v2_018449			
OG0010965		Caust.v2_018451			
OG0010966		Caust.v2_018452			
OG0010967		Caust.v2_018450			
OG0010968		Caust.v2_018258			
OG0010969		Caust.v2_018257			
OG0010970		Caust.v2_019036			
OG0010971		Caust.v2_019783			
OG0010972		Caust.v2_019782			
OG0010973		Caust.v2_019784			
OG0010974		Caust.v2_020232			
OG0010975		Caust.v2_019824			
OG0010976		Caust.v2_017625			
OG0010977		Caust.v2_013801			
OG0010978		Caust.v2_013803			
OG0010979		Caust.v2_013806			
OG0010980		Caust.v2_013808			
OG0010981		Caust.v2_013804			
OG0010982		Caust.v2_013800			
OG0010983		Caust.v2_013805			
OG0010984		Caust.v2_013802			
OG0010985		Caust.v2_020705			
OG0010986		Caust.v2_022649			
OG0010987		Caust.v2_022392			
OG0010988		Caust.v2_013816			
OG0010989		Caust.v2_013822			
OG0010990		Caust.v2_013815			
OG0010991		Caust.v2_013823			
OG0010992		Caust.v2_013814			
OG0010993		Caust.v2_020898			
OG0010994		Caust.v2_018186			
OG0010995		Caust.v2_018185			
OG0010996		Caust.v2_019757			
OG0010997		Caust.v2_017911			
OG0010998		Caust.v2_017909			
OG0010999		Caust.v2_017907			
OG0011000		Caust.v2_017910			
OG0011001		Caust.v2_019853			
OG0011002		Caust.v2_019852			
OG0011003		Caust.v2_018166			
OG0011004		Caust.v2_018165			
OG0011005		Caust.v2_018167			
OG0011006		Caust.v2_010299			
OG0011007		Caust.v2_010300			
OG0011008		Caust.v2_010304			
OG0011009		Caust.v2_010305			
OG0011010		Caust.v2_010303			
OG0011011		Caust.v2_010297			
OG0011012		Caust.v2_010302			
OG0011013		Caust.v2_010306			
OG0011014		Caust.v2_010298			
OG0011015		Caust.v2_010301			
OG0011016		Caust.v2_010329			
OG0011017		Caust.v2_010326			
OG0011018		Caust.v2_010325			
OG0011019		Caust.v2_010318			
OG0011020		Caust.v2_010324			
OG0011021		Caust.v2_010332			
OG0011022		Caust.v2_010330			
OG0011023		Caust.v2_010328			
OG0011024		Caust.v2_010317			
OG0011025		Caust.v2_010314			
OG0011026		Caust.v2_022231			
OG0011027		Caust.v2_018245			
OG0011028		Caust.v2_018247			
OG0011029		Caust.v2_018246			
OG0011030		Caust.v2_016324			
OG0011031		Caust.v2_016319			
OG0011032		Caust.v2_018733			
OG0011033		Caust.v2_018734			
OG0011034		Caust.v2_016123			
OG0011035		Caust.v2_016120			
OG0011036		Caust.v2_016130			
OG0011037		Caust.v2_016127			
OG0011038		Caust.v2_016128			
OG0011039		Caust.v2_016129			
OG0011040		Caust.v2_016126			
OG0011041		Caust.v2_016122			
OG0011042		Caust.v2_016125			
OG0011043		Caust.v2_016124			
OG0011044		Caust.v2_015515			
OG0011045		Caust.v2_015514			
OG0011046		Caust.v2_015510			
OG0011047		Caust.v2_015511			
OG0011048		Caust.v2_015512			
OG0011049		Caust.v2_015517			
OG0011050		Caust.v2_015519			
OG0011051		Caust.v2_015523			
OG0011052		Caust.v2_015524			
OG0011053		Caust.v2_015522			
OG0011054		Caust.v2_015520			
OG0011055		Caust.v2_012908			
OG0011056		Caust.v2_012910			
OG0011057		Caust.v2_012913			
OG0011058		Caust.v2_012905			
OG0011059		Caust.v2_012907			
OG0011060		Caust.v2_012906			
OG0011061		Caust.v2_012904			
OG0011062		Caust.v2_015297			
OG0011063		Caust.v2_015293			
OG0011064		Caust.v2_015295			
OG0011065		Caust.v2_015292			
OG0011066		Caust.v2_015298			
OG0011067		Caust.v2_018720			
OG0011068		Caust.v2_018719			
OG0011069		Caust.v2_018717			
OG0011070		Caust.v2_018716			
OG0011071		Caust.v2_018718			
OG0011072		Caust.v2_012857			
OG0011073		Caust.v2_012860			
OG0011074		Caust.v2_012856			
OG0011075		Caust.v2_012858			
OG0011076		Caust.v2_012855			
OG0011077		Caust.v2_012861			
OG0011078		Caust.v2_012859			
OG0011079		Caust.v2_012863			
OG0011080		Caust.v2_012871			
OG0011081		Caust.v2_012866			
OG0011082		Caust.v2_012865			
OG0011083		Caust.v2_012873			
OG0011084		Caust.v2_012874			
OG0011085		Caust.v2_012864			
OG0011086		Caust.v2_012872			
OG0011087		Caust.v2_012867			
OG0011088		Caust.v2_012862			
OG0011089		Caust.v2_011634			
OG0011090		Caust.v2_011647			
OG0011091		Caust.v2_011628			
OG0011092		Caust.v2_011649			
OG0011093		Caust.v2_011630			
OG0011094		Caust.v2_022213			
OG0011095		Caust.v2_019140			
OG0011096		Caust.v2_011937			
OG0011097		Caust.v2_011938			
OG0011098		Caust.v2_011939			
OG0011099		Caust.v2_011940			
OG0011100		Caust.v2_011944			
OG0011101		Caust.v2_011943			
OG0011102		Caust.v2_011942			
OG0011103		Caust.v2_011941			
OG0011104		Caust.v2_011923			
OG0011105		Caust.v2_017897			
OG0011106		Caust.v2_017899			
OG0011107		Caust.v2_022537			
OG0011108		Caust.v2_019726			
OG0011109		Caust.v2_019725			
OG0011110		Caust.v2_018954			
OG0011111		Caust.v2_020743			
OG0011112		Caust.v2_020744			
OG0011113		Caust.v2_020816			
OG0011114		Caust.v2_020815			
OG0011115		Caust.v2_020235			
OG0011116		Caust.v2_022274			
OG0011117		Caust.v2_016637			
OG0011118		Caust.v2_016643			
OG0011119		Caust.v2_016641			
OG0011120		Caust.v2_016638			
OG0011121		Caust.v2_016644			
OG0011122		Caust.v2_016642			
OG0011123		Caust.v2_016640			
OG0011124		Caust.v2_016636			
OG0011125		Caust.v2_016639			
OG0011126		Caust.v2_007125			
OG0011127		Caust.v2_007120			
OG0011128		Caust.v2_007123			
OG0011129		Caust.v2_007122			
OG0011130		Caust.v2_007124			
OG0011131		Caust.v2_007157			
OG0011132		Caust.v2_007145			
OG0011133		Caust.v2_007156			
OG0011134		Caust.v2_007137			
OG0011135		Caust.v2_007138			
OG0011136		Caust.v2_007159			
OG0011137		Caust.v2_019177			
OG0011138		Caust.v2_016544			
OG0011139		Caust.v2_016539			
OG0011140		Caust.v2_016543			
OG0011141		Caust.v2_016545			
OG0011142		Caust.v2_016546			
OG0011143		Caust.v2_016540			
OG0011144		Caust.v2_016542			
OG0011145		Caust.v2_016541			
OG0011146		Caust.v2_020889			
OG0011147		Caust.v2_020890			
OG0011148		Caust.v2_015177			
OG0011149		Caust.v2_015183			
OG0011150		Caust.v2_015178			
OG0011151		Caust.v2_022719			
OG0011152		Caust.v2_018545			
OG0011153		Caust.v2_018547			
OG0011154		Caust.v2_018549			
OG0011155		Caust.v2_021436			
OG0011156		Caust.v2_022091			
OG0011157		Caust.v2_005126			
OG0011158		Caust.v2_005128			
OG0011159		Caust.v2_005129			
OG0011160		Caust.v2_005125			
OG0011161		Caust.v2_005127			
OG0011162		Caust.v2_005132			
OG0011163		Caust.v2_005131			
OG0011164		Caust.v2_005135			
OG0011165		Caust.v2_005134			
OG0011166		Caust.v2_005150			
OG0011167		Caust.v2_005145			
OG0011168		Caust.v2_005137			
OG0011169		Caust.v2_005136			
OG0011170		Caust.v2_005133			
OG0011171		Caust.v2_005138			
OG0011172		Caust.v2_005141			
OG0011173		Caust.v2_005149			
OG0011174		Caust.v2_005151			
OG0011175		Caust.v2_005156			
OG0011176		Caust.v2_005162			
OG0011177		Caust.v2_005165			
OG0011178		Caust.v2_005171			
OG0011179		Caust.v2_005173			
OG0011180		Caust.v2_005159			
OG0011181		Caust.v2_005170			
OG0011182		Caust.v2_005164			
OG0011183		Caust.v2_005166			
OG0011184		Caust.v2_005186			
OG0011185		Caust.v2_005192			
OG0011186		Caust.v2_005194			
OG0011187		Caust.v2_005196			
OG0011188		Caust.v2_005203			
OG0011189		Caust.v2_005191			
OG0011190		Caust.v2_005202			
OG0011191		Caust.v2_005200			
OG0011192		Caust.v2_005195			
OG0011193		Caust.v2_005201			
OG0011194		Caust.v2_005182			
