Geneid	gene_name	SRR1519115_1_cleanedAligned.sortedByCoord.out.bam	SRR1519113_1_cleanedAligned.sortedByCoord.out.bam	SRR1519114_1_cleanedAligned.sortedByCoord.out.bam	SRR1519108_1_cleanedAligned.sortedByCoord.out.bam	SRR1519111_1_cleanedAligned.sortedByCoord.out.bam	SRR1519116_1_cleanedAligned.sortedByCoord.out.bam	SRR1519109_1_cleanedAligned.sortedByCoord.out.bam	SRR1519110_1_cleanedAligned.sortedByCoord.out.bam	SRR1519117_1_cleanedAligned.sortedByCoord.out.bam	SRR1519112_1_cleanedAligned.sortedByCoord.out.bam
gene-LOC106793579	LOC106793579	0	0	0	0	0	0	0	0	0	0
gene-LOC106793338	LOC106793338	2	0	0	0	0	0	2	0	0	1
gene-LOC106793382	LOC106793382	0	0	0	2	0	0	0	0	0	0
gene-LOC106784860	LOC106784860	0	0	2	0	1	2	0	3	1	1
gene-LOC106793600	LOC106793600	5	2	4	0	4	8	2	0	19	5
gene-LOC106791695	LOC106791695	3	4	5	14	2	1	9	1	4	2
gene-LOC106792250	LOC106792250	2	2	0	6	5	1	4	2	1	2
gene-LOC106788382	LOC106788382	104	129	121	102	7	3	1	3	18	25
gene-LOC106788494	LOC106788494	4	5	9	7	0	0	1	0	1	0
gene-LOC106788172	LOC106788172	86	94	138	95	201	204	167	193	270	206
gene-LOC106793518	LOC106793518	2	1	6	4	2	0	4	0	3	1
gene-LOC106785532	LOC106785532	22	15	4	19	0	0	0	0	0	1
gene-LOC106792968	LOC106792968	4	7	0	9	3	0	8	4	1	3
gene-LOC106792980	LOC106792980	9	5	3	6	1	1	1	1	6	0
gene-LOC106785973	LOC106785973	0	0	0	0	0	0	0	0	2	1
gene-LOC106786104	LOC106786104	41	50	55	76	0	0	2	0	0	0
gene-LOC106786163	LOC106786163	120	130	118	100	32	1	20	6	30	37
gene-LOC106785506	LOC106785506	0	1	0	1	0	0	1	0	0	0
gene-LOC106786236	LOC106786236	41	36	36	70	46	30	27	30	47	44
gene-LOC106785575	LOC106785575	27	41	57	61	76	74	83	90	27	33
gene-LOC106785658	LOC106785658	38	34	46	43	38	44	33	31	28	29
gene-LOC106785829	LOC106785829	3	9	8	7	10	1	7	11	2	5
gene-LOC106793195	LOC106793195	8	14	9	8	16	20	28	18	15	14
gene-LOC106793224	LOC106793224	44	51	41	52	134	102	71	102	91	102
gene-LOC106789442	LOC106789442	0	0	4	0	1	0	1	0	3	0
gene-LOC106789590	LOC106789590	0	1	1	0	0	2	0	1	2	1
gene-LOC106789790	LOC106789790	16	16	42	45	18	11	14	16	14	19
gene-LOC106789660	LOC106789660	1	0	3	0	1	1	0	1	2	4
gene-LOC106793444	LOC106793444	2	1	5	8	2	3	2	3	10	3
gene-LOC106793556	LOC106793556	3	2	2	1	0	0	0	0	0	0
gene-LOC106793035	LOC106793035	0	0	1	9	1	1	0	0	2	6
gene-LOC106793109	LOC106793109	1	2	1	5	1	1	2	3	0	2
gene-LOC106793044	LOC106793044	0	0	0	0	0	0	0	0	0	0
gene-LOC106788171	LOC106788171	0	0	0	0	0	0	0	0	1	0
gene-LOC106793118	LOC106793118	2	1	2	2	0	0	0	0	0	1
gene-LOC106791671	LOC106791671	0	0	2	0	0	0	0	0	0	0
gene-LOC106793116	LOC106793116	9	7	7	12	6	0	23	0	11	6
gene-LOC106793182	LOC106793182	1	0	0	0	0	0	2	0	2	0
gene-LOC106793244	LOC106793244	0	0	0	0	0	0	0	0	0	0
gene-LOC106786212	LOC106786212	0	2	0	0	0	0	0	0	0	2
gene-LOC106793368	LOC106793368	0	0	0	0	0	0	0	0	0	0
gene-LOC106786416	LOC106786416	25	25	12	23	1	0	1	1	1	1
gene-LOC106787032	LOC106787032	0	0	1	0	0	0	0	0	0	0
gene-LOC106786365	LOC106786365	20	14	18	15	15	8	20	15	15	12
gene-LOC106786926	LOC106786926	14	8	24	20	2	0	1	3	0	1
gene-LOC106786487	LOC106786487	3	9	8	9	18	6	23	7	14	12
gene-LOC106786668	LOC106786668	0	0	0	4	0	1	0	1	0	2
gene-LOC106786302	LOC106786302	22	20	13	14	12	19	10	7	23	11
gene-LOC106786730	LOC106786730	4	6	5	15	4	3	3	4	12	5
gene-LOC106793457	LOC106793457	4	13	24	10	0	1	7	0	5	1
gene-LOC106787258	LOC106787258	0	1	0	2	0	0	0	0	0	1
gene-LOC106787103	LOC106787103	9	7	1	13	8	3	11	10	6	7
gene-LOC106787324	LOC106787324	1	4	6	2	1	6	8	8	9	8
gene-LOC106792353	LOC106792353	0	0	0	0	0	0	0	0	0	0
gene-LOC106793307	LOC106793307	0	0	0	0	2	11	1	4	2	0
gene-LOC106793320	LOC106793320	1	11	8	5	2	14	4	8	8	0
gene-LOC106793528	LOC106793528	0	0	0	0	0	0	1	0	0	0
gene-LOC106789504	LOC106789504	0	1	0	0	0	0	0	0	0	0
gene-LOC106790271	LOC106790271	12	12	17	19	20	5	26	3	35	12
gene-LOC106785161	LOC106785161	0	1	0	1	3	7	2	6	11	1
gene-LOC106785014	LOC106785014	5	3	11	3	5	2	5	3	3	2
gene-LOC106784795	LOC106784795	13	12	10	8	4	3	1	2	5	3
gene-LOC106784303	LOC106784303	2	4	3	4	0	1	1	4	1	4
gene-LOC106784948	LOC106784948	0	0	0	0	0	1	0	0	0	2
gene-LOC106784189	LOC106784189	0	0	5	7	2	0	1	1	6	2
gene-LOC106785084	LOC106785084	0	7	2	0	2	3	3	2	0	2
gene-LOC106793436	LOC106793436	0	3	0	0	0	1	3	0	1	1
gene-LOC106790240	LOC106790240	0	0	0	0	1	0	0	0	0	0
gene-LOC106786836	LOC106786836	0	0	0	0	0	0	0	0	0	0
gene-LOC106787516	LOC106787516	0	5	1	2	3	2	5	1	4	0
gene-LOC106788063	LOC106788063	1	0	8	2	2	3	4	0	8	5
gene-LOC106789267	LOC106789267	1	4	1	0	7	7	3	7	12	0
gene-LOC106789867	LOC106789867	5	1	0	2	2	1	0	0	1	1
gene-LOC106790187	LOC106790187	0	0	0	4	0	0	0	0	0	0
gene-LOC106789993	LOC106789993	6	7	18	2	0	2	0	0	3	1
gene-LOC106790110	LOC106790110	2	0	0	0	4	1	0	0	0	1
gene-LOC106784433	LOC106784433	1	0	0	0	3	1	1	0	0	0
gene-LOC106784299	LOC106784299	130	105	114	81	105	123	86	118	110	112
gene-LOC106784324	LOC106784324	0	0	6	5	2	4	4	0	3	0
gene-LOC106793608	LOC106793608	8	8	16	11	0	0	0	0	2	1
gene-LOC106784312	LOC106784312	0	0	2	1	1	0	0	0	5	2
gene-LOC106783799	LOC106783799	98	101	84	80	125	126	97	138	149	122
gene-LOC106783819	LOC106783819	2	5	13	5	0	0	0	1	1	1
gene-LOC106784120	LOC106784120	35	18	23	23	15	27	20	11	44	19
gene-LOC106784449	LOC106784449	5	3	1	2	1	1	5	1	1	3
gene-LOC106784456	LOC106784456	46	75	70	109	38	29	36	67	50	34
gene-LOC106783663	LOC106783663	10	15	4	8	9	4	6	0	10	4
gene-LOC106783674	LOC106783674	1	7	5	4	4	0	3	2	4	1
gene-LOC106783691	LOC106783691	0	2	0	5	1	0	0	0	0	1
gene-LOC106783656	LOC106783656	1	3	1	0	0	1	0	2	2	0
gene-LOC106783603	LOC106783603	0	0	0	0	0	0	0	0	0	0
gene-LOC106783637	LOC106783637	6	7	1	3	4	0	4	11	7	9
gene-LOC106783608	LOC106783608	5	1	0	1	7	5	4	5	11	2
gene-LOC106784535	LOC106784535	6	10	19	8	17	15	16	12	22	20
gene-LOC106784462	LOC106784462	0	0	1	0	0	0	0	0	0	0
gene-LOC106784476	LOC106784476	1	0	0	0	0	0	1	1	2	0
gene-LOC106784337	LOC106784337	17	14	9	8	28	28	17	24	57	26
gene-LOC106784328	LOC106784328	109	186	180	162	145	153	143	128	215	150
gene-LOC106784342	LOC106784342	21	35	12	15	0	0	1	0	2	1
gene-LOC106783973	LOC106783973	0	4	0	3	4	0	2	3	3	5
gene-LOC106784516	LOC106784516	5	1	3	0	8	2	3	2	1	3
gene-LOC106784507	LOC106784507	0	0	0	0	0	0	0	0	0	0
gene-LOC106793645	LOC106793645	7	4	7	6	13	0	32	3	28	15
gene-LOC106793679	LOC106793679	0	0	0	0	0	0	0	0	0	0
gene-LOC106793672	LOC106793672	0	0	0	0	0	0	0	0	0	0
gene-LOC106793612	LOC106793612	0	0	0	0	0	0	0	0	0	0
gene-LOC106784169	LOC106784169	0	0	0	0	0	0	0	0	0	0
gene-LOC106784157	LOC106784157	25	24	19	4	10	5	9	17	24	6
gene-LOC106784176	LOC106784176	4	11	1	4	0	0	4	4	2	2
gene-LOC106783885	LOC106783885	28	66	47	46	57	74	125	67	167	26
gene-LOC106783872	LOC106783872	34	23	40	43	25	21	33	11	36	10
gene-LOC106793616	LOC106793616	0	0	0	4	2	1	4	2	3	2
gene-LOC106784524	LOC106784524	0	1	0	0	0	0	0	0	0	0
gene-LOC106783791	LOC106783791	3	3	2	4	2	2	4	0	0	4
gene-LOC106783781	LOC106783781	31	65	62	27	3	0	6	1	0	3
gene-LOC106783767	LOC106783767	6	15	20	42	21	7	33	9	25	36
gene-LOC106784184	LOC106784184	7	9	0	3	2	0	0	0	3	0
gene-LOC106784207	LOC106784207	11	13	5	7	23	30	18	22	18	5
gene-LOC106784218	LOC106784218	1	0	0	0	1	0	2	0	2	0
gene-LOC106783745	LOC106783745	1	5	4	2	9	5	2	2	2	1
gene-LOC106783703	LOC106783703	15	15	11	19	4	2	6	3	5	4
gene-LOC106783719	LOC106783719	30	46	57	52	45	57	64	83	21	19
gene-LOC106783712	LOC106783712	1	8	11	3	1	1	0	1	0	1
gene-LOC106783756	LOC106783756	4	4	0	6	6	0	3	0	9	3
gene-LOC106793732	LOC106793732	0	0	0	0	0	0	0	0	0	0
gene-LOC106793820	LOC106793820	1	0	0	0	0	0	0	0	0	0
gene-LOC106793761	LOC106793761	1	0	2	0	0	0	0	0	0	0
gene-LOC106793755	LOC106793755	26	36	60	54	25	28	22	23	37	35
gene-LOC106793827	LOC106793827	1	1	0	2	0	1	1	1	0	2
gene-LOC106793802	LOC106793802	29	64	45	71	44	24	44	29	47	25
gene-LOC106793740	LOC106793740	2	6	4	4	5	4	4	1	9	7
gene-LOC106793836	LOC106793836	0	0	0	0	1	0	2	1	0	0
gene-LOC106793842	LOC106793842	0	0	0	0	0	0	0	0	0	0
gene-LOC106793768	LOC106793768	10	2	1	13	11	4	17	13	2	4
gene-LOC106783863	LOC106783863	1	0	1	0	2	1	2	1	1	0
gene-LOC106783831	LOC106783831	5	2	3	6	15	24	30	9	12	16
gene-LOC106793618	LOC106793618	3	0	0	0	0	3	3	0	0	0
gene-LOC106793847	LOC106793847	12	7	4	0	5	2	13	3	5	0
gene-LOC106793854	LOC106793854	0	4	0	1	2	1	1	0	1	2
gene-LOC106793884	LOC106793884	0	1	1	0	0	1	0	0	0	0
gene-LOC106793899	LOC106793899	0	0	0	1	0	0	1	0	0	0
gene-LOC106793929	LOC106793929	111	94	108	91	1	0	0	0	0	0
gene-LOC106793911	LOC106793911	75	65	76	77	75	50	62	67	33	33
gene-LOC106793938	LOC106793938	3	4	8	8	17	17	11	9	8	1
gene-LOC106793622	LOC106793622	1	1	0	4	4	0	2	0	2	1
gene-LOC106784530	LOC106784530	0	1	0	4	0	0	0	0	0	0
gene-LOC106784040	LOC106784040	25	41	38	28	5	1	6	4	10	16
gene-LOC106784048	LOC106784048	10	10	12	11	16	17	20	19	13	16
gene-LOC106793627	LOC106793627	2	0	3	0	2	4	0	0	0	1
gene-LOC106793632	LOC106793632	1	0	1	7	6	3	3	2	3	7
gene-LOC106793638	LOC106793638	0	0	1	0	0	0	0	0	0	0
gene-LOC106783967	LOC106783967	0	0	0	0	0	0	0	0	0	0
gene-LOC106783959	LOC106783959	62	18	13	44	5	6	8	13	1	2
gene-LOC106784007	LOC106784007	0	3	2	0	2	4	1	1	7	0
gene-LOC106784022	LOC106784022	0	1	4	4	4	9	8	10	7	2
gene-LOC106783916	LOC106783916	11	4	6	5	8	1	21	0	7	4
gene-LOC106784350	LOC106784350	35	52	83	34	80	97	94	71	68	65
gene-LOC106784358	LOC106784358	645	746	729	539	1231	1030	1084	1180	1094	974
gene-LOC106784233	LOC106784233	1	2	2	9	4	5	1	2	2	5
gene-LOC106784224	LOC106784224	2	3	1	3	6	1	7	1	6	0
gene-LOC106784380	LOC106784380	224	229	213	231	516	609	403	457	515	410
gene-LOC106784405	LOC106784405	25	22	12	10	38	24	19	31	56	24
gene-LOC106784396	LOC106784396	35	56	40	61	114	73	92	116	115	75
gene-LOC106784526	LOC106784526	0	1	0	4	0	0	0	0	0	0
gene-LOC106794049	LOC106794049	0	1	0	3	3	1	1	0	1	0
gene-LOC106794043	LOC106794043	42	35	26	14	61	43	37	41	86	57
gene-LOC106794088	LOC106794088	0	1	2	0	1	3	3	2	2	2
gene-LOC106794074	LOC106794074	0	0	0	0	1	0	0	0	0	1
gene-LOC106783584	LOC106783584	0	0	0	2	1	0	0	0	0	0
gene-LOC106794062	LOC106794062	36	46	71	49	66	69	74	51	84	40
gene-LOC106783598	LOC106783598	9	8	12	9	19	12	13	19	13	17
gene-LOC106793696	LOC106793696	1	0	1	0	0	0	0	1	0	1
gene-LOC106784542	LOC106784542	0	0	0	0	0	0	0	0	0	0
gene-LOC106784555	LOC106784555	0	0	0	0	0	0	1	0	0	0
gene-LOC106784546	LOC106784546	0	0	0	0	0	0	0	0	0	0
gene-LOC106784410	LOC106784410	0	0	2	0	1	2	0	0	0	1
gene-LOC106784422	LOC106784422	4	4	2	0	1	0	1	0	0	1
gene-LOC106784138	LOC106784138	7	1	5	2	5	3	9	1	7	0
gene-LOC106784146	LOC106784146	4	1	1	4	4	2	0	1	4	3
gene-LOC106784266	LOC106784266	6	7	9	15	24	15	20	10	25	13
gene-LOC106793687	LOC106793687	0	0	0	0	0	0	2	0	0	0
gene-LOC106784373	LOC106784373	0	0	0	0	0	0	0	0	0	0
gene-LOC106793714	LOC106793714	0	0	0	0	0	0	0	0	1	0
gene-LOC106784492	LOC106784492	0	0	0	0	0	0	0	0	0	0
gene-LOC106784488	LOC106784488	0	1	2	3	2	1	0	5	4	3
gene-LOC106784477	LOC106784477	0	0	2	0	0	0	0	0	0	0
gene-LOC106793719	LOC106793719	3	6	3	6	13	13	14	13	29	15
gene-LOC106783890	LOC106783890	6	11	5	4	8	4	3	2	7	2
gene-LOC106783905	LOC106783905	13	5	17	13	4	2	9	2	8	4
gene-LOC106783911	LOC106783911	0	0	2	0	1	0	2	0	0	0
gene-LOC106793727	LOC106793727	0	0	0	0	0	0	0	0	0	0
gene-LOC106794017	LOC106794017	4	0	0	1	2	1	0	1	7	0
gene-LOC106794031	LOC106794031	3	5	7	8	2	2	3	5	13	6
gene-LOC106794039	LOC106794039	90	148	190	176	215	242	241	290	69	128
gene-LOC106794022	LOC106794022	17	37	83	55	74	30	42	23	75	47
gene-LOC106794002	LOC106794002	2	3	10	13	0	0	0	0	0	0
gene-LOC106793984	LOC106793984	0	2	0	0	1	2	0	0	0	0
gene-LOC106793945	LOC106793945	5	13	4	2	1	2	9	2	6	2
gene-LOC106784077	LOC106784077	2	10	8	5	3	15	7	1	10	4
gene-LOC106784100	LOC106784100	2	1	0	6	0	0	2	1	0	0
gene-LOC106784113	LOC106784113	2	0	0	0	0	0	1	1	3	0
gene-LOC106793704	LOC106793704	0	0	0	0	0	0	0	0	0	0
gene-LOC106784246	LOC106784246	0	0	0	0	0	0	2	0	0	1
gene-LOC106784068	LOC106784068	2	2	4	5	2	0	3	0	2	4
gene-LOC106785032	LOC106785032	2	1	4	3	3	0	6	0	0	0
gene-LOC106785281	LOC106785281	0	0	0	0	0	0	0	1	0	0
gene-LOC106785297	LOC106785297	0	0	6	1	0	0	0	0	1	0
gene-LOC106784559	LOC106784559	0	0	0	0	0	0	0	0	1	0
gene-LOC106784566	LOC106784566	0	0	0	0	0	0	0	0	0	0
gene-LOC106784743	LOC106784743	0	0	0	0	0	0	0	0	0	0
gene-LOC106784568	LOC106784568	0	0	0	0	0	0	0	0	0	0
gene-LOC106784714	LOC106784714	0	0	0	0	0	0	0	0	0	0
gene-LOC106784576	LOC106784576	0	0	0	0	0	0	0	0	0	0
gene-LOC106784586	LOC106784586	0	0	0	0	0	0	0	0	0	0
gene-LOC106784592	LOC106784592	0	0	0	0	0	0	0	0	0	0
gene-LOC106784600	LOC106784600	0	0	0	0	0	0	0	0	0	0
gene-LOC106784608	LOC106784608	0	0	0	0	0	0	0	0	0	0
gene-LOC106784612	LOC106784612	0	0	0	0	0	0	0	0	0	0
gene-LOC106784619	LOC106784619	0	0	0	0	0	0	0	0	0	0
gene-LOC106784629	LOC106784629	0	0	0	0	0	0	0	0	0	0
gene-LOC106784634	LOC106784634	0	0	0	0	0	0	0	0	0	0
gene-LOC106784641	LOC106784641	0	0	0	0	0	0	0	0	0	0
gene-LOC106784646	LOC106784646	0	0	0	0	0	0	0	0	0	0
gene-LOC106784653	LOC106784653	0	0	0	0	0	0	0	0	0	0
gene-LOC106784658	LOC106784658	0	0	0	0	0	0	0	0	0	0
gene-LOC106784665	LOC106784665	0	0	0	0	0	0	0	0	0	0
gene-LOC106784754	LOC106784754	0	0	0	0	0	0	0	0	0	0
gene-LOC106785680	LOC106785680	0	0	0	0	0	0	0	0	0	0
gene-LOC106785311	LOC106785311	4	4	17	12	11	9	6	7	7	21
gene-LOC106785315	LOC106785315	50	37	40	26	27	60	53	37	43	48
gene-LOC106785320	LOC106785320	1	2	6	3	5	0	1	3	4	3
gene-LOC106785236	LOC106785236	0	0	1	0	0	0	0	0	0	2
gene-LOC106785218	LOC106785218	0	1	0	0	0	1	1	1	0	0
gene-LOC106785228	LOC106785228	523	930	538	550	598	448	497	445	688	492
gene-LOC106785207	LOC106785207	80	101	125	133	232	225	231	281	181	181
gene-LOC106784690	LOC106784690	0	0	0	0	0	0	0	0	0	0
gene-LOC106785490	LOC106785490	32	39	12	28	33	27	18	28	34	30
gene-LOC106785411	LOC106785411	2	1	1	3	1	1	1	1	1	0
gene-LOC106785633	LOC106785633	2	1	2	1	8	4	4	5	4	6
gene-LOC106784735	LOC106784735	0	0	0	0	0	0	0	0	0	0
gene-LOC106784702	LOC106784702	0	0	0	0	0	0	0	0	0	0
gene-LOC106785659	LOC106785659	0	2	0	2	0	0	10	0	2	0
gene-LOC106785428	LOC106785428	88	83	31	59	23	18	23	26	28	34
gene-LOC106785510	LOC106785510	0	1	0	3	1	0	0	2	4	1
gene-LOC106785522	LOC106785522	11	7	3	1	6	3	7	9	7	5
gene-LOC106785614	LOC106785614	2	0	0	0	1	0	0	0	0	2
gene-LOC106785422	LOC106785422	3	0	1	1	2	0	0	1	1	2
gene-LOC106784727	LOC106784727	0	0	0	0	0	1	0	0	0	0
gene-LOC106785030	LOC106785030	9	10	7	12	9	7	11	6	9	9
gene-LOC106784898	LOC106784898	15	10	9	4	11	15	26	6	23	9
gene-LOC106784933	LOC106784933	1	3	5	1	0	0	4	0	1	0
gene-LOC106784904	LOC106784904	12	24	9	8	51	32	31	31	41	21
gene-LOC106784911	LOC106784911	0	4	4	4	4	2	1	4	2	2
gene-LOC106784916	LOC106784916	38	54	62	26	37	39	34	45	34	25
gene-LOC106784941	LOC106784941	1	4	10	5	5	0	2	0	4	5
gene-LOC106785577	LOC106785577	14	14	24	23	19	22	29	24	35	20
gene-LOC106785598	LOC106785598	12	11	9	11	0	1	0	0	6	1
gene-LOC106785342	LOC106785342	4	5	1	9	2	0	3	1	1	1
gene-LOC106785335	LOC106785335	29	43	46	26	22	13	24	18	21	5
gene-LOC106785326	LOC106785326	1	0	3	0	0	0	1	0	0	0
gene-LOC106785499	LOC106785499	0	2	0	2	0	0	3	3	3	0
gene-LOC106785566	LOC106785566	1	1	1	0	0	1	1	0	0	0
gene-LOC106785673	LOC106785673	0	0	0	0	0	0	0	0	1	0
gene-LOC106785558	LOC106785558	0	0	0	0	0	0	0	0	1	0
gene-LOC106785552	LOC106785552	0	0	1	1	0	0	0	0	0	1
gene-LOC106784674	LOC106784674	5	3	0	0	1	2	3	1	2	1
gene-LOC106785021	LOC106785021	26	35	13	23	40	22	35	34	35	30
gene-LOC106784986	LOC106784986	3	2	11	3	3	0	2	2	4	5
gene-LOC106785015	LOC106785015	1	2	0	3	2	1	3	2	4	1
gene-LOC106785002	LOC106785002	0	0	0	0	2	0	0	0	0	0
gene-LOC106784996	LOC106784996	2	6	3	0	0	0	1	2	0	1
gene-LOC106784683	LOC106784683	82	80	82	81	154	165	151	187	185	140
gene-LOC106785433	LOC106785433	0	0	0	1	2	0	1	0	0	1
