Geneid	gene_name	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106793338	LOC106793338	434	85	487	280	290	356	334	91	88	153
gene-LOC106793382	LOC106793382	1237	70	110	112	1325	287	293	690	220	477
gene-LOC106784860	LOC106784860	2	1	0	1	2	0	3	2	1	3
gene-LOC106793600	LOC106793600	4	5	11	2	11	9	9	2	5	3
gene-LOC106791695	LOC106791695	3820	2742	5781	5051	3945	4725	4497	2569	2658	2395
gene-LOC106792250	LOC106792250	1884	1113	2439	1954	2073	2386	1880	924	1095	1035
gene-LOC106788382	LOC106788382	88	38	156	59	73	80	102	57	63	58
gene-LOC106788494	LOC106788494	549	376	640	565	494	608	508	444	392	494
gene-LOC106788172	LOC106788172	1365	664	1405	1056	1211	1388	1185	693	609	739
gene-LOC106793518	LOC106793518	155	46	114	93	108	155	122	50	34	56
gene-LOC106785532	LOC106785532	0	1	2	0	0	1	0	0	0	1
gene-LOC106792968	LOC106792968	1681	720	1201	1210	1401	1794	1650	690	649	706
gene-LOC106792980	LOC106792980	167	159	154	216	188	198	143	123	208	222
gene-LOC106785973	LOC106785973	214	135	266	182	226	258	268	160	132	178
gene-LOC106786104	LOC106786104	16	294	154	146	103	113	10	255	293	330
gene-LOC106786163	LOC106786163	1	60	6	0	2	0	2	89	77	87
gene-LOC106785506	LOC106785506	1056	927	1215	1140	1322	1406	1119	719	727	848
gene-LOC106786236	LOC106786236	634	167	134	162	553	603	487	316	208	242
gene-LOC106785575	LOC106785575	22	28	32	30	19	29	19	49	28	29
gene-LOC106785658	LOC106785658	41	60	51	46	40	44	15	102	51	106
gene-LOC106785829	LOC106785829	8107	2481	461	900	6294	6011	2958	3246	2099	2854
gene-LOC106793195	LOC106793195	341	147	320	374	335	460	385	175	190	175
gene-LOC106793224	LOC106793224	113	29	72	51	107	107	98	59	33	39
gene-LOC106789442	LOC106789442	1147	591	1784	1048	1041	1250	864	413	413	523
gene-LOC106789590	LOC106789590	433	215	387	334	410	517	425	178	184	265
gene-LOC106789790	LOC106789790	27	9	24	33	32	32	50	14	12	12
gene-LOC106789660	LOC106789660	8	10	26	32	16	19	8	17	21	27
gene-LOC106793444	LOC106793444	892	473	1101	772	960	906	935	545	434	592
gene-LOC106793556	LOC106793556	154	188	139	136	147	180	131	207	178	205
gene-LOC106793035	LOC106793035	1320	577	1335	1017	1233	1371	1267	648	562	637
gene-LOC106793109	LOC106793109	2193	1670	1546	1837	2230	2552	2177	1558	1932	2133
gene-LOC106793044	LOC106793044	8	0	0	0	1	0	2	3	0	3
gene-LOC106788171	LOC106788171	241	116	300	183	269	229	222	154	89	144
gene-LOC106793118	LOC106793118	637	378	647	572	754	712	691	434	338	453
gene-LOC106791671	LOC106791671	52	58	62	78	87	92	50	102	80	92
gene-LOC106793116	LOC106793116	4996	1869	3754	2175	3435	4546	4011	1868	1564	1650
gene-LOC106793182	LOC106793182	1027	464	1023	372	634	854	694	325	321	374
gene-LOC106793244	LOC106793244	6	9	8	7	3	14	1	8	5	18
gene-LOC106786212	LOC106786212	0	0	0	0	5	1	2	2	0	0
gene-LOC106793368	LOC106793368	584	355	463	343	646	559	425	598	461	506
gene-LOC106786416	LOC106786416	116	173	167	163	194	178	90	288	213	309
gene-LOC106787032	LOC106787032	511	182	609	463	548	642	469	217	204	253
gene-LOC106786365	LOC106786365	1446	1029	1296	1296	1282	1582	1473	644	835	842
gene-LOC106786926	LOC106786926	24	91	117	79	90	84	18	110	99	155
gene-LOC106786487	LOC106786487	5683	2473	4671	4250	4976	5684	5691	2417	2432	2822
gene-LOC106786668	LOC106786668	105	102	352	237	177	243	84	130	97	151
gene-LOC106786302	LOC106786302	79	54	159	57	43	78	70	51	30	25
gene-LOC106786730	LOC106786730	0	54	19	23	20	20	2	62	63	111
gene-LOC106793457	LOC106793457	1451	467	2015	1444	1264	1739	1851	511	455	620
gene-LOC106787258	LOC106787258	744	366	661	551	741	864	742	434	436	569
gene-LOC106787103	LOC106787103	4827	1884	4255	3416	3661	4511	4503	2132	1923	2522
gene-LOC106787324	LOC106787324	4019	1352	3876	3223	3846	4042	4566	1532	1416	1789
gene-LOC106792353	LOC106792353	5	4	1	1	58	33	20	2	6	6
gene-LOC106793307	LOC106793307	236	168	108	41	295	136	514	80	98	91
gene-LOC106793320	LOC106793320	698	51	90	41	85	142	889	22	79	91
gene-LOC106793528	LOC106793528	1023	847	1296	993	1082	1105	1215	625	778	759
gene-LOC106789504	LOC106789504	353	142	389	317	345	380	292	197	180	219
gene-LOC106790271	LOC106790271	5536	1673	5109	3888	4172	6764	4576	2803	2021	2271
gene-LOC106785161	LOC106785161	4	5	14	8	3	7	4	5	3	16
gene-LOC106785014	LOC106785014	9	0	3	2	1	2	11	2	1	0
gene-LOC106784795	LOC106784795	1076	202	306	330	390	566	1269	296	260	500
gene-LOC106784303	LOC106784303	3094	572	876	641	2142	1440	6062	938	783	1024
gene-LOC106784948	LOC106784948	447	85	196	232	306	410	285	124	109	141
gene-LOC106784189	LOC106784189	1952	685	2148	1171	1622	1947	1475	611	606	785
gene-LOC106785084	LOC106785084	2	2	8	5	8	11	3	2	4	2
gene-LOC106793436	LOC106793436	796	406	839	733	792	809	769	605	426	545
gene-LOC106790240	LOC106790240	276	96	295	255	253	239	234	112	98	138
gene-LOC106786836	LOC106786836	1	0	1	0	2	0	0	2	0	0
gene-LOC106787516	LOC106787516	135	52	128	74	158	157	130	52	43	37
gene-LOC106788063	LOC106788063	2327	1130	7327	2075	2019	3738	1965	1348	869	1782
gene-LOC106789267	LOC106789267	1624	948	3017	730	1708	1636	1697	463	937	561
gene-LOC106789867	LOC106789867	552	499	893	597	741	763	621	460	455	620
gene-LOC106790187	LOC106790187	2936	2136	4767	3794	2978	3597	3349	1657	2135	1895
gene-LOC106789993	LOC106789993	383	205	321	303	307	409	291	306	181	304
gene-LOC106790110	LOC106790110	2819	843	2056	2221	2145	2386	2498	861	784	1122
gene-LOC106784433	LOC106784433	1119	606	1065	1038	1191	1332	1132	632	519	717
gene-LOC106784299	LOC106784299	381	465	409	365	436	546	337	367	395	363
gene-LOC106784324	LOC106784324	0	0	0	1	0	0	0	1	0	1
gene-LOC106793608	LOC106793608	0	2	3	0	1	1	0	2	1	2
gene-LOC106784312	LOC106784312	585	251	674	650	593	668	631	296	284	353
gene-LOC106783799	LOC106783799	2500	1522	2330	2050	2346	2455	2188	1562	1387	1405
gene-LOC106783819	LOC106783819	406	374	375	344	424	450	424	357	330	397
gene-LOC106784120	LOC106784120	859	654	619	593	978	1001	820	471	628	654
gene-LOC106784449	LOC106784449	10433	3120	7544	6892	8813	8632	8894	3890	3875	4624
gene-LOC106784456	LOC106784456	2849	601	2960	2091	2642	2753	3126	1134	779	1027
gene-LOC106783663	LOC106783663	2055	1257	1809	1403	2064	2188	2167	820	1072	1345
gene-LOC106783674	LOC106783674	5072	3286	2980	4379	4828	5225	3571	3551	3662	4541
gene-LOC106783691	LOC106783691	629	293	987	535	535	809	705	308	277	288
gene-LOC106783656	LOC106783656	946	518	894	843	1004	1116	1132	470	539	663
gene-LOC106783603	LOC106783603	723	648	791	753	904	812	851	589	625	846
gene-LOC106783637	LOC106783637	1275	432	1332	1073	1071	1275	1353	500	477	577
gene-LOC106783608	LOC106783608	316	89	266	242	177	262	175	105	91	108
gene-LOC106784535	LOC106784535	1	0	0	0	0	0	0	0	0	0
gene-LOC106784462	LOC106784462	168	143	245	262	232	238	177	171	165	217
gene-LOC106784476	LOC106784476	191	95	233	149	181	201	185	94	103	114
gene-LOC106784337	LOC106784337	268	127	241	230	250	325	266	141	97	163
gene-LOC106784328	LOC106784328	159	118	215	129	186	166	159	90	126	110
gene-LOC106784342	LOC106784342	155	213	211	191	170	191	145	292	294	291
gene-LOC106783973	LOC106783973	616	267	535	521	532	730	548	310	253	248
gene-LOC106784516	LOC106784516	197	104	36	51	182	153	75	146	116	61
gene-LOC106784507	LOC106784507	298	111	229	193	285	333	337	100	128	179
gene-LOC106793645	LOC106793645	7817	2000	10128	5190	5821	7920	6455	1944	1890	2093
gene-LOC106793679	LOC106793679	17	1	44	10	21	8	15	5	4	11
gene-LOC106793672	LOC106793672	1	0	24	17	11	4	11	3	0	0
gene-LOC106793612	LOC106793612	11	5	7	0	15	12	13	7	3	1
gene-LOC106784169	LOC106784169	21	20	18	9	8	13	13	11	27	8
gene-LOC106784157	LOC106784157	486	209	515	477	514	609	443	280	182	262
gene-LOC106784176	LOC106784176	2401	1686	1926	2029	2283	2654	2390	1431	1541	1675
gene-LOC106783885	LOC106783885	200	84	223	176	204	234	184	115	86	84
gene-LOC106783872	LOC106783872	3619	1559	4130	2783	3855	3151	3300	1740	1711	1627
gene-LOC106793616	LOC106793616	4	0	5	2	6	4	10	0	2	1
gene-LOC106784524	LOC106784524	450	261	332	334	482	440	424	264	239	421
gene-LOC106783791	LOC106783791	4285	3275	4381	4212	5127	4999	5171	2990	3716	3796
gene-LOC106783781	LOC106783781	262	249	394	404	299	450	246	411	257	336
gene-LOC106783767	LOC106783767	781	366	469	606	990	989	659	351	555	545
gene-LOC106784184	LOC106784184	720	72	431	176	524	429	646	171	211	169
gene-LOC106784207	LOC106784207	67	55	70	59	62	79	79	63	39	49
gene-LOC106784218	LOC106784218	2058	691	1574	1418	1739	1866	2069	955	881	1032
gene-LOC106783745	LOC106783745	425	222	387	350	334	416	394	250	257	224
gene-LOC106783703	LOC106783703	576	194	158	140	409	380	553	293	216	241
gene-LOC106783719	LOC106783719	50	50	60	65	72	69	77	50	61	61
gene-LOC106783712	LOC106783712	369	153	553	359	353	450	395	227	191	247
gene-LOC106783756	LOC106783756	2861	1657	6543	3227	2378	4789	2676	1692	1201	1762
gene-LOC106793732	LOC106793732	8	0	3	1	3	1	2	0	3	0
gene-LOC106793820	LOC106793820	210	76	162	168	219	243	187	118	93	125
gene-LOC106793761	LOC106793761	344	255	304	323	309	351	346	223	207	265
gene-LOC106793755	LOC106793755	254	320	329	395	427	363	277	435	313	425
gene-LOC106793827	LOC106793827	152	117	172	182	167	152	132	196	164	196
gene-LOC106793802	LOC106793802	265	20	102	54	219	183	207	107	54	53
gene-LOC106793740	LOC106793740	639	296	178	293	705	659	900	422	346	395
gene-LOC106793836	LOC106793836	979	98	1	0	228	7	63	85	81	265
gene-LOC106793842	LOC106793842	6	1	3	4	8	13	4	1	12	6
gene-LOC106793768	LOC106793768	4209	2449	3944	2918	4322	4659	4190	1523	2051	2086
gene-LOC106783863	LOC106783863	1080	728	531	542	895	857	1138	576	617	686
gene-LOC106783831	LOC106783831	953	340	585	646	764	1178	1120	421	432	454
gene-LOC106793618	LOC106793618	94	24	10	28	105	47	260	25	37	60
gene-LOC106793847	LOC106793847	7610	4109	702	271	4932	5280	11979	322	3934	2577
gene-LOC106793854	LOC106793854	2090	914	1077	1483	2091	2343	1800	980	876	1083
gene-LOC106793884	LOC106793884	1029	729	726	1143	1167	1373	1035	611	643	841
gene-LOC106793899	LOC106793899	1141	562	1636	1449	1073	1356	1176	627	641	844
gene-LOC106793929	LOC106793929	5	213	87	65	70	76	3	266	205	285
gene-LOC106793911	LOC106793911	1827	1015	899	906	1621	1301	3249	840	949	1247
gene-LOC106793938	LOC106793938	20	1	0	0	5	6	10	2	0	6
gene-LOC106793622	LOC106793622	905	341	334	401	693	904	665	266	366	420
gene-LOC106784530	LOC106784530	553	291	399	437	573	555	612	315	358	342
gene-LOC106784040	LOC106784040	345	258	370	320	386	443	283	347	263	352
gene-LOC106784048	LOC106784048	2274	988	1996	1752	2015	2207	2389	857	1017	1070
gene-LOC106793627	LOC106793627	12	5	11	6	17	25	17	14	9	13
gene-LOC106793632	LOC106793632	0	0	0	0	0	0	0	0	0	0
gene-LOC106793638	LOC106793638	0	0	0	0	0	0	0	0	0	0
gene-LOC106783967	LOC106783967	87	0	4	49	45	88	62	17	24	14
gene-LOC106783959	LOC106783959	1031	376	584	667	956	838	1007	507	495	395
gene-LOC106784007	LOC106784007	1116	317	544	458	1435	592	1441	508	634	500
gene-LOC106784022	LOC106784022	931	445	992	874	935	1034	1054	537	423	502
gene-LOC106783916	LOC106783916	6651	3247	6808	5306	5203	6508	5330	2704	2630	2986
gene-LOC106784350	LOC106784350	3135	1659	2811	2667	3170	3658	2772	1335	1861	1886
gene-LOC106784358	LOC106784358	851	275	867	825	848	993	846	331	302	397
gene-LOC106784233	LOC106784233	1059	1475	1198	1343	1245	1278	1040	1468	1978	1237
gene-LOC106784224	LOC106784224	5565	1371	5242	4470	5364	5428	7408	1927	1563	2155
gene-LOC106784380	LOC106784380	191	102	293	172	164	214	158	105	99	81
gene-LOC106784405	LOC106784405	4	8	14	14	5	13	7	14	9	13
gene-LOC106784396	LOC106784396	947	443	985	803	791	1045	1184	413	466	442
gene-LOC106784526	LOC106784526	526	307	464	570	622	562	669	236	315	267
gene-LOC106794049	LOC106794049	982	1253	1375	965	1218	1277	1295	619	934	898
gene-LOC106794043	LOC106794043	3559	1674	3880	3665	3515	4059	4084	1693	1850	2117
gene-LOC106794088	LOC106794088	1352	420	764	741	1086	1167	1447	574	497	603
gene-LOC106794074	LOC106794074	256	112	160	129	232	229	246	112	138	158
gene-LOC106783584	LOC106783584	3	4	1	0	2	2	2	0	4	10
gene-LOC106794062	LOC106794062	665	421	1085	785	755	776	721	473	379	486
gene-LOC106783598	LOC106783598	4	0	18	7	9	24	12	0	9	8
gene-LOC106793696	LOC106793696	22	2	21	16	16	19	17	2	0	2
gene-LOC106784542	LOC106784542	0	7	2	0	2	5	4	0	0	8
gene-LOC106784555	LOC106784555	2	0	10	4	3	11	3	2	3	7
gene-LOC106784546	LOC106784546	16	94	75	58	42	49	2	125	116	125
gene-LOC106784410	LOC106784410	1202	797	1437	1224	1364	1516	1198	739	708	791
gene-LOC106784422	LOC106784422	22	4	25	17	26	39	25	11	6	16
gene-LOC106784138	LOC106784138	2032	1089	2581	1670	1762	2138	2172	1114	1087	1057
gene-LOC106784146	LOC106784146	329	285	453	322	369	337	358	317	303	370
gene-LOC106784266	LOC106784266	1277	328	961	956	1028	1090	1197	463	338	552
gene-LOC106793687	LOC106793687	1085	716	1781	1499	1141	1351	1294	755	731	781
gene-LOC106784373	LOC106784373	457	332	625	562	507	649	508	414	302	373
gene-LOC106793714	LOC106793714	245	96	205	222	274	272	216	160	131	149
gene-LOC106784492	LOC106784492	268	144	236	209	317	287	293	194	187	184
gene-LOC106784488	LOC106784488	376	147	469	319	398	423	397	198	183	206
gene-LOC106784477	LOC106784477	516	309	592	547	538	647	475	415	343	418
gene-LOC106793719	LOC106793719	17	12	11	14	37	16	11	26	30	8
gene-LOC106783890	LOC106783890	973	605	1312	1078	1132	1262	922	640	556	731
gene-LOC106783905	LOC106783905	220	172	343	247	239	303	188	263	144	256
gene-LOC106783911	LOC106783911	1656	727	1665	1307	1534	1768	1920	669	774	873
gene-LOC106793727	LOC106793727	5	0	0	1	2	7	1	0	0	0
gene-LOC106794017	LOC106794017	378	661	1143	781	801	785	372	695	553	615
gene-LOC106794031	LOC106794031	175	92	162	147	134	174	138	96	94	139
gene-LOC106794039	LOC106794039	17	8	35	17	33	36	20	24	17	43
gene-LOC106794022	LOC106794022	874	284	224	403	671	620	706	452	471	573
gene-LOC106794002	LOC106794002	105	201	242	235	203	163	98	289	217	499
gene-LOC106793984	LOC106793984	76	12	16	16	39	28	48	11	21	7
gene-LOC106793945	LOC106793945	3166	2077	3592	2523	3217	3418	3370	1575	1868	1840
gene-LOC106784077	LOC106784077	1903	491	860	1071	1576	1742	964	686	558	737
gene-LOC106784100	LOC106784100	399	151	391	357	430	415	450	223	246	227
gene-LOC106784113	LOC106784113	159	133	25	45	52	88	71	73	116	205
gene-LOC106793704	LOC106793704	252	48	19	9	150	111	440	38	109	112
gene-LOC106784246	LOC106784246	903	277	742	482	626	1047	699	201	260	362
gene-LOC106784068	LOC106784068	6270	3513	7684	6148	5479	7365	8036	3069	3415	4314
gene-LOC106785032	LOC106785032	1243	713	1507	1168	1261	1705	1620	433	473	645
gene-LOC106785281	LOC106785281	457	130	42	270	328	321	325	200	196	165
gene-LOC106785297	LOC106785297	762	187	337	286	460	484	556	201	257	217
gene-LOC106784559	LOC106784559	62	9	36	30	31	36	46	24	11	14
gene-LOC106784566	LOC106784566	0	0	0	0	0	0	0	0	0	0
gene-LOC106784743	LOC106784743	0	0	0	0	0	0	0	0	0	0
gene-LOC106784568	LOC106784568	0	0	1	0	0	0	0	0	0	0
gene-LOC106784714	LOC106784714	2	110	16	0	18	17	1	1	23	6
gene-LOC106784576	LOC106784576	0	0	0	0	0	0	0	0	0	0
gene-LOC106784586	LOC106784586	0	0	0	0	0	0	0	0	0	1
gene-LOC106784592	LOC106784592	0	0	0	0	0	0	0	0	1	0
gene-LOC106784600	LOC106784600	0	0	0	0	0	0	0	0	0	0
gene-LOC106784608	LOC106784608	0	0	0	0	0	0	0	0	0	0
gene-LOC106784612	LOC106784612	0	0	0	0	0	0	0	0	0	0
gene-LOC106784619	LOC106784619	0	0	0	0	0	1	1	0	0	0
gene-LOC106784629	LOC106784629	0	0	0	0	0	0	0	0	0	0
gene-LOC106784634	LOC106784634	0	0	0	0	0	0	0	0	0	0
gene-LOC106784641	LOC106784641	0	0	0	0	0	0	0	0	0	0
gene-LOC106784646	LOC106784646	0	0	0	0	0	0	0	0	0	0
gene-LOC106784653	LOC106784653	0	0	0	0	0	0	0	0	0	0
gene-LOC106784658	LOC106784658	0	0	0	0	0	0	0	0	0	0
gene-LOC106784665	LOC106784665	1	2	0	1	0	0	2	0	2	0
gene-LOC106784754	LOC106784754	4	2	0	0	6	7	3	3	1	5
gene-LOC106785680	LOC106785680	52	107	60	105	103	83	64	76	92	164
gene-LOC106785311	LOC106785311	120	63	120	183	117	163	99	113	101	129
gene-LOC106785315	LOC106785315	383	214	560	404	394	596	448	179	223	251
gene-LOC106785320	LOC106785320	1201	413	1378	1040	1014	1205	1402	438	420	552
gene-LOC106785236	LOC106785236	43	40	114	42	51	154	55	22	48	29
gene-LOC106785218	LOC106785218	362	474	878	515	588	573	335	430	418	474
gene-LOC106785228	LOC106785228	424	145	309	286	375	374	331	195	161	216
gene-LOC106785207	LOC106785207	7319	5060	6369	6101	6760	7499	8161	4778	7518	4663
gene-LOC106784690	LOC106784690	282	129	350	264	296	307	358	176	207	209
gene-LOC106785490	LOC106785490	119	257	260	187	155	149	86	418	284	312
gene-LOC106785411	LOC106785411	418	483	653	559	526	536	328	734	382	720
gene-LOC106785633	LOC106785633	201	44	104	156	148	193	157	59	53	106
gene-LOC106784735	LOC106784735	139	47	223	119	110	171	157	82	27	71
gene-LOC106784702	LOC106784702	477	260	738	497	461	564	530	221	249	264
gene-LOC106785659	LOC106785659	5684	1230	4778	4005	4870	5145	4604	2248	1487	1922
gene-LOC106785428	LOC106785428	870	1142	1763	1302	1147	1430	928	774	1027	899
gene-LOC106785510	LOC106785510	261	250	218	279	267	371	201	246	243	310
gene-LOC106785522	LOC106785522	31	43	51	39	38	37	36	56	48	65
gene-LOC106785614	LOC106785614	342	435	441	281	455	485	421	251	318	274
gene-LOC106785422	LOC106785422	657	558	419	1114	779	920	502	573	539	593
gene-LOC106784727	LOC106784727	1	11	13	1	8	1	3	1	23	0
gene-LOC106785030	LOC106785030	2541	1880	4003	4014	2672	3617	3014	1520	1452	1738
gene-LOC106784898	LOC106784898	3978	2428	4538	3380	3465	4559	4099	1612	1919	1855
gene-LOC106784933	LOC106784933	164	105	154	156	126	120	142	153	153	165
gene-LOC106784904	LOC106784904	3489	1219	3021	2835	3220	3673	3495	1296	1241	1655
gene-LOC106784911	LOC106784911	787	250	700	595	620	699	849	318	301	428
gene-LOC106784916	LOC106784916	756	221	667	601	683	731	705	233	247	364
gene-LOC106784941	LOC106784941	261	396	399	366	327	381	235	432	381	515
gene-LOC106785577	LOC106785577	270	143	316	238	275	261	243	206	172	199
