Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Megalopta_genalis-longest-isoforms
OG0000010	XP_006560423.2, XP_006560425.2, XP_006560432.2, XP_006560433.2, XP_006560434.2, XP_006560435.2, XP_016771268.2, XP_016771271.2, XP_391976.5	Caust.v2_016770	XP_017892041.1, XP_026675228.1, XP_026675229.1, XP_026675230.1, XP_026675231.1, XP_026675232.1, XP_026675233.1, XP_026675234.1, XP_026675235.1, XP_026675236.1, XP_026675239.1	XP_033334068.1, XP_033334079.1, XP_033334087.1, XP_033334095.1, XP_033334100.1, XP_033334106.1, XP_033334115.1, XP_033334122.1, XP_033334132.1
OG0000011	NP_001159377.1, XP_006561583.1, XP_006561584.1, XP_006561587.1, XP_006561588.1, XP_006561589.1, XP_006561590.1, XP_006561591.1, XP_006561592.1, XP_006561593.1, XP_006561595.1, XP_006561596.1, XP_006561598.1, XP_006561600.1, XP_006561601.1, XP_006561602.1, XP_006561603.1, XP_006561606.1, XP_006561607.1, XP_006561608.1, XP_016769326.1, XP_026298390.1, XP_026298392.1, XP_026298393.1, XP_026298394.1	Caust.v2_011280	XP_026673472.1	XP_033321271.1, XP_033321272.1
OG0000012	XP_006569160.3, XP_006569170.3, XP_006569173.3, XP_006569178.3, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_016766235.2, XP_016766238.2, XP_016766239.2, XP_016766240.2, XP_016766250.2, XP_026295030.1, XP_026295033.1, XP_026295034.1, XP_026295037.1, XP_026295039.1, XP_026295046.1	Caust.v2_005233	XP_026671466.1, XP_026671467.1, XP_026671470.1, XP_026671471.1, XP_026671472.1, XP_026671473.1, XP_026671475.1, XP_026671477.1	
OG0000013	XP_016767936.2, XP_026301857.1, XP_026301858.1, XP_026301859.1, XP_026301860.1, XP_026301861.1, XP_026301863.1, XP_026301864.1, XP_026301866.1, XP_026301869.1, XP_026301870.1, XP_026301871.1, XP_026301872.1, XP_026301873.1, XP_026301874.1, XP_026301875.1, XP_026301876.1, XP_026301877.1, XP_026301878.1, XP_026301879.1, XP_026301881.1, XP_026301883.1	Caust.v2_022691	XP_026674453.1, XP_026674454.1, XP_026675071.1	XP_033322441.1
OG0000014	XP_016767973.2, XP_016767975.2, XP_026295660.1, XP_026295665.1, XP_026295672.1, XP_026295674.1, XP_026295675.1, XP_026295676.1, XP_026295677.1	Caust.v2_015018	XP_026667296.1, XP_026667297.1, XP_026667298.1, XP_026667299.1, XP_026667303.1, XP_026667305.1	XP_033338526.1, XP_033338544.1, XP_033338554.1, XP_033338564.1, XP_033338573.1, XP_033338582.1, XP_033338589.1, XP_033338599.1, XP_033338606.1, XP_033338615.1, XP_033338619.1
OG0000015	XP_006563229.1, XP_006563230.1, XP_006563233.1, XP_006563234.1, XP_006563236.1, XP_006563245.1, XP_006563248.1, XP_006563249.1, XP_006563251.1, XP_006563254.1, XP_396853.3	Caust.v2_009853	XP_017886796.1, XP_017886797.1, XP_017886798.1, XP_017886800.1, XP_017886805.1, XP_017886806.1, XP_017886807.1, XP_017886808.1, XP_017886811.1, XP_026672752.1, XP_026672753.1, XP_026672755.1, XP_026672756.1, XP_026672757.1	
OG0000016	XP_006558051.1, XP_016766844.1, XP_016766845.1, XP_016766846.1, XP_016766848.1, XP_016766849.1, XP_026295583.1	Caust.v2_002061	XP_017880907.1, XP_017880909.1, XP_017880911.1, XP_017880913.1, XP_017880914.1, XP_026669683.1, XP_026669684.1	XP_033327515.1, XP_033327523.1, XP_033327533.1, XP_033327543.1, XP_033327554.1, XP_033327565.1, XP_033327572.1, XP_033327581.1, XP_033327586.1, XP_033327606.1
OG0000017	XP_026300830.1, XP_026300831.1, XP_026300832.1, XP_026300833.1, XP_026300837.1, XP_026300838.1, XP_026300840.1, XP_026300843.1, XP_026300844.1, XP_026300845.1, XP_026300846.1	Caust.v2_003169	XP_017884547.1, XP_017884548.1, XP_017884549.1, XP_017884550.1, XP_017884551.1, XP_017884552.1, XP_017884553.1, XP_026671823.1, XP_026671826.1, XP_026671827.1	XP_033336424.1, XP_033336432.1, XP_033336433.1
OG0000018	XP_006560440.2, XP_006560441.2, XP_006560443.2, XP_006560446.2, XP_016771311.2, XP_026300505.1, XP_026300508.1, XP_026300509.1, XP_026300510.1	Caust.v2_015969	XP_017890310.1, XP_026674425.1, XP_026674428.1, XP_026674432.1, XP_026674434.1, XP_026674436.1	XP_033334727.1, XP_033334734.1, XP_033334744.1, XP_033334753.1, XP_033334761.1, XP_033334770.1, XP_033334778.1, XP_033334787.1
OG0000019	XP_006565650.1, XP_006565654.1, XP_006565656.1, XP_006565657.1, XP_006565659.1, XP_006565661.1, XP_006565662.1, XP_016771476.1	Caust.v2_009746, Caust.v2_020361	XP_017884799.1, XP_017884800.1, XP_017884801.1, XP_017884802.1, XP_017884803.1, XP_017884804.1, XP_017884806.1, XP_017884808.1, XP_017884809.1, XP_026671736.1, XP_026671740.1, XP_026671741.1	XP_033335624.1, XP_033335625.1
OG0000020	XP_026295331.1, XP_026295333.1, XP_026295334.1, XP_026295335.1, XP_026295339.1, XP_026295342.1, XP_026295344.1, XP_026295345.1, XP_026295356.1, XP_026295357.1, XP_026295358.1, XP_026295359.1, XP_026295360.1, XP_026295361.1, XP_026295367.1, XP_026295369.1, XP_026295371.1, XP_026295372.1	Caust.v2_005179	XP_017883869.1, XP_026671236.1	XP_033330470.1, XP_033330471.1, XP_033330472.1
OG0000021	XP_026296240.1, XP_026296244.1, XP_026296246.1, XP_026296249.1, XP_026296250.1, XP_026296252.1, XP_026296253.1, XP_026296256.1, XP_026296257.1	Caust.v2_013007	XP_026668704.1, XP_026668707.1, XP_026668708.1, XP_026668709.1, XP_026668711.1, XP_026668712.1, XP_026668713.1, XP_026668714.1, XP_026668715.1, XP_026668716.1, XP_026668717.1, XP_026668718.1, XP_026668719.1	XP_033338063.1
OG0000022	XP_026297303.1, XP_026297306.1, XP_026297309.1, XP_026297311.1, XP_026297317.1, XP_026297321.1	Caust.v2_020872	XP_017878440.1, XP_017878442.1, XP_017878443.1, XP_017878449.1, XP_017878450.1, XP_026668552.1, XP_026668556.1, XP_026668557.1, XP_026668558.1, XP_026668559.1, XP_026668560.1	XP_033323742.1, XP_033323743.1, XP_033323744.1, XP_033323745.1, XP_033323748.1
OG0000023	XP_026298172.1, XP_026298174.1, XP_026298175.1, XP_026298176.1, XP_026298177.1, XP_026298179.1, XP_026298182.1, XP_026298183.1, XP_026298184.1, XP_026298186.1, XP_026298188.1, XP_026298189.1, XP_026298190.1, XP_026298193.1, XP_026298195.1, XP_026298196.1, XP_026298197.1, XP_026298198.1, XP_026298204.1	Caust.v2_021023	XP_026667400.1, XP_026667403.1	XP_033327481.1
OG0000024	XP_003249448.2, XP_006559152.2, XP_006559153.2, XP_006559154.2, XP_006559157.2, XP_016766204.2, XP_026294722.1, XP_026294723.1	Caust.v2_003721	XP_017880544.1, XP_026669538.1, XP_026669539.1, XP_026669540.1, XP_026669541.1, XP_026669542.1, XP_026669543.1, XP_026669546.1, XP_026669552.1	XP_033330659.1, XP_033330660.1, XP_033330663.1, XP_033330665.1
OG0000025	XP_026300149.1, XP_026300151.1, XP_026300153.1, XP_026300154.1, XP_026300159.1, XP_026300160.1	Caust.v2_013107	XP_026675019.1, XP_026675021.1, XP_026675022.1, XP_026675023.1, XP_026675024.1, XP_026675027.1, XP_026675029.1, XP_026675030.1, XP_026675031.1, XP_026675032.1, XP_026675033.1, XP_026675034.1	XP_033338158.1, XP_033338171.1, XP_033338172.1
OG0000026	XP_006559064.1, XP_006559065.1, XP_006559066.1, XP_006559070.1	Caust.v2_003033, Caust.v2_022504	XP_017875103.1, XP_026666924.1, XP_026666926.1, XP_026666928.1, XP_026666929.1, XP_026666930.1, XP_026666931.1, XP_026666932.1	XP_033331143.1, XP_033331148.1, XP_033331156.1, XP_033331158.1, XP_033331168.1, XP_033331177.1, XP_033331186.1
OG0000027	XP_006559546.1, XP_006559547.1, XP_006559548.1, XP_006559549.1, XP_006559550.1, XP_006559551.1, XP_006559552.1, XP_006559553.1, XP_006559563.1, XP_006559565.1, XP_016768824.1, XP_026298337.1	Caust.v2_015414	XP_017893085.1, XP_017893095.1, XP_017893105.1, XP_017893128.1, XP_017893146.1, XP_026666486.1	XP_033327423.1, XP_033327434.1
OG0000028	XP_006563810.1, XP_026295050.1, XP_026295051.1, XP_026295052.1, XP_026295053.1, XP_026295057.1, XP_026295058.1, XP_026295061.1, XP_026295063.1, XP_026295065.1, XP_026295066.1	Caust.v2_012510	XP_017892785.1, XP_026675614.1, XP_026675615.1, XP_026675617.1, XP_026675618.1, XP_026675619.1, XP_026675620.1, XP_026675621.1, XP_026675622.1	
OG0000029	XP_016771452.1, XP_026300448.1, XP_026300449.1, XP_026300452.1, XP_026300454.1, XP_026300455.1	Caust.v2_006346	XP_017880901.1, XP_017880902.1, XP_017880904.1, XP_026669644.1, XP_026669645.1	XP_033333589.1, XP_033333597.1, XP_033333617.1, XP_033333626.1, XP_033333641.1, XP_033333648.1, XP_033333657.1, XP_033333665.1, XP_033333673.1
OG0000030	XP_026295271.1, XP_026295273.1, XP_026295275.1, XP_026295278.1, XP_026295280.1, XP_026295281.1, XP_026295282.1	Caust.v2_011037	XP_017887103.1, XP_026672793.1, XP_026672794.1, XP_026672795.1, XP_026672797.1, XP_026672798.1, XP_026672799.1, XP_026672800.1, XP_026672805.1, XP_026672806.1, XP_026672807.1, XP_026672808.1	XP_033321624.1
OG0000031	XP_026298889.1, XP_026298890.1, XP_026298891.1, XP_026298892.1, XP_026298894.1, XP_026298896.1, XP_026298902.1, XP_026298903.1	Caust.v2_006473, Caust.v2_020392	XP_017876610.1, XP_017876611.1, XP_017876613.1, XP_017876614.1, XP_017876616.1, XP_017876619.1, XP_017876622.1, XP_026667681.1	XP_033340915.1, XP_033340928.1, XP_033340929.1
OG0000032	XP_026300196.1, XP_026300199.1, XP_026300200.1, XP_026300201.1, XP_026300207.1, XP_026300211.1	Caust.v2_003883	XP_017888399.1, XP_017888401.1, XP_017888404.1, XP_017888405.1, XP_017888408.1, XP_017888409.1, XP_017888413.1, XP_017888415.2, XP_026673479.1, XP_026673480.1, XP_026673481.1, XP_026673483.1, XP_026673484.1, XP_026673485.1	
OG0000033	XP_003249267.2, XP_003249278.2, XP_006558389.2, XP_026300224.1, XP_026300225.1, XP_026300227.1, XP_026300228.1, XP_026300229.1, XP_026300256.1, XP_026300258.1	Caust.v2_014562, Caust.v2_014563, Caust.v2_014565, Caust.v2_014859	XP_026674948.1, XP_026674957.1, XP_026674959.1, XP_026674960.1	XP_033340024.1, XP_033340025.1
OG0000034	XP_006564520.1, XP_016769827.2, XP_016769829.2, XP_016769834.2, XP_016769835.2	Caust.v2_006155, Caust.v2_019990	XP_026667621.1, XP_026667623.1, XP_026667629.1, XP_026667630.1, XP_026667631.1, XP_026667632.1, XP_026667634.1, XP_026667635.1, XP_026667636.1	XP_033325367.1, XP_033325369.1, XP_033325370.1, XP_033325371.1
OG0000035	XP_006566331.1, XP_006566334.1, XP_006566346.1, XP_016770586.1, XP_026299792.1, XP_026299793.1		XP_017892615.1, XP_017892618.1, XP_017892620.1, XP_017892621.1, XP_026675517.1, XP_026675520.1, XP_026675521.1, XP_026675522.1, XP_026675523.1, XP_026675524.1, XP_026675525.1, XP_026675526.1	XP_033334982.1, XP_033335000.1
OG0000036	XP_006572395.2, XP_026296878.1, XP_026296880.1	Caust.v2_004477	XP_017891341.1, XP_017891342.1, XP_026674897.1, XP_026674898.1, XP_026674899.1, XP_026674900.1, XP_026674901.1, XP_026674902.1, XP_026674903.1, XP_026674904.1	XP_033332728.1, XP_033332729.1, XP_033332730.1, XP_033332732.1, XP_033332733.1, XP_033332734.1
OG0000037	XP_016769114.2, XP_026298286.1, XP_026298287.1, XP_026298288.1, XP_026298289.1, XP_026298290.1, XP_026298291.1, XP_026298292.1	Caust.v2_004022, Caust.v2_021927	XP_026675353.1, XP_026675354.1, XP_026675355.1, XP_026675356.1, XP_026675357.1, XP_026675358.1, XP_026675359.1, XP_026675360.1	XP_033332874.1, XP_033332875.1
OG0000038	XP_026299252.1, XP_026299253.1, XP_026299254.1, XP_026299256.1, XP_026299257.1, XP_026299258.1		XP_017881986.1, XP_017881987.1, XP_017881993.1, XP_017881994.1, XP_026670375.1, XP_026670376.1, XP_026670377.1, XP_026670379.1, XP_026670380.1, XP_026670381.1	XP_033330532.1, XP_033330533.1, XP_033330534.1, XP_033330537.1
OG0000039		Caust.v2_011058, Caust.v2_011840, Caust.v2_020963	XP_017877749.1, XP_017877751.1, XP_017877754.1, XP_017877756.1, XP_017877765.2, XP_017877769.2, XP_017877772.1, XP_017877780.1, XP_026668253.1, XP_026668255.1, XP_026668263.1, XP_026668265.1, XP_026668268.1	XP_033326986.1, XP_033327010.1, XP_033327013.1, XP_033327014.1
OG0000040	XP_006561392.2, XP_006561393.2, XP_006561394.2, XP_006561395.2, XP_006561396.2, XP_006561397.2, XP_006561398.1, XP_006561400.1, XP_006561401.1, XP_016772537.1, XP_016772538.1	Caust.v2_003922	XP_017888421.1, XP_026673509.1, XP_026673510.1, XP_026673511.1, XP_026673514.1	XP_033329760.1, XP_033329763.1
OG0000041	XP_006564190.1, XP_006564191.1, XP_016768118.1, XP_026297104.1, XP_026297108.1, XP_392425.4	Caust.v2_016330, Caust.v2_016594, Caust.v2_020566	XP_017875171.1, XP_017875172.1, XP_017875173.1, XP_017875175.1, XP_017875176.1, XP_017877623.2	XP_033323702.1, XP_033323704.1, XP_033323708.1, XP_033339882.1
OG0000042	XP_006570211.1, XP_006570212.1, XP_006570214.1, XP_006570215.1, XP_006570216.1, XP_006570218.1, XP_016766877.1, XP_026295163.1, XP_624065.2	Caust.v2_001395	XP_026673581.1, XP_026673582.1, XP_026673588.1	XP_033331235.1, XP_033331307.1, XP_033331454.1, XP_033331532.1, XP_033331685.1, XP_033331992.1
OG0000043	XP_006571228.1, XP_006571231.1, XP_006571233.1, XP_006571240.1, XP_006571242.1, XP_026302125.1	Caust.v2_011680	XP_017877009.1, XP_017877012.1, XP_017877015.1, XP_017877017.1, XP_017877018.1, XP_017877019.1, XP_017877020.1, XP_017877021.1, XP_026667891.1, XP_026667892.1	XP_033341345.1, XP_033341362.1
OG0000044	XP_016769591.1, XP_026301441.1, XP_026301446.1, XP_026301452.1, XP_026301455.1, XP_026301460.1, XP_026301465.1, XP_026301471.1, XP_026301476.1, XP_026301477.1, XP_026301490.1	Caust.v2_009197	XP_017890774.1, XP_017890785.1, XP_017890789.1, XP_017890794.1, XP_026674654.1	XP_033328998.1, XP_033329013.1
OG0000045	XP_016771164.1, XP_026300314.1, XP_026300315.1, XP_026300321.1, XP_026300322.1, XP_026300324.1, XP_026300325.1, XP_026300334.1, XP_026300335.1, XP_026300336.1, XP_026300337.1, XP_026300340.1	Caust.v2_001589	XP_017890327.1, XP_017890331.1, XP_017890332.1, XP_017890335.1	XP_033323442.1, XP_033323443.1
OG0000046	XP_026297003.1, XP_026297004.1, XP_026297006.1, XP_026297008.1, XP_026297010.1, XP_026297011.1, XP_026297012.1, XP_026297013.1, XP_026297015.1		XP_017890160.1, XP_017890169.1, XP_017890178.1, XP_017890192.1, XP_017890202.1, XP_017890210.1, XP_017890228.1, XP_026674641.1	XP_033339738.1, XP_033339747.1
OG0000047	XP_001122092.2, XP_006571352.1, XP_006571353.1, XP_016769793.1	Caust.v2_021409	XP_017875524.1, XP_017875533.1, XP_017875541.1, XP_017875550.1, XP_017875560.1, XP_017875564.1, XP_026667325.1, XP_026667328.1, XP_026667331.1, XP_026667333.1	XP_033328931.1, XP_033328943.1, XP_033328944.1
OG0000048	XP_006558759.1, XP_006558760.1, XP_006563567.1, XP_006567025.1	Caust.v2_002357, Caust.v2_006686, Caust.v2_007570, Caust.v2_009961, Caust.v2_017096	XP_017877929.1, XP_017889379.1, XP_026670794.1	XP_033322343.1, XP_033322375.1, XP_033322848.1, XP_033322849.1, XP_033327651.1, XP_033330101.1
OG0000049	XP_006561489.3, XP_006561490.3, XP_006561491.3, XP_006561492.2, XP_006561493.2, XP_016768977.2, XP_026298213.1, XP_026298214.1	Caust.v2_020762	XP_026666616.1, XP_026666617.1, XP_026666618.1, XP_026666619.1, XP_026666622.1, XP_026666623.1, XP_026666626.1	XP_033332676.1, XP_033332678.1
OG0000050	XP_006561512.1, XP_026297854.1, XP_026297856.1, XP_026297857.1, XP_026297859.1, XP_026297861.1	Caust.v2_020781	XP_017879508.1, XP_017879522.1, XP_026669012.1, XP_026669015.1, XP_026669017.1, XP_026669021.1, XP_026669024.1, XP_026669026.1, XP_026669032.1, XP_026669042.1	XP_033332835.1
OG0000051	XP_006563302.1, XP_006563306.1, XP_016769357.1, XP_016769382.1, XP_026301691.1, XP_026301697.1, XP_026301701.1, XP_026301706.1, XP_026301709.1	Caust.v2_011673, Caust.v2_014420, Caust.v2_022095	XP_017881147.1	XP_033323584.1, XP_033323585.1, XP_033323588.1, XP_033323589.1, XP_033323592.1
OG0000052	XP_006566534.1	Caust.v2_001277, Caust.v2_006540, Caust.v2_012043, Caust.v2_016708, Caust.v2_018502, Caust.v2_022485	XP_017876256.1, XP_017884072.1, XP_017884098.1, XP_017884112.1, XP_017887521.1, XP_026671364.1, XP_026671365.1, XP_026673307.1, XP_026673310.1, XP_026673575.1	XP_033332144.1
OG0000053	XP_006567950.1, XP_006567952.1, XP_006567955.1, XP_006567956.1, XP_006567957.1, XP_026296636.1	Caust.v2_004985, Caust.v2_021637	XP_026670858.1, XP_026670861.1, XP_026670863.1, XP_026670864.1, XP_026670865.1, XP_026670866.1	XP_033324081.1, XP_033324082.1, XP_033324083.1, XP_033324085.1
OG0000054	XP_006568973.1, XP_006568974.1, XP_006568976.1, XP_006568978.1, XP_006568980.1, XP_006568982.1	Caust.v2_011716, Caust.v2_011719	XP_017884237.1, XP_017884238.1, XP_026671426.1, XP_026671430.1	XP_033337099.1, XP_033337106.1, XP_033337115.1, XP_033337124.1, XP_033337132.1, XP_033337140.1
OG0000055	XP_016767109.2, XP_026296074.1, XP_026296080.1, XP_026296083.1, XP_026296084.1, XP_026296094.1, XP_026296097.1, XP_026296098.1, XP_026296099.1, XP_026296100.1, XP_026296101.1, XP_026296102.1, XP_026296103.1, XP_026296104.1, XP_026296105.1, XP_026296106.1, XP_026296107.1, XP_026296109.1			
OG0000056	XP_016770515.1, XP_026299866.1, XP_026299867.1, XP_026299868.1, XP_026299869.1	Caust.v2_008124, Caust.v2_019115	XP_026673113.1, XP_026673115.1, XP_026673117.1, XP_026673118.1, XP_026673119.1, XP_026673120.1, XP_026673121.1, XP_026673122.1, XP_026673125.1, XP_026673128.1	XP_033326815.1
OG0000057	XP_016772551.2, XP_016772553.2, XP_016772554.2, XP_016772555.2, XP_016772557.2, XP_016772559.2, XP_026301655.1, XP_026301658.1	Caust.v2_007026	XP_017889986.1, XP_017889989.1, XP_017889990.1, XP_017889991.1, XP_017889993.1, XP_017889994.1, XP_026674263.1, XP_026674264.1	XP_033338906.1
OG0000058	XP_026301584.1, XP_026301585.1, XP_026301586.1, XP_026301587.1, XP_026301588.1, XP_026301589.1, XP_026301591.1, XP_026301594.1, XP_026301595.1, XP_026301602.1, XP_026301605.1, XP_026301607.1, XP_026301608.1, XP_026301609.1, XP_026301611.1, XP_026301612.1, XP_026301613.1, XP_026301615.1			
OG0000059	XP_001120165.3, XP_006568458.2, XP_006568461.2, XP_026295259.1, XP_026295262.1	Caust.v2_015317, Caust.v2_015326, Caust.v2_015328, Caust.v2_015332	XP_017887079.1, XP_017887085.1, XP_017887086.1, XP_026672785.1, XP_026672787.1	XP_033323260.1, XP_033323265.1, XP_033323267.1
OG0000060	XP_001120982.2, XP_006559851.1, XP_026296790.1	Caust.v2_016635	XP_017882431.1, XP_017882433.1, XP_026670568.1, XP_026670569.1, XP_026670571.1, XP_026670572.1	XP_033324266.1, XP_033324275.1, XP_033324284.1, XP_033324293.1, XP_033324302.1, XP_033324319.1, XP_033324327.1
OG0000061	XP_003250951.2, XP_026299972.1, XP_026299973.1, XP_026299974.1, XP_026299975.1	Caust.v2_005848, Caust.v2_022196	XP_017879904.1, XP_026669228.1, XP_026669229.1, XP_026669231.1, XP_026669235.1	XP_033335518.1, XP_033335519.1, XP_033335520.1, XP_033335521.1, XP_033335522.1
