Orthogroup	Apis_mellifera-longest-isoforms	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Megalopta_genalis-longest-isoforms
OG0009786	XP_026298401.1			
OG0009787	XP_026298711.1			
OG0009788	XP_026298726.1			
OG0009789	XP_026298757.1			
OG0009790	XP_026298781.1			
OG0009791	XP_026298788.1			
OG0009792	XP_026298796.1			
OG0009793	XP_026298797.1			
OG0009794	XP_026298804.1			
OG0009795	XP_026298926.1			
OG0009796	XP_026298943.1			
OG0009797	XP_026298987.1			
OG0009798	XP_026299071.1			
OG0009799	XP_026299074.1			
OG0009800	XP_026299149.1			
OG0009801	XP_026299179.1			
OG0009802	XP_026299216.1			
OG0009803	XP_026299221.1			
OG0009804	XP_026299227.1			
OG0009805	XP_026299272.1			
OG0009806	XP_026299273.1			
OG0009807	XP_026299293.1			
OG0009808	XP_026299353.1			
OG0009809	XP_026299400.1			
OG0009810	XP_026299516.1			
OG0009811	XP_026299592.1			
OG0009812	XP_026299652.1			
OG0009813	XP_026299775.1			
OG0009814	XP_026299797.1			
OG0009815	XP_026299798.1			
OG0009816	XP_026299859.1			
OG0009817	XP_026299946.1			
OG0009818	XP_026299980.1			
OG0009819	XP_026300212.1			
OG0009820	XP_026300299.1			
OG0009821	XP_026300302.1			
OG0009822	XP_026300372.1			
OG0009823	XP_026300525.1			
OG0009824	XP_026300587.1			
OG0009825	XP_026300709.1			
OG0009826	XP_026300902.1			
OG0009827	XP_026300935.1			
OG0009828	XP_026300970.1			
OG0009829	XP_026301015.1			
OG0009830	XP_026301034.1			
OG0009831	XP_026301079.1			
OG0009832	XP_026301134.1			
OG0009833	XP_026301154.1			
OG0009834	XP_026301155.1			
OG0009835	XP_026301173.1			
OG0009836	XP_026301409.1			
OG0009837	XP_026301459.1			
OG0009838	XP_026301531.1			
OG0009839	XP_026301807.1			
OG0009840	XP_026301969.1			
OG0009841	XP_026301998.1			
OG0009842	XP_026302002.1			
OG0009843	XP_026302103.1			
OG0009844	XP_026302118.1			
OG0009845	XP_026302302.1			
OG0009846	XP_391909.4			
OG0009847	XP_392630.2			
OG0009848	XP_392655.2			
OG0009849	XP_392668.2			
OG0009850	XP_393426.1			
OG0009851	XP_393545.2			
OG0009852	XP_393572.3			
OG0009853	XP_393865.2			
OG0009854	XP_394017.3			
OG0009855	XP_394210.5			
OG0009856	XP_395792.4			
OG0009857	XP_395937.6			
OG0009858	XP_396292.3			
OG0009859	XP_396943.1			
OG0009860	XP_397085.2			
OG0009861	XP_397347.4			
OG0009862	XP_397573.4			
OG0009863	XP_623134.1			
OG0009864	XP_623429.3			
OG0009865	XP_623500.2			
OG0009866	XP_623595.1			
OG0009867	XP_623672.1			
OG0009868	XP_623910.4			
OG0009869	XP_624002.4			
OG0009870	XP_624006.3			
OG0009871	XP_624334.2			
OG0009872	XP_624364.1			
OG0009873	XP_624472.3			
OG0009874	XP_624543.3			
OG0009875		Caust.v2_010920		
OG0009876		Caust.v2_010919		
OG0009877		Caust.v2_010922		
OG0009878		Caust.v2_010931		
OG0009879		Caust.v2_010939		
OG0009880		Caust.v2_010947		
OG0009881		Caust.v2_010921		
OG0009882		Caust.v2_010936		
OG0009883		Caust.v2_010933		
OG0009884		Caust.v2_010940		
OG0009885		Caust.v2_010935		
OG0009886		Caust.v2_010944		
OG0009887		Caust.v2_010923		
OG0009888		Caust.v2_010934		
OG0009889		Caust.v2_010937		
OG0009890		Caust.v2_010938		
OG0009891		Caust.v2_010065		
OG0009892		Caust.v2_010072		
OG0009893		Caust.v2_010081		
OG0009894		Caust.v2_010064		
OG0009895		Caust.v2_011728		
OG0009896		Caust.v2_011731		
OG0009897		Caust.v2_013489		
OG0009898		Caust.v2_013503		
OG0009899		Caust.v2_013493		
OG0009900		Caust.v2_013502		
OG0009901		Caust.v2_013506		
OG0009902		Caust.v2_013508		
OG0009903		Caust.v2_013511		
OG0009904		Caust.v2_013498		
OG0009905		Caust.v2_013494		
OG0009906		Caust.v2_013491		
OG0009907		Caust.v2_013495		
OG0009908		Caust.v2_013496		
OG0009909		Caust.v2_013504		
OG0009910		Caust.v2_013507		
OG0009911		Caust.v2_013497		
OG0009912		Caust.v2_013492		
OG0009913		Caust.v2_013509		
OG0009914		Caust.v2_021812		
OG0009915		Caust.v2_018965		
OG0009916		Caust.v2_016391		
OG0009917		Caust.v2_016389		
OG0009918		Caust.v2_016390		
OG0009919		Caust.v2_016387		
OG0009920		Caust.v2_016388		
OG0009921		Caust.v2_016190		
OG0009922		Caust.v2_016191		
OG0009923		Caust.v2_016189		
OG0009924		Caust.v2_016188		
OG0009925		Caust.v2_020812		
OG0009926		Caust.v2_016272		
OG0009927		Caust.v2_016264		
OG0009928		Caust.v2_016275		
OG0009929		Caust.v2_016269		
OG0009930		Caust.v2_016268		
OG0009931		Caust.v2_016270		
OG0009932		Caust.v2_016267		
OG0009933		Caust.v2_016274		
OG0009934		Caust.v2_022702		
OG0009935		Caust.v2_017974		
OG0009936		Caust.v2_017975		
OG0009937		Caust.v2_017976		
OG0009938		Caust.v2_017977		
OG0009939		Caust.v2_019910		
OG0009940		Caust.v2_008489		
OG0009941		Caust.v2_008464		
OG0009942		Caust.v2_008472		
OG0009943		Caust.v2_008491		
OG0009944		Caust.v2_008474		
OG0009945		Caust.v2_008480		
OG0009946		Caust.v2_008457		
OG0009947		Caust.v2_008478		
OG0009948		Caust.v2_008484		
OG0009949		Caust.v2_008458		
OG0009950		Caust.v2_008462		
OG0009951		Caust.v2_008479		
OG0009952		Caust.v2_008482		
OG0009953		Caust.v2_013167		
OG0009954		Caust.v2_013165		
OG0009955		Caust.v2_013164		
OG0009956		Caust.v2_015781		
OG0009957		Caust.v2_015783		
OG0009958		Caust.v2_015789		
OG0009959		Caust.v2_021423		
OG0009960		Caust.v2_013563		
OG0009961		Caust.v2_013572		
OG0009962		Caust.v2_013570		
OG0009963		Caust.v2_013564		
OG0009964		Caust.v2_013560		
OG0009965		Caust.v2_013571		
OG0009966		Caust.v2_013573		
OG0009967		Caust.v2_013576		
OG0009968		Caust.v2_013575		
OG0009969		Caust.v2_013569		
OG0009970		Caust.v2_013574		
OG0009971		Caust.v2_004525		
OG0009972		Caust.v2_004535		
OG0009973		Caust.v2_004524		
OG0009974		Caust.v2_004552		
OG0009975		Caust.v2_004560		
OG0009976		Caust.v2_004561		
OG0009977		Caust.v2_004570		
OG0009978		Caust.v2_004541		
OG0009979		Caust.v2_004549		
OG0009980		Caust.v2_004551		
OG0009981		Caust.v2_004569		
OG0009982		Caust.v2_004571		
OG0009983		Caust.v2_004553		
OG0009984		Caust.v2_004558		
OG0009985		Caust.v2_004557		
OG0009986		Caust.v2_004562		
OG0009987		Caust.v2_022287		
OG0009988		Caust.v2_019761		
OG0009989		Caust.v2_019762		
OG0009990		Caust.v2_020851		
OG0009991		Caust.v2_017179		
OG0009992		Caust.v2_015417		
OG0009993		Caust.v2_015415		
OG0009994		Caust.v2_015413		
OG0009995		Caust.v2_015412		
OG0009996		Caust.v2_015410		
OG0009997		Caust.v2_015416		
OG0009998		Caust.v2_015409		
OG0009999		Caust.v2_017750		
OG0010000		Caust.v2_017749		
OG0010001		Caust.v2_017748		
OG0010002		Caust.v2_020184		
OG0010003		Caust.v2_020182		
OG0010004		Caust.v2_021748		
OG0010005		Caust.v2_022183		
OG0010006		Caust.v2_018523		
OG0010007		Caust.v2_018521		
OG0010008		Caust.v2_016254		
OG0010009		Caust.v2_016246		
OG0010010		Caust.v2_016248		
OG0010011		Caust.v2_016250		
OG0010012		Caust.v2_016252		
OG0010013		Caust.v2_016247		
OG0010014		Caust.v2_016249		
OG0010015		Caust.v2_016251		
OG0010016		Caust.v2_016253		
OG0010017		Caust.v2_016245		
OG0010018		Caust.v2_014247		
OG0010019		Caust.v2_014254		
OG0010020		Caust.v2_014255		
OG0010021		Caust.v2_014256		
OG0010022		Caust.v2_014253		
OG0010023		Caust.v2_014252		
OG0010024		Caust.v2_014245		
OG0010025		Caust.v2_014249		
OG0010026		Caust.v2_016593		
OG0010027		Caust.v2_016591		
OG0010028		Caust.v2_016589		
OG0010029		Caust.v2_016592		
OG0010030		Caust.v2_016590		
OG0010031		Caust.v2_016136		
OG0010032		Caust.v2_016131		
OG0010033		Caust.v2_016133		
OG0010034		Caust.v2_016135		
OG0010035		Caust.v2_009091		
OG0010036		Caust.v2_009083		
OG0010037		Caust.v2_009092		
OG0010038		Caust.v2_009093		
OG0010039		Caust.v2_009107		
OG0010040		Caust.v2_009114		
OG0010041		Caust.v2_009113		
OG0010042		Caust.v2_009106		
OG0010043		Caust.v2_009109		
OG0010044		Caust.v2_009112		
OG0010045		Caust.v2_018181		
OG0010046		Caust.v2_018180		
OG0010047		Caust.v2_018177		
OG0010048		Caust.v2_018179		
OG0010049		Caust.v2_022108		
OG0010050		Caust.v2_020549		
OG0010051		Caust.v2_020548		
OG0010052		Caust.v2_019942		
OG0010053		Caust.v2_019943		
OG0010054		Caust.v2_021287		
OG0010055		Caust.v2_020308		
OG0010056		Caust.v2_017224		
OG0010057		Caust.v2_020977		
OG0010058		Caust.v2_021700		
OG0010059		Caust.v2_012165		
OG0010060		Caust.v2_012167		
OG0010061		Caust.v2_012170		
OG0010062		Caust.v2_012164		
OG0010063		Caust.v2_012163		
OG0010064		Caust.v2_012169		
OG0010065		Caust.v2_012162		
OG0010066		Caust.v2_012166		
OG0010067		Caust.v2_019007		
OG0010068		Caust.v2_019006		
OG0010069		Caust.v2_019008		
OG0010070		Caust.v2_022291		
OG0010071		Caust.v2_021814		
OG0010072		Caust.v2_011989		
OG0010073		Caust.v2_011992		
OG0010074		Caust.v2_011986		
OG0010075		Caust.v2_011985		
OG0010076		Caust.v2_011997		
OG0010077		Caust.v2_011996		
OG0010078		Caust.v2_011994		
OG0010079		Caust.v2_012003		
OG0010080		Caust.v2_012000		
OG0010081		Caust.v2_012001		
OG0010082		Caust.v2_012002		
OG0010083		Caust.v2_011993		
OG0010084		Caust.v2_012004		
OG0010085		Caust.v2_012005		
OG0010086		Caust.v2_021767		
OG0010087		Caust.v2_020076		
OG0010088		Caust.v2_018457		
OG0010089		Caust.v2_021222		
OG0010090		Caust.v2_014304		
OG0010091		Caust.v2_014306		
OG0010092		Caust.v2_009656		
OG0010093		Caust.v2_009630		
OG0010094		Caust.v2_009632		
OG0010095		Caust.v2_009655		
OG0010096		Caust.v2_009660		
OG0010097		Caust.v2_009641		
OG0010098		Caust.v2_009643		
OG0010099		Caust.v2_009627		
OG0010100		Caust.v2_009631		
OG0010101		Caust.v2_009644		
OG0010102		Caust.v2_009634		
OG0010103		Caust.v2_015358		
OG0010104		Caust.v2_015359		
OG0010105		Caust.v2_020864		
OG0010106		Caust.v2_019590		
OG0010107		Caust.v2_022384		
OG0010108		Caust.v2_020984		
OG0010109		Caust.v2_017431		
OG0010110		Caust.v2_022725		
OG0010111		Caust.v2_009198		
OG0010112		Caust.v2_009199		
OG0010113		Caust.v2_009202		
OG0010114		Caust.v2_009194		
OG0010115		Caust.v2_009195		
OG0010116		Caust.v2_009203		
OG0010117		Caust.v2_009201		
OG0010118		Caust.v2_009208		
OG0010119		Caust.v2_009211		
OG0010120		Caust.v2_009200		
OG0010121		Caust.v2_009206		
OG0010122		Caust.v2_009207		
OG0010123		Caust.v2_009222		
OG0010124		Caust.v2_009216		
OG0010125		Caust.v2_009221		
OG0010126		Caust.v2_021418		
OG0010127		Caust.v2_012803		
OG0010128		Caust.v2_012802		
OG0010129		Caust.v2_012813		
OG0010130		Caust.v2_012801		
OG0010131		Caust.v2_012807		
OG0010132		Caust.v2_012800		
OG0010133		Caust.v2_012806		
OG0010134		Caust.v2_012805		
OG0010135		Caust.v2_015709		
OG0010136		Caust.v2_015711		
OG0010137		Caust.v2_021389		
OG0010138		Caust.v2_012538		
OG0010139		Caust.v2_012542		
OG0010140		Caust.v2_012539		
OG0010141		Caust.v2_012548		
OG0010142		Caust.v2_012550		
OG0010143		Caust.v2_012553		
OG0010144		Caust.v2_012547		
OG0010145		Caust.v2_012544		
OG0010146		Caust.v2_012557		
OG0010147		Caust.v2_012552		
OG0010148		Caust.v2_012554		
OG0010149		Caust.v2_012556		
OG0010150		Caust.v2_012546		
OG0010151		Caust.v2_012551		
OG0010152		Caust.v2_012555		
OG0010153		Caust.v2_012549		
OG0010154		Caust.v2_012545		
OG0010155		Caust.v2_022636		
OG0010156		Caust.v2_022480		
OG0010157		Caust.v2_014000		
OG0010158		Caust.v2_013999		
OG0010159		Caust.v2_013991		
OG0010160		Caust.v2_017853		
OG0010161		Caust.v2_017854		
OG0010162		Caust.v2_020004		
OG0010163		Caust.v2_014283		
OG0010164		Caust.v2_014286		
OG0010165		Caust.v2_014285		
OG0010166		Caust.v2_014282		
OG0010167		Caust.v2_014284		
OG0010168		Caust.v2_014276		
OG0010169		Caust.v2_006937		
OG0010170		Caust.v2_006933		
OG0010171		Caust.v2_006936		
OG0010172		Caust.v2_006932		
OG0010173		Caust.v2_006946		
OG0010174		Caust.v2_006952		
OG0010175		Caust.v2_006948		
OG0010176		Caust.v2_006944		
OG0010177		Caust.v2_006966		
OG0010178		Caust.v2_006972		
OG0010179		Caust.v2_006971		
OG0010180		Caust.v2_006973		
OG0010181		Caust.v2_006960		
OG0010182		Caust.v2_006955		
OG0010183		Caust.v2_006956		
OG0010184		Caust.v2_006977		
OG0010185		Caust.v2_006976		
OG0010186		Caust.v2_006954		
OG0010187		Caust.v2_006958		
OG0010188		Caust.v2_008821		
OG0010189		Caust.v2_008822		
OG0010190		Caust.v2_008833		
OG0010191		Caust.v2_008838		
OG0010192		Caust.v2_008836		
OG0010193		Caust.v2_008832		
OG0010194		Caust.v2_008835		
OG0010195		Caust.v2_008830		
OG0010196		Caust.v2_008839		
OG0010197		Caust.v2_008834		
OG0010198		Caust.v2_011074		
OG0010199		Caust.v2_011081		
OG0010200		Caust.v2_011082		
OG0010201		Caust.v2_011093		
OG0010202		Caust.v2_011090		
OG0010203		Caust.v2_011092		
OG0010204		Caust.v2_011077		
OG0010205		Caust.v2_011083		
OG0010206		Caust.v2_011080		
OG0010207		Caust.v2_011089		
OG0010208		Caust.v2_017935		
OG0010209		Caust.v2_017933		
OG0010210		Caust.v2_016056		
OG0010211		Caust.v2_016052		
OG0010212		Caust.v2_016054		
OG0010213		Caust.v2_017170		
OG0010214		Caust.v2_017166		
OG0010215		Caust.v2_021557		
OG0010216		Caust.v2_014665		
OG0010217		Caust.v2_014667		
OG0010218		Caust.v2_015123		
OG0010219		Caust.v2_015127		
OG0010220		Caust.v2_015121		
OG0010221		Caust.v2_015126		
OG0010222		Caust.v2_015125		
OG0010223		Caust.v2_015124		
OG0010224		Caust.v2_020097		
OG0010225		Caust.v2_021359		
OG0010226		Caust.v2_018216		
OG0010227		Caust.v2_018214		
OG0010228		Caust.v2_019160		
OG0010229		Caust.v2_019159		
OG0010230		Caust.v2_018544		
OG0010231		Caust.v2_020512		
OG0010232		Caust.v2_017505		
OG0010233		Caust.v2_019708		
OG0010234		Caust.v2_021273		
OG0010235		Caust.v2_022558		
OG0010236		Caust.v2_018664		
OG0010237		Caust.v2_018665		
OG0010238		Caust.v2_018143		
OG0010239		Caust.v2_021375		
OG0010240		Caust.v2_019697		
OG0010241		Caust.v2_019695		
OG0010242		Caust.v2_020136		
OG0010243		Caust.v2_017022		
OG0010244		Caust.v2_017023		
OG0010245		Caust.v2_020771		
OG0010246		Caust.v2_020770		
OG0010247		Caust.v2_018101		
OG0010248		Caust.v2_022404		
OG0010249		Caust.v2_021584		
OG0010250		Caust.v2_013696		
OG0010251		Caust.v2_015956		
OG0010252		Caust.v2_015954		
OG0010253		Caust.v2_015959		
OG0010254		Caust.v2_015948		
OG0010255		Caust.v2_015957		
OG0010256		Caust.v2_015958		
OG0010257		Caust.v2_015955		
OG0010258		Caust.v2_015953		
OG0010259		Caust.v2_016413		
OG0010260		Caust.v2_016409		
OG0010261		Caust.v2_016414		
OG0010262		Caust.v2_016408		
OG0010263		Caust.v2_016412		
OG0010264		Caust.v2_022077		
OG0010265		Caust.v2_020261		
OG0010266		Caust.v2_018866		
OG0010267		Caust.v2_022510		
OG0010268		Caust.v2_016287		
OG0010269		Caust.v2_016285		
OG0010270		Caust.v2_016293		
OG0010271		Caust.v2_016288		
OG0010272		Caust.v2_018556		
OG0010273		Caust.v2_018558		
OG0010274		Caust.v2_018559		
OG0010275		Caust.v2_021804		
OG0010276		Caust.v2_020609		
OG0010277		Caust.v2_020610		
OG0010278		Caust.v2_021005		
OG0010279		Caust.v2_018049		
OG0010280		Caust.v2_018051		
OG0010281		Caust.v2_018050		
OG0010282		Caust.v2_020509		
OG0010283		Caust.v2_020510		
OG0010284		Caust.v2_021402		
OG0010285		Caust.v2_022187		
OG0010286		Caust.v2_018234		
OG0010287		Caust.v2_018231		
OG0010288		Caust.v2_018232		
OG0010289		Caust.v2_019575		
OG0010290		Caust.v2_014641		
OG0010291		Caust.v2_014644		
OG0010292		Caust.v2_014643		
OG0010293		Caust.v2_014638		
OG0010294		Caust.v2_014645		
OG0010295		Caust.v2_014646		
OG0010296		Caust.v2_014647		
OG0010297		Caust.v2_017695		
OG0010298		Caust.v2_017696		
OG0010299		Caust.v2_017694		
OG0010300		Caust.v2_017699		
OG0010301		Caust.v2_017698		
OG0010302		Caust.v2_012610		
OG0010303		Caust.v2_012609		
OG0010304		Caust.v2_022101		
OG0010305		Caust.v2_022489		
OG0010306		Caust.v2_018449		
OG0010307		Caust.v2_018451		
OG0010308		Caust.v2_018452		
OG0010309		Caust.v2_018450		
OG0010310		Caust.v2_018258		
OG0010311		Caust.v2_018257		
OG0010312		Caust.v2_019036		
OG0010313		Caust.v2_019783		
OG0010314		Caust.v2_019782		
OG0010315		Caust.v2_019784		
OG0010316		Caust.v2_020232		
OG0010317		Caust.v2_019824		
OG0010318		Caust.v2_017625		
OG0010319		Caust.v2_013801		
OG0010320		Caust.v2_013803		
OG0010321		Caust.v2_013806		
OG0010322		Caust.v2_013808		
OG0010323		Caust.v2_013804		
OG0010324		Caust.v2_013800		
OG0010325		Caust.v2_013805		
OG0010326		Caust.v2_013802		
OG0010327		Caust.v2_020705		
OG0010328		Caust.v2_022649		
OG0010329		Caust.v2_022392		
OG0010330		Caust.v2_013816		
OG0010331		Caust.v2_013822		
OG0010332		Caust.v2_013815		
OG0010333		Caust.v2_013823		
OG0010334		Caust.v2_013814		
OG0010335		Caust.v2_020898		
OG0010336		Caust.v2_018186		
OG0010337		Caust.v2_018185		
OG0010338		Caust.v2_019757		
OG0010339		Caust.v2_017911		
OG0010340		Caust.v2_017909		
OG0010341		Caust.v2_017907		
OG0010342		Caust.v2_017910		
OG0010343		Caust.v2_019853		
OG0010344		Caust.v2_019852		
OG0010345		Caust.v2_018166		
OG0010346		Caust.v2_018165		
OG0010347		Caust.v2_018167		
OG0010348		Caust.v2_010299		
OG0010349		Caust.v2_010300		
OG0010350		Caust.v2_010304		
OG0010351		Caust.v2_010305		
OG0010352		Caust.v2_010303		
OG0010353		Caust.v2_010297		
OG0010354		Caust.v2_010302		
OG0010355		Caust.v2_010306		
OG0010356		Caust.v2_010298		
OG0010357		Caust.v2_010301		
OG0010358		Caust.v2_010329		
OG0010359		Caust.v2_010326		
OG0010360		Caust.v2_010325		
OG0010361		Caust.v2_010318		
OG0010362		Caust.v2_010324		
OG0010363		Caust.v2_010332		
OG0010364		Caust.v2_010330		
OG0010365		Caust.v2_010328		
OG0010366		Caust.v2_010317		
OG0010367		Caust.v2_010314		
OG0010368		Caust.v2_022231		
OG0010369		Caust.v2_018245		
OG0010370		Caust.v2_018247		
